Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Color options,Rear brakes,Starter,Alternate seat height,Valves per cylinder,Comments,Ground clearance,Lubrication system,Clutch,Exhaust system,Frame type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Front suspension,Rear suspension,Overall length,Diameter,Max RPM,Front tire,Rear tire,Reserve fuel capacity,Modifications compared to previous model,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,"Weight incl. oil, gas, etc",Oil capacity,Factory warranty,Fuel consumption,Greenhouse gases,"60-140 km/h (37-87 mph), highest gear",Driveline,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Belt teeth,Belt width,Engine details,Overall height,Overall width,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight
MuZ Skorpion Replica 660,2000,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6250 RPM,56.0 Nm (5.7 kgf-m or 41.3 ft.lbs),,Liquid,5-speed,Chain   (final drive),,171.0 kg (377.0 pounds),0.2807 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),18.00 litres (4.76 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 750,2000,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",740.0 ccm (45.15 cubic inches),"In-line four, four-stroke",141.0 HP (102.9  kW)) @ 11000 RPM,,280.0 km/h (174.0 mph),Liquid,6-speed,Chain   (final drive),Dual disc,166.0 kg (366.0 pounds),0.8494 HP/kg,"829 mm (32.6 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),18.00 litres (4.76 US gallons),"Blue/white, black/yellow",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850 R,2000,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,77.0 Nm (7.9 kgf-m or 56.8 ft.lbs) @ 5500 RPM,190.0 km/h (118.1 mph),Air,5-speed,,Dual disc,214.0 kg (471.8 pounds),0.3271 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",1487 mm (58.5 inches),21.00 litres (5.55 US gallons),"Red, gray, blue, silver/black",Single disc,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 520 SX Racing,2000,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",510.0 ccm (31.12 cubic inches),"Single cylinder, four-stroke",,,,Liquid,4-speed,Chain   (final drive),Single disc,107.0 kg (235.9 pounds),,,1481 mm (58.3 inches),7.50 litres (1.98 US gallons),Orange/silver,Single disc,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha WR 400 F,2000,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 9000 RPM,,,Liquid,5-speed,Chain   (final drive),Single disc,114.0 kg (251.3 pounds),0.3947 HP/kg,"991 mm (39.0 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),8.00 litres (2.11 US gallons),Blue,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 350 SE,2000,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",29.0 HP (21.2  kW)) @ 7600 RPM,28.0 Nm (2.9 kgf-m or 20.7 ft.lbs) @ 6200 RPM,,,6-speed,Chain   (final drive),Single disc,130.0 kg (286.6 pounds),0.2231 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",,,,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 955,2000,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",130.0 HP (94.9  kW)) @ 9900 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 9600 RPM,250.0 km/h (155.3 mph),Liquid,6-speed,Chain   (final drive),Dual disc,198.0 kg (436.5 pounds),0.6566 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1431 mm (56.3 inches),18.00 litres (4.76 US gallons),Silver,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs Roadster V 1.6,2000,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,650.0 ccm (39.66 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)),,170.0 km/h (105.6 mph),,5-speed,Chain   (final drive),Single disc,169.0 kg (372.6 pounds),0.2959 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,Single disc,Electric,,,,,,,,,,,,,,,,,320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 650 Lynx,2000,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,645.0 ccm (39.36 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 9000 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 7200 RPM,,,6-speed,Chain   (final drive),,181.0 kg (399.0 pounds),0.3867 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),,,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXDL Dyna Low Rider,2000,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 5500 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 2900 RPM,170.0 km/h (105.6 mph),Air,5-speed,Belt   (final drive),Dual disc,300.0 kg (661.4 pounds),0.2267 HP/kg,"673 mm (26.5 inches) If adjustable, lowest setting.",1662 mm (65.4 inches),18.50 litres (4.89 US gallons),"Black, red, pearl",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTS Heritage Springer,2000,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5500 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 2800 RPM,175.0 km/h (108.7 mph),Air,5-speed,Belt   (final drive),Single disc,340.0 kg (749.6 pounds),0.1971 HP/kg,"657 mm (25.9 inches) If adjustable, lowest setting.",1630 mm (64.2 inches),19.00 litres (5.02 US gallons),"Black, lilac, blue, gray, red, green",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Grand Canyon,2000,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",75.0 HP (54.7  kW)) @ 7500 RPM,73.0 Nm (7.4 kgf-m or 53.8 ft.lbs) @ 5000 RPM,190.0 km/h (118.1 mph),,6-speed,,,218.0 kg (480.6 pounds),0.3440 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,20.00 litres (5.28 US gallons),,Single disc,,,,,190 mm (7.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Canyon 500,2000,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6500 RPM,39.0 Nm (4.0 kgf-m or 28.8 ft.lbs) @ 5200 RPM,160.0 km/h (99.4 mph),,5-speed,,Single disc,160.0 kg (352.7 pounds),0.2125 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,18.00 litres (4.76 US gallons),,Single disc,,,,,222 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 501 E,2000,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",501.0 ccm (30.57 cubic inches),"Single cylinder, four-stroke",,,,Liquid,6-speed,Chain   (final drive),Single disc,113.0 kg (249.1 pounds),,"930 mm (36.6 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Blue/Yellow,Single disc,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory V92C,2000,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1507.0 ccm (91.96 cubic inches),"V2, four-stroke",,,,,5-speed,Belt   (final drive),Dual disc,289.0 kg (637.1 pounds),,"734 mm (28.9 inches) If adjustable, lowest setting.",,,,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR 1100,2000,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",150.0 HP (109.5  kW)) @ 10500 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 8500 RPM,,,6-speed,Chain   (final drive),Dual disc,233.0 kg (513.7 pounds),0.6438 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZS 600 N,2000,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 11500 RPM,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 9500 RPM,215.0 km/h (133.6 mph),Liquid,6-speed,Chain   (final drive),Dual disc,189.0 kg (416.7 pounds),0.5026 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),20.00 litres (5.28 US gallons),"Black, silver, gold, red",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota YB 11 Edizione Speciale,2000,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1002.0 ccm (61.14 cubic inches),"In-line four, four-stroke",148.0 HP (108.0  kW)) @ 10000 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 8500 RPM,,,5-speed,Chain   (final drive),Dual disc,183.0 kg (403.4 pounds),0.8087 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TL 1000 R,2000,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",135.0 HP (98.5  kW)) @ 9500 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 7500 RPM,260.0 km/h (161.6 mph),Liquid,6-speed,Chain   (final drive),Dual disc,197.0 kg (434.3 pounds),0.6853 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",1395 mm (54.9 inches),17.00 litres (4.49 US gallons),"Blue/white, yellow",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Chopper,2000,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",350.0 ccm (21.36 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 5250 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,Air,4-speed,,Single disc,149.0 kg (328.5 pounds),0.1544 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titan Gecko,2000,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1573.0 ccm (95.98 cubic inches),"V2, four-stroke",94.0 HP (68.6  kW)) @ 5250 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 4000 RPM,,Air,5-speed,Belt   (final drive),Dual disc,256.0 kg (564.4 pounds),0.3672 HP/kg,"660 mm (26.0 inches) If adjustable, lowest setting.",,,,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midual Roadster 900,2000,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,875.0 ccm (53.39 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)),83.0 Nm (8.5 kgf-m or 61.2 ft.lbs),,,5-speed,Chain   (final drive),Dual disc,185.0 kg (407.9 pounds),0.4865 HP/kg,,,,,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia ETX 125,2000,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),,,,,,6-speed,Chain   (final drive),Single disc,115.0 kg (253.5 pounds),,"880 mm (34.6 inches) If adjustable, lowest setting.",,12.00 litres (3.17 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTR 1000 SP-1,2000,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",136.0 HP (99.3  kW)) @ 9500 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 8000 RPM,260.0 km/h (161.6 mph),Liquid,6-speed,Chain   (final drive),Dual disc,200.0 kg (440.9 pounds),0.6800 HP/kg,"813 mm (32.0 inches) If adjustable, lowest setting.",1409 mm (55.5 inches),18.00 litres (4.76 US gallons),Red,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1500 SE Gold Wing,2000,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",100.0 HP (73.0  kW)) @ 5200 RPM,150.0 Nm (15.3 kgf-m or 110.6 ft.lbs) @ 4000 RPM,180.0 km/h (111.8 mph),Liquid,5-speed,,,372.0 kg (820.1 pounds),0.2688 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",1690 mm (66.5 inches),23.00 litres (6.08 US gallons),"Blue, green, red",,Electric,,,"In addition to it's 5 conventional gears, this bike also has reverse.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voxan Scrambler,2000,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,996.0 ccm (60.78 cubic inches),"V2, four-stroke",120.0 HP (87.6  kW)),110.0 Nm (11.2 kgf-m or 81.1 ft.lbs),,,6-speed,Chain   (final drive),Single disc,,,,,,,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 1600 Wild Star,2000,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1599.0 ccm (97.57 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 4000 RPM,134.0 Nm (13.7 kgf-m or 98.8 ft.lbs) @ 2250 RPM,160.0 km/h (99.4 mph),,5-speed,,Dual disc,307.0 kg (676.8 pounds),0.2052 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",1620 mm (63.8 inches),15.00 litres (3.96 US gallons),"Black/silver, black/red, black",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota SB8R,2000,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",135.0 HP (98.5  kW)) @ 10000 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 8500 RPM,,Liquid,5-speed,Chain   (final drive),Dual disc,178.0 kg (392.4 pounds),0.7584 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1390 mm (54.7 inches),20.00 litres (5.28 US gallons),,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California 75,2000,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1064.0 ccm (64.93 cubic inches),"V2, four-stroke",74.0 HP (54.0  kW)) @ 6400 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 5000 RPM,190.0 km/h (118.1 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,254.0 kg (560.0 pounds),0.2913 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1560 mm (61.4 inches),19.00 litres (5.02 US gallons),,,Electric,,,"The California 75 is a limited special edition of the California Special, produced in 750 specimen for the Moto Guzzi 75 year anniversary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 250 V Bandit,2000,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",248.0 ccm (15.13 cubic inches),"In-line four, four-stroke",45.0 HP (32.8  kW)) @ 14500 RPM,25.5 Nm (2.6 kgf-m or 18.8 ft.lbs) @ 10500 RPM,190.0 km/h (118.1 mph),Liquid,6-speed,Chain   (final drive),Single disc,165.0 kg (363.8 pounds),0.2727 HP/kg,,,11.00 litres (2.91 US gallons),,Single disc,Electric,,4,,,wet sump,wet multi plate,single stainless muffler,,12.5:1,49.0 x 33.0 mm (1.9 x 1.3 inches),Carburettor,Double Overhead Cams/Twin Cam (DOHC),,conventional forks,monoshock,,220 mm (8.7 inches),15000,110/70-17 ,140/70-17 ,3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 125 Trans City,2000,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),,13.0 HP (9.5  kW)) @ 8500 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 7000 RPM,,,6-speed,Chain   (final drive),Single disc,120.0 kg (264.6 pounds),0.1083 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki LS 650 P Savage,2000,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6500 RPM,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 3400 RPM,130.0 km/h (80.8 mph),Air,5-speed,Belt   (final drive),Single disc,160.0 kg (352.7 pounds),0.2125 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",1480 mm (58.3 inches),11.00 litres (2.91 US gallons),"Yellow, green",Expanding brake,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Adventurer,2000,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",844.0 ccm (51.50 cubic inches),"In-line three, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 4800 RPM,,Liquid,6-speed,Chain   (final drive),Dual disc,211.0 kg (465.2 pounds),0.3318 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",,,,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voxan V2 Café Racer,2000,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,996.0 ccm (60.78 cubic inches),"V2, four-stroke",120.0 HP (87.6  kW)),110.0 Nm (11.2 kgf-m or 81.1 ft.lbs),,,6-speed,Chain   (final drive),Dual disc,187.0 kg (412.3 pounds),0.6417 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,Single disc,Electric,,,,,,,,,,,,,,,,,320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 380 SX,2000,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",368.0 ccm (22.46 cubic inches),"Single cylinder, two-stroke",,,,Liquid,,Chain   (final drive),Single disc,101.0 kg (222.7 pounds),,,1481 mm (58.3 inches),7.50 litres (1.98 US gallons),Orange/silver,Single disc,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 750 - Monster 750 Dark - Monster 750 City - Monster 750 Metallic,2000,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 7500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 6500 RPM,190.0 km/h (118.1 mph),Air,5-speed,,Single disc,178.0 kg (392.4 pounds),0.3483 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),16.50 litres (4.36 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,"Dark, City and Metallic in the model name is referring to the colors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RSV Mille SP,2000,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",145.0 HP (105.8  kW)) @ 11000 RPM,,275.0 km/h (170.9 mph),Liquid,6-speed,,Dual disc,185.0 kg (407.9 pounds),0.7838 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",1405 mm (55.3 inches),20.00 litres (5.28 US gallons),"Black/orange, blue",Single disc,,,,"The SP version is the most extreme of the RSV models this year, being even more optimized for racing than the R version. As the SP is being used in the World Championship by Aprilia's team, only 150 numbered bikes are made this year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voxan V2 Roadster,2000,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",108.0 HP (78.8  kW)) @ 9500 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs),,,6-speed,Chain   (final drive),Dual disc,187.0 kg (412.3 pounds),0.5775 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1200,2000,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1156.0 ccm (70.54 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 4500 RPM,,,5-speed,Chain   (final drive),Dual disc,211.0 kg (465.2 pounds),0.4645 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650,2000,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5200 RPM,,Liquid,5-speed,Chain   (final drive),,191.0 kg (421.1 pounds),0.2513 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,,,Single disc,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
