Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Fuel system,Torque,1/4 mile (0.4 km),Max RPM,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Oil capacity,Color options,Starter,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Front percentage of weight,Rear percentage of weight,Alternate seat height,Comments,Modifications compared to previous model,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Chain links,Sprockets,Seat,Instruments,Electrical,Light,Carrying capacity,Wheels,Engine details,Battery,Driveline
Aprilia 250 Tuareg,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",47.0 HP (34.3  kW)) @ 8000 RPM,136.0 km/h (84.5 mph),14.0:1,72.0 x 61.0 mm (2.8 x 2.4 inches),Rotary valves,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.25-18 ,Expanding brake,Expanding brake,127.0 kg (280.0 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 1000 S 2,1985,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",973.0 ccm (59.37 cubic inches),"V2, four-stroke",76.0 HP (55.5  kW)) @ 6700 RPM,220.0 km/h (136.7 mph),9.3:1,88.0 x 80.0 mm (3.5 x 3.1 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),100190-18 ,130/80-18 ,Dual disc,Single disc,230.0 kg (507.1 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 450 L,1985,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",448.0 ccm (27.34 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,164.0 km/h (101.9 mph),9.0:1,71.0 x 56.6 mm (2.8 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.60-16 ,Single disc,Expanding brake,183.0 kg (403.4 pounds),11.00 litres (2.91 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75 S,1985,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,199.0 km/h (123.7 mph),11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,235.0 kg (518.1 pounds),21.00 litres (5.55 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan VN700-A1,1985,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",699.0 ccm (42.65 cubic inches),"V2, four-stroke",,,10.3:1,82.0 x 66.2 mm (3.2 x 2.6 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-19H ,150/90-15 ,Double disc,Expanding brake (drum brake),,13.50 litres (3.57 US gallons),4,Carburettor. Keihin CVK34 (x2),,,,Electronic,Wet Sump,Wet plate,5.22 litres/100 km (19.2 km/l or 45.06 mpg),121.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double stainless steel pipes,Steel,32.0°,127 mm (5.0 inches),Air charged adjustable forks,,Air charged adjustable shocks,,,219.0 kg (482.8 pounds),,,1225 mm (48.2 inches),2295 mm (90.4 inches),850 mm (33.5 inches),150 mm (5.9 inches),1580 mm (62.2 inches),1.80 litres (0.48 US gallons),,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville Europa,1985,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,161.0 km/h (100.0 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),100/90-19 ,110/90-18 ,Dual disc,Single disc,196.0 kg (432.1 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 GS Enduro Sport,1985,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 6500 RPM,110.0 km/h (68.4 mph),15.0:1,67.5 x 69.0 mm (2.7 x 2.7 inches),Membrane,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Single disc,Expanding brake,117.0 kg (257.9 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 650 Turbo,1985,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",673.0 ccm (41.07 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,226.0 km/h (140.4 mph),7.8:1,82.5 x 63.0 mm (3.2 x 2.5 inches),Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-17 ,Dual disc,Single disc,260.0 kg (573.2 pounds),20.00 litres (5.28 US gallons),4,Turbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 654 Sport,1985,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,604.0 ccm (36.86 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8700 RPM,165.0 km/h (102.5 mph),9.3:1,60.0 x 53.4 mm (2.4 x 2.1 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,203.0 kg (447.5 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 125 Sport,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",10.0 HP (7.3  kW)) @ 7600 RPM,110.0 km/h (68.4 mph),10.3:1,42.5 x 44.0 mm (1.7 x 1.7 inches),Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,127.0 kg (280.0 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 650 Elefant,1985,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8400 RPM,168.0 km/h (104.4 mph),10.0:1,82.0 x 61.5 mm (3.2 x 2.4 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,208.0 kg (458.6 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900 S,1985,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,853.0 ccm (52.05 cubic inches),"In-line four, four-stroke",97.0 HP (70.8  kW)) @ 9000 RPM,211.0 km/h (131.1 mph),9.6:1,67.0 x 60.5 mm (2.6 x 2.4 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,244.0 kg (537.9 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 354 Sport II,1985,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,345.0 ccm (21.05 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 9500 RPM,153.0 km/h (95.1 mph),10.2:1,50.0 x 44.0 mm (2.0 x 1.7 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Dual disc,Single disc,181.0 kg (399.0 pounds),15.50 litres (4.10 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kreidler Mustang 125,1985,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7250 RPM,110.0 km/h (68.4 mph),10.0:1,55.0 x 52.0 mm (2.2 x 2.0 inches),Port control,Liquid,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Single disc,Expanding brake,110.0 kg (242.5 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTC 1340 (with sidecar),1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,125.0 km/h (77.7 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT 90-16 ,MT 90-16 ,Dual disc,Single disc,"479.0 kg (1,056.0 pounds)",19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 350 R,1985,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,134.0 km/h (83.3 mph),9.5:1,84.0 x 61.3 mm (3.3 x 2.4 inches),Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Expanding brake,137.0 kg (302.0 pounds),11.00 litres (2.91 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 California II,1985,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6700 RPM,159.0 km/h (98.8 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),120/90-18 ,120/90-18 ,Dual disc,Single disc,276.0 kg (608.5 pounds),23.00 litres (6.08 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 400 F (reduced effect),1985,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 9000 RPM,145.0 km/h (90.1 mph),9.5:1,52.0 x 47.0 mm (2.0 x 1.9 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-19 ,110/90-18 ,Dual disc,Expanding brake,197.0 kg (434.3 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TD125LC,1985,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",123.0 ccm (7.51 cubic inches),"Twin, two-stroke",16.0 HP (11.7  kW)),,,,,Liquid,,Chain   (final drive),,,,,,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RG 250 Gamma,1985,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",45.0 HP (32.8  kW)) @ 8500 RPM,172.0 km/h (106.9 mph),7.1:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Membrane,Liquid,6-speed,Chain   (final drive),100/90-16 ,100/90-18 ,Dual disc,Single disc,153.0 kg (337.3 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000 SFC,1985,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"In-line three, four-stroke",95.0 HP (69.3  kW)) @ 8000 RPM,221.0 km/h (137.3 mph),10.0:1,75.6 x 74.0 mm (3.0 x 2.9 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,130/90-18 ,Dual disc,Single disc,253.0 kg (557.8 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 650 E,1985,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",656.0 ccm (40.03 cubic inches),"In-line four, four-stroke",75.0 HP (54.7  kW)) @ 9500 RPM,202.0 km/h (125.5 mph),9.5:1,60.0 x 58.0 mm (2.4 x 2.3 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Shaft drive (cardan)   (final drive),100/90-19 ,130/90-16 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 350 F 5,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 7300 RPM,120.0 km/h (74.6 mph),13.0:1,82.0 x 66.0 mm (3.2 x 2.6 inches),Membrane,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Single disc,Expanding brake,102.0 kg (224.9 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 400,1985,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 10500 RPM,175.0 km/h (108.7 mph),9.7:1,55.0 x 42.0 mm (2.2 x 1.7 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-18 ,110/80-18 ,Dual disc,Single disc,202.0 kg (445.3 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 M 6 ob one,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",25.0 HP (18.2  kW)) @ 11000 RPM,140.0 km/h (87.0 mph),11.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),Port control,Liquid,6-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Single disc,116.0 kg (255.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 700 S Maxim,1985,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",696.0 ccm (42.47 cubic inches),"In-line four, four-stroke",86.0 HP (62.8  kW)) @ 9000 RPM,195.0 km/h (121.2 mph),9.5:1,65.0 x 52.4 mm (2.6 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-19 57H ,130/90-16 67H ,Double disc. Right hand operation,Expanding brake (drum brake). Right foot operation,224.0 kg (493.8 pounds),13.00 litres (3.43 US gallons),2,Carburettor. HITACHI Carburetor HSC33x4 Constant Velocity,61.8 Nm (6.3 kgf-m or 45.6 ft.lbs) @ 7500 RPM,11.79 seconds,10000,T.C.I.,"Pressure lubricated, wet sump","Wet, multiple disc",5.70 litres/100 km (17.5 km/l or 41.27 mpg),132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double stainless steel pipes,"Tubular steel, double cradle",31.5°,120 mm (4.7 inches),Telescopic fork,150 mm (5.9 inches),Swingarm,99 mm (3.9 inches),200 mm (7.9 inches),,,"750 mm (29.5 inches) If adjustable, lowest setting.",,2000 mm (78.7 inches),775 mm (30.5 inches),145 mm (5.7 inches),1520 mm (59.8 inches),3.00 litres (0.79 US gallons),,,Electric,3.20 seconds,,,,,Top speed is what I´ve read somewhere; 0-100 km/h en 1/4 mile are the specs of the XJ 700 X and might differ somewhat,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 SP II,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,948.0 ccm (57.85 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6700 RPM,200.0 km/h (124.3 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-16 ,120/90-18 ,Dual disc,Single disc,246.0 kg (542.3 pounds),23.00 litres (6.08 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 305 Belt Drive,1985,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",306.0 ccm (18.67 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,140.0 km/h (87.0 mph),9.7:1,61.0 x 52.4 mm (2.4 x 2.1 inches),Overhead Cams (OHC),Air,6-speed,Belt   (final drive),90/90-18 ,110/80-18 ,Dual disc,Expanding brake,164.0 kg (361.6 pounds),16.50 litres (4.36 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 RS,1985,Sport touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 8500 RPM,146.0 km/h (90.7 mph),9.3:1,74.0 x 57.8 mm (2.9 x 2.3 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,4.10-18 ,Single disc,Expanding brake,148.0 kg (326.3 pounds),13.00 litres (3.43 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75 C,1985,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,200.0 km/h (124.3 mph),11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Expanding brake,236.0 kg (520.3 pounds),21.00 litres (5.55 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 900 Sei Sport,1985,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",905.0 ccm (55.22 cubic inches),"In-line six, four-stroke",80.0 HP (58.4  kW)) @ 8300 RPM,201.0 km/h (124.9 mph),9.5:1,60.0 x 53.4 mm (2.4 x 2.1 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),120/80-16 ,150/70-18 ,Dual disc,Single disc,231.0 kg (509.3 pounds),17.00 litres (4.49 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 650 SC,1985,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",655.0 ccm (39.97 cubic inches),"In-line four, four-stroke",,233.4 km/h (145.0 mph),9.5:1,60.0 x 58.0 mm (2.4 x 2.3 inches),Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Shaft drive (cardan)   (final drive),100/90-19 ,130/90-16 ,Double disc. Dual-disc with twin-piston calipers,Expanding brake (drum brake). Drum,,12.87 litres (3.40 US gallons),4,Carburettor. Four 32mm diaphragm-type CV,,,10000,solid state,,Wet,6.19 litres/100 km (16.2 km/l or 38.00 mpg),143.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Four into two with chrome pipes,,,,39mm air-adjustable leading-axle forks with dual Syntallic bushings and TRAC,,VHD shocks with four-way adjustable rebound damping,,,197.0 kg (434.4 pounds),,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,1461 mm (57.5 inches),1.89 litres (0.50 US gallons),,"Red, Blue",Electric,,,,,,,"TRAC system.
New style disc brake rotors.
Redesigned instrument panel.
New graphics.",,,,,,,,,,,,,"LCD fuel gauge, LCD gear-position indicator, Electronic tachometer, Push-to-cancel turn signal switch",,55/60-watt halogen headlight,,Cast Alloy,655cc transverse in-line four-cylinder,,
Yamaha XT 600 Ténéré,1985,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,150.0 km/h (93.2 mph),8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Single disc,Expanding brake,177.0 kg (390.2 pounds),23.00 litres (6.08 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXEF 1340 Fat Bob,1985,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,155.0 km/h (96.3 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,272.0 kg (599.7 pounds),13.00 litres (3.43 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RT,1985,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,220.0 km/h (136.7 mph),10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Double disc. Two-piston calipers. ,Single disc. Single-piston caliper. ,272.0 kg (599.7 pounds),22.00 litres (5.81 US gallons),2,Injection. Bosch LE-Jetronic,86.0 Nm (8.8 kgf-m or 63.4 ft.lbs) @ 6000 RPM,,,,Wet sump,"Dry, single plate, cable operated",4.30 litres/100 km (23.3 km/l or 54.70 mpg),99.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Tubular steel, open cradle with engine as stressed member",,,Telescopic forks,185 mm (7.3 inches),Single-sided swingarm,110 mm (4.3 inches),285 mm (11.2 inches),253.0 kg (557.8 pounds),0.3557 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,2220 mm (87.4 inches),,175 mm (6.9 inches),1565 mm (61.6 inches),,3.80 litres (4.02 US quarts),"White, silver, red, green",Electric,,,,,,,,SAE 20W-50,DOT 4,3.00 litres (0.79 US gallons),"NGK D7EA, NGK DR7EIX",950  +/- 50  RPM,33 PSI (2.3 Bar or 225 kPa),36 PSI (2.5 Bar or 250 kPa),41 mm (1.6 inches),,,,,,12V 25Ah battery.,,,,,YUAM2230B,
Honda CM 200 T,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,194.0 ccm (11.84 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,119.0 km/h (73.9 mph),8.8:1,53.0 x 44.0 mm (2.1 x 1.7 inches),Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.00-17 ,3.50-16 ,Expanding brake,Expanding brake,138.0 kg (304.2 pounds),11.00 litres (2.91 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 550 (reduced effect),1985,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,176.0 km/h (109.4 mph),10.0:1,58.0 x 52.4 mm (2.3 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-18 ,120/80-18 ,Dual disc,Single disc,209.0 kg (460.8 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 750,1985,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",87.0 HP (63.5  kW)) @ 9500 RPM,216.0 km/h (134.2 mph),9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/90-18 ,130/90-18 ,Dual disc,Single disc,241.0 kg (531.3 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
