Model,Year,Category,Rating,Displacement,Engine type,Torque,Top speed,Compression,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Transmission type,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Overall height,Overall length,Overall width,Fuel capacity,Reserve fuel capacity,Color options,Starter,Comments,Power,Fuel control,Gearbox,"Weight incl. oil, gas, etc",Ground clearance,Wheelbase,Clutch,Exhaust system,Valves per cylinder,Modifications compared to previous model,Power/weight ratio,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Emission details,Max RPM,Driveline,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Belt teeth,Belt width,Pulley teeth,Fork tube size,Alternate seat height,Electrical,Coolant,Idle speed,Sprockets,Engine details,Factory warranty,0-100 km/h (0-62 mph),Instruments,Light,Carrying capacity,Chain size,Chain links,Tire pressure front,Tire pressure rear,"60-140 km/h (37-87 mph), highest gear",1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight
Aprilia Scarabeo 125,2008,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 Nm (1.2 kgf-m or 8.9 ft.lbs),,12.0:1,,Carburettor. Keihin,,Forced  wet crankcase lubrication with trochoidal pump,Liquid,Belt   (final drive),High-strength double-cradle tubular trellis frame with excellent characteristics              of stiffness and torsional rigidity,,,,,110/90-16 ,120/80-16 ,Single disc,240 mm (9.4 inches),Single disc,154.0 kg (339.5 pounds),,1411 mm (55.6 inches),2040 mm (80.3 inches),720 mm (28.3 inches),9.50 litres (2.51 US gallons),,,Electric,,15.0 HP (10.9  kW)),Double Overhead Cams/Twin Cam (DOHC),Automatic,,,1415 mm (55.7 inches),,,,,0.0974 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sommer Diesel 462,2008,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",462.0 ccm (28.19 cubic inches),Diesel,26.3 Nm (2.7 kgf-m or 19.4 ft.lbs) @ 2000 RPM,100.0 km/h (62.1 mph),20.5:1,88.0 x 76.0 mm (3.5 x 3.0 inches),Injection,,,Air,Chain   (final drive),,,,,,,,Double disc,152 mm (6.0 inches),Single disc,180.0 kg (396.8 pounds),,,,,,,"Black, red, silver",,Modified Royal Enfield bike.,11.0 HP (8.0  kW)) @ 3500 RPM,,4-speed,,,,Mulitiplate,,2,,0.0611 HP/kg,2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorhispania RX2 Racing,2008,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, four-stroke",,,,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor. PHBN 12 HS,,,,Chain   (final drive),,,,,,90/90-16 ,120/80-16 ,Single disc,,Single disc,115.0 kg (253.5 pounds),,,1865 mm (73.4 inches),750 mm (29.5 inches),11.75 litres (3.10 US gallons),,,,,,,,,,,Multiplate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhino Hunter Softail FLM-004,2008,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"V2, four-stroke",,,,,Carburettor,,"Pressure Splashed, Rotot Cycloid",Air,,,"41mm Forks, triple tree",,,,200/50-18 ,90/90-21 ,,,,,"660 mm (26.0 inches) If adjustable, lowest setting.",,2642 mm (104.0 inches),,,,Yellow/red,Electric,,,,5-speed,,,,"Wet, multiple",2 OD Double Chopper Custom Exhausts,,,,,,38.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boss Hoss BHC-9 ZZ4,2008,Custom / cruiser," 2.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",5700.0 ccm (347.81 cubic inches),"V8, four-stroke",549.2 Nm (56.0 kgf-m or 405.1 ft.lbs) @ 4200 RPM,,,,Injection. Holly 680 cfm Throttle Body,,,Liquid,Shaft drive (cardan)   (final drive),,Inverted forks,89 mm (3.5 inches),"Dual 17´ coilover shocks, single 17.5 inch rebound damper",,130/90-16 ,275/60-15 ,Double disc. 4-piston calipers,,Single disc. 4-piston calipers,"680.4 kg (1,500.0 pounds)",,,,,,,,Electric,Trike. Three wheel bike.,355.0 HP (259.1  kW)) @ 5250 RPM,,,,165 mm (6.5 inches),2070 mm (81.5 inches),,,,,0.5218 HP/kg,,,35.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju RRX Spike 50,2008,Super motard," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,,40.3 x 39.0 mm (1.6 x 1.5 inches),,,,Liquid,Chain   (final drive),Double cradle. Highly resistant steel perimeter,Paioli inverted fork of Ø36mm.,,Mono-shock shock absorber,,100/80-17 ,130/70-17 ,Single disc,,Single disc,94.5 kg (208.3 pounds),"840 mm (33.1 inches) If adjustable, lowest setting.",1150 mm (45.3 inches),1970 mm (77.6 inches),750 mm (29.5 inches),8.40 litres (2.22 US gallons),,"Black, red, blue",Kick,,,,6-speed,,,1332 mm (52.4 inches),,Muffler with steel silencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orion APL50QL,2008,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, four-stroke",,,7.3:1,39.0 x 41.4 mm (1.5 x 1.6 inches),Carburettor,CDI,,,Chain   (final drive),High Strength Steel,Adjustable Inverted  Hydraulic Forks,,TAI WAN Adjustable Rear suspension,,,,Single disc,,Single disc,,"940 mm (37.0 inches) If adjustable, lowest setting.",,1620 mm (63.8 inches),,3.21 litres (0.85 US gallons),,"
                                                                   Green, Yellow, Pink, Carbon Look, Orange, White",Electric & kick,,,,4-speed,95.0 kg (209.4 pounds),,1200 mm (47.2 inches),Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 EXC,2008,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,12.5:1,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor. Keihin PWK 36 S AG,Kokusan digital,Mixture oil lubrication 1:60,Liquid,Chain   (final drive),Central double-cradle-type 25 CrMo 4,WP USD  48 mm,300 mm (11.8 inches),WP monoshock PDS,335 mm (13.2 inches),90/90-21 ,140/80-18 ,Single disc,,Single disc,100.8 kg (222.2 pounds),"960 mm (37.8 inches) If adjustable, lowest setting.",,,,9.50 litres (2.51 US gallons),,Orange/black,Kick,,,,5-speed,,385 mm (15.2 inches),1475 mm (58.1 inches),"Wet multi-disc clutch, operated hydraulically",Aluminium,,,,,,26.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGO Ligero 50,2008,Scooter," 2.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.5 Nm (0.4 kgf-m or 2.6 ft.lbs) @ 6250 RPM,,,,,CDI,,Air,Belt   (final drive),,Telescopic,,Unit Swing Arm,,120/60-13 ,130/60-13 ,Single disc,155 mm (6.1 inches),Expanding brake (drum brake),,,1060 mm (41.7 inches),1710 mm (67.3 inches),645 mm (25.4 inches),6.70 litres (1.77 US gallons),,,Electric & kick,,3.1 HP (2.2  kW)) @ 6500 RPM,,Automatic,83.0 kg (183.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 2000 Classic LT,2008,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",2053.0 ccm (125.27 cubic inches),"V2, four-stroke",44.9 Nm (4.6 kgf-m or 33.1 ft.lbs) @ 6800 RPM,,9.5:1,103.0 x 123.2 mm (4.1 x 4.9 inches),Carburettor. DFI with Keihin 46mm throttle bodies (2),TCBI with Digital Advance,,Air,Belt   (final drive),"Semi-double cradle, high-tensile steel",49mm hydraulic telescopic fork,,"Single shock, eight-way rebound damping",,150/80-16 ,200/60-16 ,Double disc,,Single disc,361.1 kg (796.0 pounds),"681 mm (26.8 inches) If adjustable, lowest setting.",,,,20.81 litres (5.50 US gallons),,"Two tone: Metallic Ocean Blue / Neutron Silver, Two tone: Candy Cardinal Red / Atomic Silver",Electric,,,,5-speed,,,1735 mm (68.3 inches),,,4,,,,,32.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 690 SMC,2008,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Single cylinder, four-stroke",,,11.8:1,102.0 x 80.0 mm (4.0 x 3.1 inches),,Keihin,Semi-dry-sump lubrication with 2 Eaton pumps,Liquid,Chain   (final drive),Tubular trellis steel frame (CrMo),WP USD,275 mm (10.8 inches),WP monoshock,265 mm (10.4 inches),120/70-17 ,160/60-17 ,Single disc,240 mm (9.4 inches),Single disc,139.5 kg (307.5 pounds),"900 mm (35.4 inches) If adjustable, lowest setting.",,,,12.00 litres (3.17 US gallons),,,Kick,,,Overhead Cams (OHC),6-speed,,290 mm (11.4 inches),1480 mm (58.3 inches),"APTC Wet multi-disc clutch, operated hydraulically",2-cell stainless seel,4,,,,,27.0°,112 mm (4.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta ARK LC RR,2008,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,12.0:1,40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor. Dell´Orto PHVA 12,,"With mechanical pump - mix gasoline-oil 1,5% (with synthetic oil)",Liquid,Belt   (final drive),tubular steel,Hydraulic fork with ø32 mm shaft,,Monoshock with adjustable spring preload,,130/60-13 ,130/60-13 ,Single disc,190 mm (7.5 inches),Single disc,88.0 kg (194.0 pounds),,1150 mm (45.3 inches),1740 mm (68.5 inches),830 mm (32.7 inches),7.50 litres (1.98 US gallons),1.30 litres (0.34 US gallons),Red,,,,,Automatic,,215 mm (8.5 inches),,Dry automatic centrifugal type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
