Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,1/4 mile (0.4 km),Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Color options,Starter,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Lubrication system,Clutch,Exhaust system,Frame type,Comments,Modifications compared to previous model,Max RPM,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Diameter,Seat height,Overall length,Overall width,Wheelbase,Oil capacity,Reserve fuel capacity,Ground clearance
Suzuki GS 550 E Red Suzi,1981,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",549.0 ccm (33.50 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9400 RPM,,177.0 km/h (110.0 mph),,8.6:1,56.0 x 55.8 mm (2.2 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.25-19 ,4.25-17 ,Dual disc,Single disc,,,,,218.0 kg (480.6 pounds),16.50 litres (4.36 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha DT 250 MX,1981,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 5400 RPM,,109.0 km/h (67.7 mph),,6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Membrane,,Air,5-speed,Chain   (final drive),,,,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,,,,,135.0 kg (297.6 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,
Ducati 900 SS Darmah,1981,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 7000 RPM,,205.0 km/h (127.4 mph),,9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),,Desmodromic valve control,,Air,5-speed,Chain   (final drive),,,,,3.50-18 ,4.25/85-18 ,Dual disc,Single disc,,,,,242.0 kg (533.5 pounds),16.00 litres (4.23 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GS 550 L,1981,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",549.0 ccm (33.50 cubic inches),"In-line four, four-stroke",48.0 HP (35.0  kW)) @ 9200 RPM,,158.0 km/h (98.2 mph),,8.6:1,56.0 x 55.8 mm (2.2 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.25-19 ,3.75-18 ,Dual disc,Single disc,,,,,223.0 kg (491.6 pounds),13.00 litres (3.43 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha SR 250 Special,1981,Allround," 4.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",240.0 ccm (14.64 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 7900 RPM,,120.0 km/h (74.6 mph),,9.2:1,73.5 x 56.5 mm (2.9 x 2.2 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.00-19 ,120/90-16 ,Expanding brake,Expanding brake,,,,,135.0 kg (297.6 pounds),10.00 litres (2.64 US gallons),2,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLH 1340 Electra Glide,1981,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6000 RPM,,150.0 km/h (93.2 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,,,MT 90-16 ,MT 90-16 ,Single disc,Single disc,,,,,345.0 kg (760.6 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GT 250 X 7 E (cast wheels),1981,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,,149.0 km/h (92.6 mph),,6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,,Air,6-speed,Chain   (final drive),,,,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,,,,,145.0 kg (319.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,
Yamaha RD 250 (reduced effect),1981,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 8100 RPM,,149.0 km/h (92.6 mph),,6.2:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,,Liquid,6-speed,Chain   (final drive),,,,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,,,,,158.0 kg (348.3 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 G 5,1981,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,,157.0 km/h (97.6 mph),,9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,100/90-18 ,110/90-18 ,Dual disc,Single disc,,,,,259.0 kg (571.0 pounds),24.00 litres (6.34 US gallons),2,,,,,,,,,,,,,,,,,,,
Horex 1400 TI (reduced effect),1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1338.0 ccm (81.64 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 7200 RPM,,230.0 km/h (142.9 mph),,6.0:1,80.0 x 66.6 mm (3.1 x 2.6 inches),Turbo,Overhead Cams (OHC),,Air,4-speed,Chain   (final drive),,,,,120/90-18 ,130/80-18 ,Dual disc,Single disc,,,,,296.0 kg (652.6 pounds),36.00 litres (9.51 US gallons),2,,,,,,,,,,,,,,,,,,,
Moto Guzzi V50 mk 2,1981,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",493.0 ccm (30.08 cubic inches),"V2, four-stroke",,,,,,,Carburettor,,,Air,,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,,2,,dry,,,,,,,,,,,,,,,,,
MuZ TS 125,1981,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6300 RPM,,100.0 km/h (62.1 mph),,10.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,Port control,,Air,4-speed,Chain   (final drive),,,,,2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,,,,,127.0 kg (280.0 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,
Kawasaki KDX 175,1981,Trial," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 7000 RPM,,114.0 km/h (70.8 mph),,7.6:1,66.0 x 50.6 mm (2.6 x 2.0 inches),,Membrane,,Air,6-speed,Chain   (final drive),,,,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,,,,,109.0 kg (240.3 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,
Cagiva SST 350 Chopper,1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 5750 RPM,,133.0 km/h (82.6 mph),,9.6:1,80.0 x 68.0 mm (3.1 x 2.7 inches),,Port control,,Air,5-speed,Chain   (final drive),,,,,3.25-18 ,4.00-18 ,Single disc,Expanding brake,,,,,145.0 kg (319.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,
Laverda 500 SFC,1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,496.0 ccm (30.27 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 8200 RPM,,182.0 km/h (113.1 mph),,9.2:1,72.0 x 61.0 mm (2.8 x 2.4 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,100/90-18 ,110/90-18 ,Dual disc,Single disc,,,,,194.0 kg (427.7 pounds),14.50 litres (3.83 US gallons),4,,,,,,,,,,,,,,,,,,,
Yamaha RD 250,1981,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",38.0 HP (27.7  kW)) @ 8500 RPM,,163.0 km/h (101.3 mph),,6.9:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,,Liquid,6-speed,Chain   (final drive),,,,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,,,,,158.0 kg (348.3 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,
Suzuki GS 850 L,1981,Touring," 4.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",843.0 ccm (51.44 cubic inches),"In-line four, four-stroke",79.0 HP (57.7  kW)) @ 8500 RPM,,197.0 km/h (122.4 mph),,8.8:1,69.0 x 56.4 mm (2.7 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.50-19 ,4.50-17 ,Dual disc,Single disc,,,,,261.0 kg (575.4 pounds),13.00 litres (3.43 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GS 550 M Katana,1981,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",549.0 ccm (33.50 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9400 RPM,,177.0 km/h (110.0 mph),,8.6:1,56.0 x 55.8 mm (2.2 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Single disc,,,,,222.0 kg (489.4 pounds),23.00 litres (6.08 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GS 400 T,1981,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",398.0 ccm (24.29 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7400 RPM,,150.0 km/h (93.2 mph),,8.5:1,65.0 x 60.0 mm (2.6 x 2.4 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,,,,,185.0 kg (407.9 pounds),14.00 litres (3.70 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha XT 500,1981,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5900 RPM,,132.0 km/h (82.0 mph),,9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.25-21 ,4.00-18 ,Expanding brake,Expanding brake,,,,,155.0 kg (341.7 pounds),9.00 litres (2.38 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha XV 750 Special (reduced effect),1981,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,,161.0 km/h (100.0 mph),,8.7:1,83.0 x 69.2 mm (3.3 x 2.7 inches),,Overhead Cams (OHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.50-19 ,130/90-16 ,Single disc,Expanding brake,,,,,227.0 kg (500.4 pounds),12.00 litres (3.17 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CM 200 T (reduced effect),1981,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",194.0 ccm (11.84 cubic inches),"Twin, four-stroke",10.0 HP (7.3  kW)) @ 7000 RPM,,100.0 km/h (62.1 mph),,8.8:1,53.0 x 44.0 mm (2.1 x 1.7 inches),,Overhead Cams (OHC),,Air,4-speed,Chain   (final drive),,,,,3.00-17 ,3.50-16 ,Expanding brake,Expanding brake,,,,,138.0 kg (304.2 pounds),11.00 litres (2.91 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha XT 250,1981,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 8600 RPM,,121.0 km/h (75.2 mph),,9.2:1,75.0 x 56.5 mm (3.0 x 2.2 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,,,,,124.0 kg (273.4 pounds),8.00 litres (2.11 US gallons),2,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1300,1981,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1285.0 ccm (78.41 cubic inches),"In-line six, four-stroke",99.0 HP (72.3  kW)) @ 8000 RPM,,217.0 km/h (134.8 mph),,9.9:1,62.0 x 71.0 mm (2.4 x 2.8 inches),,Double Overhead Cams/Twin Cam (DOHC),,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,110/90-18 ,130/90-17 ,Dual disc,Single disc,,,,,322.0 kg (709.9 pounds),27.00 litres (7.13 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha XS 650,1981,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 6800 RPM,,171.0 km/h (106.3 mph),,8.4:1,75.0 x 74.0 mm (3.0 x 2.9 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,4.00-18 ,,Expanding brake,,,,,225.0 kg (496.0 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,"785 mm (30.9 inches) If adjustable, lowest setting.",,,,,,153 mm (6.0 inches)
Suzuki GN 400 L,1981,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",396.0 ccm (24.16 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7400 RPM,,130.0 km/h (80.8 mph),,9.3:1,88.0 x 65.2 mm (3.5 x 2.6 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.60-18 ,4.60-16 ,Single disc,Expanding brake,,,,,153.0 kg (337.3 pounds),11.50 litres (3.04 US gallons),2,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet De Luxe,1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,,110.0 km/h (68.4 mph),,6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,,,3.25-19 ,3.25-19 ,Expanding brake,Expanding brake,,,,,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,
Cagiva SST 250 Chopper,1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 5500 RPM,,98.0 km/h (60.9 mph),,10.6:1,72.0 x 59.6 mm (2.8 x 2.3 inches),,Port control,,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,4.00-18 ,Single disc,Expanding brake,,,,,143.0 kg (315.3 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,
Kawasaki Z 250 A,1981,Classic," 2.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,,145.0 km/h (90.1 mph),,9.5:1,55.0 x 52.4 mm (2.2 x 2.1 inches),,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,,,3.00-18 ,3.50-18 ,Single disc,Single disc,,,,,167.0 kg (368.2 pounds),13.50 litres (3.57 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GN 400 TD,1981,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",396.0 ccm (24.16 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7400 RPM,,129.0 km/h (80.2 mph),,9.3:1,88.0 x 65.2 mm (3.5 x 2.6 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.60-18 ,4.60-16 ,Single disc,Expanding brake,,,,,155.0 kg (341.7 pounds),14.00 litres (3.70 US gallons),2,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHE 1340 Heritage,1981,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6000 RPM,,165.0 km/h (102.5 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,,,MT 90-16 ,MT 90-16 ,Single disc,Single disc,,,,,345.0 kg (760.6 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CX 500,1981,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,,176.0 km/h (109.4 mph),,10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),,Overhead Valves (OHV),,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,3.25-19 ,3.75-18 ,Dual disc,Expanding brake,,,,,221.0 kg (487.2 pounds),17.00 litres (4.49 US gallons),4,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 NT,1981,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,,181.0 km/h (112.5 mph),,9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,100/90-18 ,110/90-18 ,Dual disc,Single disc,,,,,252.0 kg (555.6 pounds),24.00 litres (6.34 US gallons),2,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750 LTD,1981,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",74.0 HP (54.0  kW)) @ 9000 RPM,,179.0 km/h (111.2 mph),,9.0:1,66.0 x 54.0 mm (2.6 x 2.1 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,130/90-16 ,Dual disc,Single disc,,,,,226.0 kg (498.2 pounds),13.00 litres (3.43 US gallons),2,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 35 II,1981,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,,151.0 km/h (93.8 mph),,10.8:1,66.0 x 50.6 mm (2.6 x 2.0 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,90/90-18 ,100/90-18 ,Dual disc,Single disc,,,,,185.0 kg (407.9 pounds),16.00 litres (4.23 US gallons),2,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHC 1340 Electra Glide Classic,1981,Touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6000 RPM,,150.0 km/h (93.2 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,,,MT 90-16 ,MT 90-16 ,Single disc,Single disc,,,,,348.0 kg (767.2 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GSX 400 F Katana,1981,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",42.0 HP (30.7  kW)) @ 10500 RPM,,170.0 km/h (105.6 mph),,10.5:1,53.0 x 45.2 mm (2.1 x 1.8 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.25-19 ,3.75-18 ,Dual disc,Single disc,,,,,197.0 kg (434.3 pounds),15.00 litres (3.96 US gallons),4,,,,,,,,,,,,,,,,,,,
Yamaha RD 350,1981,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",49.0 HP (35.8  kW)) @ 8700 RPM,,178.0 km/h (110.6 mph),,6.9:1,64.0 x 54.0 mm (2.5 x 2.1 inches),,Membrane,,Liquid,6-speed,Chain   (final drive),,,,,3.00-18 ,3.50-18 ,Dual disc,Expanding brake,,,,,161.0 kg (354.9 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,
MV Agusta 1100 Grand Prix,1981,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1066.0 ccm (65.05 cubic inches),"In-line four, four-stroke",119.0 HP (86.9  kW)) @ 10200 RPM,,237.0 km/h (147.3 mph),,10.5:1,74.0 x 62.0 mm (2.9 x 2.4 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.50-18 ,4.00-18 ,Dual disc,Single disc,,,,,243.0 kg (535.7 pounds),26.00 litres (6.87 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha XS 400,1981,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",392.0 ccm (23.92 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,,140.0 km/h (87.0 mph),,9.2:1,69.0 x 52.4 mm (2.7 x 2.1 inches),,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,,,3.00-18 ,3.75-18 ,Single disc,Expanding brake,,,,,182.0 kg (401.2 pounds),17.00 litres (4.49 US gallons),2,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLT 1340 Tour Glide,1981,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 5800 RPM,,165.0 km/h (102.5 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,,,MT 90-16 ,MT 90-16 ,Dual disc,Single disc,,,,,355.0 kg (782.6 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,
Cagiva SST 350,1981,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 5750 RPM,,136.0 km/h (84.5 mph),,9.6:1,80.0 x 68.0 mm (3.1 x 2.7 inches),,Port control,,Air,5-speed,Chain   (final drive),,,,,3.25-18 ,4.00-18 ,Single disc,Expanding brake,,,,,145.0 kg (319.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,
Ducati 900 SS,1981,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 7000 RPM,,213.0 km/h (132.4 mph),,9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),,Desmodromic valve control,,Air,5-speed,Chain   (final drive),,,,,3.50-18 ,4.25/85-18 ,Dual disc,Single disc,,,,,225.0 kg (496.0 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100 F 1,1981,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1089.0 ccm (66.45 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8750 RPM,,228.0 km/h (141.7 mph),,9.5:1,72.5 x 66.0 mm (2.9 x 2.6 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,4.25-18 ,Dual disc,Single disc,,,,,266.0 kg (586.4 pounds),21.00 litres (5.55 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GS 450 E,1981,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",448.0 ccm (27.34 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,,155.0 km/h (96.3 mph),,9.0:1,71.0 x 56.6 mm (2.8 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.00-18 ,3.75-18 ,Single disc,Expanding brake,,,,,189.0 kg (416.7 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha DT 175 MX,1981,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",171.0 ccm (10.43 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7000 RPM,,105.0 km/h (65.2 mph),,6.8:1,66.0 x 50.0 mm (2.6 x 2.0 inches),,Membrane,,Air,6-speed,Chain   (final drive),,,,,2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,,,,,109.0 kg (240.3 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,
Honda CB 400 N (reduced effect),1981,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,,137.0 km/h (85.1 mph),,9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,,,3.60-19 ,4.10-18 ,Dual disc,Expanding brake,,,,,185.0 kg (407.9 pounds),14.00 litres (3.70 US gallons),3,,,,,,,,,,,,,,,,,,,
