Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Front percentage of weight,Rear percentage of weight,Seat height,Wheelbase,Fuel capacity,Color options,Starter,Comments,Valves per cylinder,Overall height,Overall length,Overall width,Lubrication system,Front wheel travel,Rear wheel travel,Ground clearance,Oil capacity,0-100 km/h (0-62 mph),"Weight incl. oil, gas, etc",Reserve fuel capacity,Max RPM,Alternate seat height,Modifications compared to previous model,Electrical,Driveline,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Fork tube size,Battery,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Wheels,Seat,Factory warranty,Instruments,Engine details
NCR Millona R,2009,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 7600 RPM,,,10.0:1,,"Injection. EFI Magneti Marelli, 45mm throttle bodies.",,,Air,,Chain   (final drive),,,,Exhaust system developed by NCR and produced in Inox by Zard.,Tubular trellis in chromium molybdenum projected and developed by NCR.,24.0°,,"Ohlins 43 mm upside-down fork with TiN surface treatment, for radial calipers, seted up by NCR CORSE.","Progressive linkage with fully adjustable Ohlins monoshock with lenght adjustment. seted up by NCR CORSE. In FIBER-GLASS: fearing kit, belly pan, front mud-guard, seat tail and airbox kit. In CARBON-FIBER: Fuel tank and subframe.",120/70-R17 ,190/55-R17 ,Double disc. Wave/Bremo,200 mm (7.9 inches),Single disc. Wave/Bremo,135.0 kg (297.6 pounds),0.7407 HP/kg,,,,1400 mm (55.1 inches),15.00 litres (3.96 US gallons),Carbon,Electric,"Fuel tank, subframe, fearing kit, belly pan, front mud-guard, seat tail and airbox kit in carbon fiber. Ducati 1000DS engine.",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Senda DRD Racing 50 SM LE,2009,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,,11.0:1,39.9 x 40.0 mm (1.6 x 1.6 inches),Carburettor. 17.5 mm,Single Overhead Cams (SOHC),Electronic CDI,Liquid,6-speed,,,,,,,,,40 mm hydraulic fork.,Monoshock  with progressive link system.,100/80-17 ,130/70-17 ,Single disc,220 mm (8.7 inches),Single disc,97.0 kg (213.8 pounds),,,,"875 mm (34.4 inches) If adjustable, lowest setting.",1400 mm (55.1 inches),7.00 litres (1.85 US gallons),Black,Kick,Limited edition. Derbi bikes are made in Spain.,,1165 mm (45.9 inches),2050 mm (80.7 inches),805 mm (31.7 inches),Oil  pump,250 mm (9.8 inches),250 mm (9.8 inches),,1.00 litres (1.06 US quarts),,,1.30 litres (0.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Outlook 125,2009,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",11.9 HP (8.7  kW)) @ 8250 RPM,12.5 Nm (1.3 kgf-m or 9.2 ft.lbs) @ 6500 RPM,90.0 km/h (55.9 mph),10.4:1,52.4 x 57.8 mm (2.1 x 2.3 inches),Carburettor,,C.D.I.,Liquid,,Belt   (final drive),,1.80 litres/100 km (55.6 km/l or 130.68 mpg),41.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,100/80-16 ,110/80-16 ,Single disc,,Single disc,125.0 kg (275.6 pounds),0.0954 HP/kg,,,,1360 mm (53.5 inches),7.40 litres (1.96 US gallons),,Electric,,,,2070 mm (81.5 inches),,,,,185 mm (7.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF450X,2009,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,,12.0:1,96.0 x 62.1 mm (3.8 x 2.4 inches),Carburettor. 40.0mm Keihin© flat-slide,Single Overhead Cams (SOHC),CD,Liquid,5-speed,Chain   (final drive),,,,,,27.1°,115 mm (4.5 inches),47.0mm inverted Showa cartridge fork with 16-position rebound and 16-position compression damping adjustability,"Pro-Link Showa single-shock with spring preload, 13-position [low-speed] and 3.5-turn [high-speed] compression damping and 17-position rebound damping adjustability",80/21-21 ,110/18-18 ,Double disc,,Single disc,,,,,"963 mm (37.9 inches) If adjustable, lowest setting.",1478 mm (58.2 inches),7.19 litres (1.90 US gallons),Red,,Model ID: CRF450X,,,,,,315 mm (12.4 inches),315 mm (12.4 inches),345 mm (13.6 inches),,,122.0 kg (269.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R1000 Cameron Donald,2009,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"In-line four, four-stroke",,,,12.8:1,74.5 x 57.3 mm (2.9 x 2.3 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),Liquid,6-speed,Chain   (final drive),,,,,,,,"Inverted telescopic, coil spring, spring preload fully adjustable, rebound and compression damping force fully adjustable","Link type, oil damped, coil spring, spring preload fully adjustable,  rebound and compression damping force fully adjustable",120/70-ZR17 ,190/50-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,,,,,"810 mm (31.9 inches) If adjustable, lowest setting.",1405 mm (55.3 inches),17.50 litres (4.62 US gallons),,Electric,,,1130 mm (44.5 inches),2045 mm (80.5 inches),,Wet sump,,,120 mm (4.7 inches),,,203.0 kg (447.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z400S,2009,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",,,,11.3:1,,Carburettor. Mikuni,Double Overhead Cams/Twin Cam (DOHC),Electronic,Liquid,5-speed,Chain   (final drive),,,,,,,,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",80/90-M21 ,120/90-M18 ,Single disc,,Single disc,,,,,"935 mm (36.8 inches) If adjustable, lowest setting.",1485 mm (58.5 inches),10.00 litres (2.64 US gallons),"Black, White",,,,1230 mm (48.4 inches),2310 mm (90.9 inches),875 mm (34.4 inches),Dry sump,,,300 mm (11.8 inches),,,144.0 kg (317.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultra Groundpounder ST,2009,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1573.3 ccm (96.00 cubic inches),"V2, four-stroke",,,,,,Carburettor. S and  Super G,,Crane HI-4,Air,6-speed,Belt   (final drive),,,,2-into-2 exhaust,,38.0°,,,,120-21 ,250-18 ,Single disc. Performance Machines Calliper,,Single disc. Performance Machines Calliper,,,,,"610 mm (24.0 inches) If adjustable, lowest setting.",2489 mm (98.0 inches),,Wild custom paint standard.,Electric,S and S 96 cinch Engine. Right side drive. Standard downtube. 2 inch backbone. 2 inch downtube stretch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeon Cobra 220,2009,ATV," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",196.0 ccm (11.96 cubic inches),"Single cylinder, four-stroke",12.1 HP (8.8  kW)) @ 6800 RPM,13.6 Nm (1.4 kgf-m or 10.0 ft.lbs) @ 5750 RPM,,9.1:1,65.0 x 59.0 mm (2.6 x 2.3 inches),Carburettor. Keihin PTG 22,,C.D.I.,Air,Automatic,Chain   (final drive),Centrifugal clutch,,,,Tube,,,"Dual hydraulic shock, Double wishbone","Single hydraulic shock, Unit swing arm",21/7-10 ,20/10-9 ,Double disc,,Expanding brake (drum brake),193.0 kg (425.5 pounds),0.0625 HP/kg,,,"790 mm (31.1 inches) If adjustable, lowest setting.",1155 mm (45.5 inches),7.30 litres (1.93 US gallons),,Electric & kick,,,1060 mm (41.7 inches),1730 mm (68.1 inches),1040 mm (40.9 inches),"Wet sump, Oil pump pressurized",153 mm (6.0 inches),165 mm (6.5 inches),178 mm (7.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic Zion 125,2009,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",6.0 HP (4.4  kW)) @ 8000 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 6500 RPM,,,,Carburettor,Single Overhead Cams (SOHC),,,Automatic,Belt   (final drive),Variomatic,,,,,,,,,100/80-16 ,120/80-16 ,,,,143.0 kg (315.3 pounds),0.0420 HP/kg,,,,1330 mm (52.4 inches),4.20 litres (1.11 US gallons),Titanium,Electric & kick,,,1140 mm (44.9 inches),1985 mm (78.1 inches),,Forced feed lubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung SF 50R Rally,2009,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,7.2:1,,Carburettor. VM14,,,Air,Automatic,Belt   (final drive),Dry shoe Automatic Centrifugal,,,,,,,,,120/90-10 ,130/90-10 ,Single disc,,Expanding brake (drum brake),90.0 kg (198.4 pounds),,,,"745 mm (29.3 inches) If adjustable, lowest setting.",1270 mm (50.0 inches),4.80 litres (1.27 US gallons),,Electric & kick,,,,1845 mm (72.6 inches),635 mm (25.0 inches),,,,125 mm (4.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic Caballero Motard 125 H2O,2009,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,10.0:1,,Carburettor. Kehin Cvk30,,,Liquid,6-speed,Chain   (final drive),,,,,Perimetrale in steel to the CrMo,,,Staple Marzocchi USD 40,Mono Marzocchi with double regulation,,,Single disc. Wave,,Single disc. Wave,96.0 kg (211.6 pounds),,,,"880 mm (34.6 inches) If adjustable, lowest setting.",2040 mm (80.3 inches),7.50 litres (1.98 US gallons),Blue/white,Electric & kick,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SXV 4.5,2009,Super motard," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",452.0 ccm (27.58 cubic inches),"V2, four-stroke",,,,,,Injection. Electronic fuel injection with 38 mm throttle bodies,Single Overhead Cams (SOHC),,Liquid,5-speed,,Cable operated multi-plate wet clutch.,,,,Steel perimeter frame with aluminium alloy vertical members.,,,48 mm upside down fork with two adjustments.,Box section aluminium swingarm with cast body. Hydraulic monoshock with compression and rebound adjustment.,120/70-17 ,180/55-17 ,Single disc,240 mm (9.4 inches),Single disc,,,,,"918 mm (36.1 inches) If adjustable, lowest setting.",1495 mm (58.9 inches),7.80 litres (2.06 US gallons),Black off,,,4,,2222 mm (87.5 inches),800 mm (31.5 inches),Dry sump with external oil tank. Separate gearbox lubrication.,,,,,,,,12500,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Scarabeo 300,2009,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",278.3 ccm (16.98 cubic inches),"Single cylinder, four-stroke",29.9 HP (21.8  kW)) @ 7500 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 6500 RPM,,,75.0 x 63.0 mm (3.0 x 2.5 inches),Injection. Electronic fuel injection with electric fuel pump,,Electronic inductive discharge ignition with variable advance,,Automatic,Belt   (final drive),Automatic centrifugal dry clutch,,,,,,,Hydraulic fork,Double acting hydraulic shock absorber with preload adjustment,110/70-16 ,140/70-14 ,Single disc,240 mm (9.4 inches),Single disc,,,,,"785 mm (30.9 inches) If adjustable, lowest setting.",,10.00 litres (2.64 US gallons),"Glam White, Competition Black, Lead Grey",Electric,,4,,2270 mm (89.4 inches),770 mm (30.3 inches),Wet sump. Forced circulation with mechanical pump.,104 mm (4.1 inches),90 mm (3.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Pixel 50,2009,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",3.3 HP (2.4  kW)) @ 5700 RPM,4.3 Nm (0.4 kgf-m or 3.1 ft.lbs) @ 5500 RPM,45.0 km/h (28.0 mph),6.9:1,40.0 x 39.5 mm (1.6 x 1.6 inches),,,C.D.I.,Air,Automatic,Belt   (final drive),"Wet shoe, multiplate",2.40 litres/100 km (41.7 km/l or 98.01 mpg),55.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,3.50-10 ,3.50-10 ,Single disc,,Expanding brake (drum brake),88.0 kg (194.0 pounds),0.0376 HP/kg,,,,1170 mm (46.1 inches),,,Electric & kick,,,,1775 mm (69.9 inches),700 mm (27.6 inches),,,,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Bear Choppers Miss Behavin 100 Carb,2009,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1638.8 ccm (100.00 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)),,,,101.6 x 101.6 mm (4.0 x 4.0 inches),Carburettor. S and S Super E Carburetor,,S and S,,6-speed,Chain   (final drive),,,,Chrome 2 into 1 Baffled EPA Approved,BBC Miss Behavin Softail,34.0°,,BBC Screamin Demon Springer,,90/80-21 ,250/80-18 ,Single disc,,Single disc,317.5 kg (700.0 pounds),0.2992 HP/kg,,,"508 mm (20.0 inches) If adjustable, lowest setting.",2083 mm (82.0 inches),14.66 litres (3.87 US gallons),"Gross Black, satin black, charcoal metallic, silver metallic, black cherry, candyred metallic, firecracker red, orange pearl, electric blue, pearl white.",Electric,,,,2794 mm (110.0 inches),,S and S high volume oil pump,76 mm (3.0 inches),76 mm (3.0 inches),,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki KingQuad 750AXi Rockstar,2009,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,722.0 ccm (44.06 cubic inches),"Single cylinder, four-stroke",,,,,104.0 x 85.0 mm (4.1 x 3.3 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),CDI,Liquid,,,,,,,,,,"Independent, double wishbone, coil spring, oil damped","Independent, double wishbone, coil spring, oil damped",25/8-AT12 ,25/10-AT12 ,Double disc,,Single disc,,,,,"880 mm (34.6 inches) If adjustable, lowest setting.",,17.50 litres (4.62 US gallons),Yellow/Rockstar,,"2WD, 4WD and 4WD lock. 30W multi-reflector halogen headlights.",4,1245 mm (49.0 inches),2115 mm (83.3 inches),1210 mm (47.6 inches),Wet sump,,,,,,302.0 kg (665.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Precision Cycle Works Nightmare,2009,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1573.3 ccm (96.00 cubic inches),"V2, four-stroke",,,,,,,,,Air,6-speed,,,,,PRC Custom,,40.0°,,,,90/90-21 ,250-18 ,Single disc,,Single disc,,,,,"457 mm (18.0 inches) If adjustable, lowest setting.",,,Custom paint.,,S and S engine. Steel front and rear fenders. Carbon fiber composite gas tank. Black or polished motor.,,,2616 mm (103.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR&S VUN Fifties,2009,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",53.6 HP (39.2  kW)) @ 7000 RPM,58.9 Nm (6.0 kgf-m or 43.4 ft.lbs) @ 5000 RPM,,9.7:1,100.0 x 83.0 mm (3.9 x 3.3 inches),"Injection. Integrated CR and S/Walbro/Dell’Orto ignition/injection system, 52 mm throttle housing, twin injectors, twin spark",Double Overhead Cams/Twin Cam (DOHC),Walbro integrated,Liquid,5-speed,,Wet multiplate,,,,Steel tubes and machined light alloy plates compound,,,Tele-hydraulic fork with 46mm diameter rods,"Oscillating swingarm, single shock absorber",120/70-ZR17 ,160/60-ZR17 ,Single disc,220 mm (8.7 inches),Single disc,135.0 kg (297.6 pounds),0.3973 HP/kg,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1368 mm (53.9 inches),12.50 litres (3.30 US gallons),,Electric,,4,,1980 mm (78.0 inches),740 mm (29.1 inches),Dry sump,120 mm (4.7 inches),128 mm (5.0 inches),150 mm (5.9 inches),3.50 litres (3.7 US quarts),,,3.00 litres (0.79 US gallons),,"820 mm (32.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTB Softail Night Train,2009,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1584.0 ccm (96.66 cubic inches),"V2, four-stroke",,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 3200 RPM,,9.2:1,95.3 x 111.1 mm (3.8 x 4.4 inches),Injection,,,Air,6-speed,Belt   (final drive),Wet multiplate,,,"Chrome, staggered shorty exhaust with dual mufflers",Mild steel tubular frame; rectangular section backbone;,32.0°,127 mm (5.0 inches),41.3mm telescopic fork,"Hidden, horizontal-mounted, coil-over",MT90-21 ,200/55-R17 ,Single disc,292 mm (11.5 inches),Single disc,303.0 kg (668.0 pounds),,,,"640 mm (25.2 inches) If adjustable, lowest setting.",1700 mm (66.9 inches),18.90 litres (4.99 US gallons),"Vivid Black, Black Pearl, Black Denim, Red Hot Sunglo",Electric,"Black powder-coated engine with wrinkle-black treatment covers; Black
“horseshoe” oil tank with chrome external oil lines; Black, nostalgic fuel tank
console; Bullet headlamp; Chrome, isolated riser; Forward-mounted rider
footpegs; Standard passenger footpegs; Stainless steel, drag-style handlebars;
One-piece, two-up Badlander™ seat;“ape-hanger” handlebar; Gloss black console with cat-eye indicators; Rider
adjusted, two-position, sprung solo seat; Tribal pinstripe graphics on fuel tank
and fenders; Nostalgic patent badge on oil tank; Gloss black, oval air cleaner
cover; Half moon floorboards with heel/toe shifter; New Willie G. signed skull
graphics on the oil tankoil tank with chrome external oil lines; Chrome, bullet headlamp; Standard
passenger footpegs; Chrome auxiliary lamps; New quick detachable king-size
Lexan windshield; New 1940’s-style leather saddlebags with quick opening
buckles; New passenger seat; New passenger backrest; New Touring handlebars
with new top clamp and risers; Full FL front fender with new chrome accents;
New two-tone leather tank panel; New Hydra Glide style, chrome nacelle with
horizontal “knuckles”; New “old-school” shaped, stainless steel rider footboards
and brake paddle",,,2410 mm (94.9 inches),,,142 mm (5.6 inches),109 mm (4.3 inches),130 mm (5.1 inches),,,,,,,New low-profile front fender,,,,,,,,,,,,,,,,,,,,,,,
Honda SH300i,2009,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",279.1 ccm (17.03 cubic inches),"Single cylinder, four-stroke",26.8 HP (19.6  kW)) @ 8250 RPM,26.0 Nm (2.7 kgf-m or 19.2 ft.lbs) @ 6000 RPM,,10.5:1,72.0 x 68.5 mm (2.8 x 2.7 inches),Injection. PGM-FI electronic fuel injection ,Single Overhead Cams (SOHC),Digital transistorised with electronic advance ,Liquid,,Belt   (final drive),,,,,,,,"35mm telescopic fork, 102mm axle travel ","Dual-damper unit swingarm, 95mm axle travel ",110/70-(16 ,130/70-(16 ,Single disc,256 mm (10.1 inches),Single disc,161.8 kg (356.7 pounds),0.1658 HP/kg,,,"785 mm (30.9 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),9.00 litres (2.38 US gallons),"Wine red, gray, silver, beige, black",Electric,,,1220 mm (48.0 inches),2100 mm (82.7 inches),730 mm (28.7 inches),,,,136 mm (5.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti Grizzly RCX 10,2009,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,,,,Carburettor,,Electronic,Air,,Chain   (final drive),,,,,,,,,,2.50-10 ,2.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,"620 mm (24.4 inches) If adjustable, lowest setting.",,,"Blue, orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha VMAX,2009,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1679.0 ccm (102.45 cubic inches),"V4, four-stroke",197.4 HP (144.1  kW)),166.8 Nm (17.0 kgf-m or 123.0 ft.lbs),,11.3:1,90.0 x 66.0 mm (3.5 x 2.6 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),T.C.I.,Liquid,5-speed,Shaft drive (cardan)   (final drive),"Wet, multiple-disc  diaphragm spring",,,,"Aluminium,  diamond-shaped",31.0°,148 mm (5.8 inches),"Telescopic forks, Æ 52 mm",Swingarm (Link-type suspension),120/70-R18 ,200/50-R18 ,Double disc,298 mm (11.7 inches),Single disc,,,,,"775 mm (30.5 inches) If adjustable, lowest setting.",1700 mm (66.9 inches),15.00 litres (3.96 US gallons),Solar black,Electric,,4,1190 mm (46.9 inches),2395 mm (94.3 inches),820 mm (32.3 inches),Wet sump,120 mm (4.7 inches),110 mm (4.3 inches),140 mm (5.5 inches),,,310.0 kg (683.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Terra 125,2009,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.2 ccm (7.58 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)),,,,58.0 x 47.0 mm (2.3 x 1.9 inches),Carburettor. 30 mm,,CDI,Liquid,6-speed,,Multi-plate in oil bath,,,Euro III,,,,Hydraulic fork,Mono-shock with adjustable spring pre-load.,100/90-18 ,130/80-17 ,Single disc,220 mm (8.7 inches),Single disc,117.0 kg (257.9 pounds),0.1282 HP/kg,,,"795 mm (31.3 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),12.00 litres (3.17 US gallons),"Blue, yellow, red",Electric,Derbi is a Soanish brand,4,1260 mm (49.6 inches),2144 mm (84.4 inches),815 mm (32.1 inches),Dry sump  with integrated oil deposit,150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Raider S,2009,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1851.9 ccm (113.00 cubic inches),"V2, four-stroke",,,,9.5:1,100.0 x 118.0 mm (3.9 x 4.6 inches),Injection. Twin-Bore electronic fuel injection; throttle position sensor,Overhead Valves (OHV),TCI: Transistor Controlled Ignition,Air,5-speed,Belt   (final drive),,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Double cradle,,,Telescopic fork,Swingarm,120/70-21 ,210/40-18 ,Double disc,310 mm (12.2 inches),Single disc,,,,,"693 mm (27.3 inches) If adjustable, lowest setting.",1801 mm (70.9 inches),15.89 litres (4.20 US gallons),"Candy Red w/flames, Raven",Electric,,4,1166 mm (45.9 inches),2570 mm (101.2 inches),925 mm (36.4 inches),,130 mm (5.1 inches),89 mm (3.5 inches),,,,331.1 kg (730.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
