Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Starter,Clutch,Frame type,Rear suspension,Dry weight,Power/weight ratio,Color options,Max RPM,Ignition,Exhaust system,Oil capacity,Torque,Rake (fork angle),Trail,Seat height,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Lubrication system,Fuel consumption,Greenhouse gases,Front suspension,Front wheel travel,Rear wheel travel,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Modifications compared to previous model,Diameter,Reserve fuel capacity,Comments,"60-140 km/h (37-87 mph), highest gear",Emission details,Wheels,Seat,Front percentage of weight,Rear percentage of weight,Alternate seat height,Instruments,Electrical,Light,Carrying capacity
Yangtze 750 (with sidecar),1988,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",22.0 HP (16.1  kW)) @ 4500 RPM,90.0 km/h (55.9 mph),5.7:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Standing valves,Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 750 Intruder,1988,Classic," 4.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 7500 RPM,165.0 km/h (102.5 mph),10.0:1,80.0 x 74.4 mm (3.1 x 2.9 inches),4,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,140/90-15 ,Single disc,Expanding brake,215.0 kg (474.0 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Enduro 350,1988,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 5975 RPM,110.0 km/h (68.4 mph),16.0:1,75.0 x 78.0 mm (3.0 x 3.1 inches),,Membrane & variable discharge openings,Liquid,5-speed,Chain   (final drive),3.00-21 ,130/80-18 ,Single disc,Single disc,125.0 kg (275.6 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 Paso,1988,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 7900 RPM,201.0 km/h (124.9 mph),10.0:1,88.0 x 61.5 mm (3.5 x 2.4 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),130/60-16 ,160/60-16 ,Dual disc,Single disc,222.0 kg (489.4 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Mille GT,1988,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6700 RPM,171.0 km/h (106.3 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,120/90-18 ,Dual disc,Single disc,246.0 kg (542.3 pounds),22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1200 (reduced effect),1988,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8500 RPM,231.0 km/h (143.5 mph),9.7:1,77.0 x 63.8 mm (3.0 x 2.5 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/80-16 ,150/80-16 ,Dual disc,Single disc,259.0 kg (571.0 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65 Florida,1988,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",643.0 ccm (39.24 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 7200 RPM,161.0 km/h (100.0 mph),10.0:1,80.0 x 64.0 mm (3.1 x 2.5 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-16 ,Dual disc,Single disc,197.0 kg (434.3 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 250 HF,1988,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,110.0 km/h (68.4 mph),13.0:1,72.0 x 61.0 mm (2.8 x 2.4 inches),,Rotary valves,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Single disc,Expanding brake,107.0 kg (235.9 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xingfu 250 A,1988,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 4500 RPM,110.0 km/h (68.4 mph),7.0:1,65.0 x 75.0 mm (2.6 x 3.0 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-16 ,3.25-16 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet De Luxe,1988,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,110.0 km/h (68.4 mph),6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.25-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 DX,1988,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",447.0 ccm (27.28 cubic inches),"Twin, four-stroke",43.0 HP (31.4  kW)) @ 9000 RPM,,,75.0 x 50.6 mm (3.0 x 2.0 inches),3,Single Overhead Cams (SOHC),Oil & air,6-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Double disc,Single disc,,17.50 litres (4.62 US gallons),Carburettor,,Wet plate,,,176.0 kg (388.0 pounds),0.2443 HP/kg,,,,,,,,,,,,,,,,130 mm (5.1 inches),110 mm (4.3 inches),,,,,,,280 mm (11.0 inches),,,,,,,,,,,,,
Kawasaki Z 550 GT (reduced effect),1988,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 7300 RPM,132.0 km/h (82.0 mph),9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Shaft drive (cardan)   (final drive),100/90-19 ,120/90-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 600 R (reduced effect),1988,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 10000 RPM,178.0 km/h (110.6 mph),11.0:1,60.0 x 52.4 mm (2.4 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/90-16 ,130/90-16 ,Dual disc,Single disc,217.0 kg (478.4 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 V Transalp,1988,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,167.0 km/h (103.8 mph),9.2:1,75.0 x 66.0 mm (3.0 x 2.6 inches),3,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,205.0 kg (451.9 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 F (reduced effect),1988,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",598.0 ccm (36.49 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,187.0 km/h (116.2 mph),11.0:1,63.0 x 48.0 mm (2.5 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/80-17 ,130/80-17 ,Dual disc,Single disc,201.0 kg (443.1 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GP 250 E,1988,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5500 RPM,100.0 km/h (62.1 mph),15.5:1,67.0 x 70.0 mm (2.6 x 2.8 inches),,Membrane & variable discharge openings,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.10-18 ,Single disc,Single disc,105.0 kg (231.5 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 504 F 4 T,1988,Cross / motocross," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",502.0 ccm (30.63 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7700 RPM,130.0 km/h (80.8 mph),9.2:1,90.0 x 79.0 mm (3.5 x 3.1 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-21 ,4.50-18 ,Single disc,Expanding brake,137.0 kg (302.0 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 1400 Intruder,1988,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1360.0 ccm (82.99 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 4800 RPM,167.0 km/h (103.8 mph),9.3:1,94.0 x 98.0 mm (3.7 x 3.9 inches),3,Overhead Cams (OHC),Air,4-speed,Shaft drive (cardan)   (final drive),110/90-19 ,170/80-15 ,Single disc,Single disc,260.0 kg (573.2 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera NGR 250 (reduced effect),1988,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",21.0 HP (15.3  kW)) @ 6750 RPM,138.0 km/h (85.7 mph),12.5:1,71.5 x 62.0 mm (2.8 x 2.4 inches),,Rotary valves,Liquid,5-speed,Chain   (final drive),100/90-16 ,110/90-18 ,Dual disc,Single disc,160.0 kg (352.7 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 F,1988,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",106.0 HP (77.4  kW)) @ 10500 RPM,,10.5:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/80-17 ,140/80-17 ,Dual disc,Single disc,222.0 kg (489.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 125 HF,1988,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",9.8 HP (7.2  kW)) @ 10000 RPM,100.0 km/h (62.1 mph),15.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Liquid,6-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Expanding brake,Expanding brake,100.0 kg (220.5 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN-15,1988,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 4500 RPM,179.0 km/h (111.2 mph),9.0:1,102.0 x 90.0 mm (4.0 x 3.5 inches),4,Overhead Cams (OHC),Liquid,4-speed,Shaft drive (cardan)   (final drive),100/90-19 ,150/90-15 ,Single disc,Single disc,284.0 kg (626.1 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera RX 200 Enduro,1988,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,183.0 ccm (11.17 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,115.0 km/h (71.5 mph),12.5:1,68.0 x 50.5 mm (2.7 x 2.0 inches),,Membrane,Liquid,6-speed,Chain   (final drive),2.45-21 ,4.60-17/62 ,Single disc,Expanding brake,136.0 kg (299.8 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900 F,1988,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",891.0 ccm (54.37 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,221.0 km/h (137.3 mph),9.6:1,68.5 x 60.5 mm (2.7 x 2.4 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,242.0 kg (533.5 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Magna  (Supermagna),1988,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",88.0 HP (64.2  kW)) @ 9500 RPM,201.2 km/h (125.0 mph),10.5:1,,4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),100/90-19 ,150/80-15 ,Single disc,Expanding brake (drum brake),,9.84 litres (2.60 US gallons),Carburettor,,Wet Plate,,,249.5 kg (550.0 pounds),0.3527 HP/kg,"Red, Black",10500,,4 into 4 upswept pipes,,,,,,,,,5.22 litres/100 km (19.2 km/l or 45.06 mpg),121.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,2.27 litres (0.60 US gallons),,,,,,,,,,,,
Honda XRV 650 Africa Twin,1988,Enduro / offroad," 4.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 7000 RPM,168.0 km/h (104.4 mph),9.4:1,79.0 x 66.0 mm (3.1 x 2.6 inches),3,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/90-17 ,Single disc,Single disc,220.0 kg (485.0 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chang-Jiang 750 FY (with sidecar),1988,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5000 RPM,110.0 km/h (68.4 mph),7.0:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Overhead Valves (OHV),Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,370.0 kg (815.7 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1000 RX,1988,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 9500 RPM,,10.2:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/80-16 ,150/80-16 ,Dual disc,Single disc,267.0 kg (588.6 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M 67-6,1988,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",38.0 HP (27.7  kW)) @ 5700 RPM,130.0 km/h (80.8 mph),7.0:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,4.00-18 ,Expanding brake,Expanding brake,210.0 kg (463.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KMX 200,1988,Trial," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",192.0 ccm (11.72 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,109.0 km/h (67.7 mph),8.0:1,67.0 x 54.4 mm (2.6 x 2.1 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Single disc,120.0 kg (264.6 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 304,1988,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",231.0 ccm (14.10 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 10500 RPM,135.0 km/h (83.9 mph),10.5:1,44.0 x 38.0 mm (1.7 x 1.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NTV 650 Revere,1988,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 7500 RPM,,9.2:1,79.0 x 66.0 mm (3.1 x 2.6 inches),3,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/80-17 ,150/70-17 ,Single disc,Single disc,208.0 kg (458.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 250,1988,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"In-line four, four-stroke",45.0 HP (32.8  kW)) @ 15000 RPM,180.0 km/h (111.8 mph),12.5:1,49.0 x 33.0 mm (1.9 x 1.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/80-17 ,130/70-17 ,Double disc. 2-piston calipers,Single disc. 1-piston caliper,,,Carburettor. Twin Mikuni BSW 27,Electric,Wet multi-plate type,,"Full Floater, single shock, swingarm",138.0 kg (304.2 pounds),0.3261 HP/kg,,17000,Full transistor,´Suzuki Power Up Exhaust´,,24.0 Nm (2.4 kgf-m or 17.7 ft.lbs) @ 10500 RPM,26.0°,103 mm (4.1 inches),"770 mm (30.3 inches) If adjustable, lowest setting.",,,,4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Telescopic forks,,,1105 mm (43.5 inches),2000 mm (78.7 inches),700 mm (27.6 inches),125 mm (4.9 inches),1370 mm (53.9 inches),,210 mm (8.3 inches),,,,,,,,,,,,,
BMW R 80 GS,1988,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,150.0 km/h (93.2 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,225.0 kg (496.0 pounds),26.00 litres (6.87 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera RX 200 Arizona,1988,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,183.0 ccm (11.17 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,105.0 km/h (65.2 mph),12.5:1,68.0 x 50.5 mm (2.7 x 2.0 inches),,Membrane,Liquid,6-speed,Chain   (final drive),2.45-21 ,4.60-17/62 ,Single disc,Expanding brake,140.0 kg (308.6 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 1000 Genesis (reduced effect),1988,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",989.0 ccm (60.35 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9500 RPM,231.0 km/h (143.5 mph),11.2:1,75.0 x 56.0 mm (3.0 x 2.2 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,234.0 kg (515.9 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli BX 125 Enduro,1988,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,114.0 km/h (70.8 mph),11.5:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Membrane,Liquid,6-speed,Chain   (final drive),2.75-21 ,4.10-18 ,Single disc,Expanding brake,112.0 kg (246.9 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 250 (with sidecar),1988,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",22.0 HP (16.1  kW)) @ 5800 RPM,100.0 km/h (62.1 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.50-18 ,Single disc,Expanding brake,240.0 kg (529.1 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 125 C 9 Freccia,1988,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",24.0 HP (17.5  kW)) @ 10500 RPM,155.0 km/h (96.3 mph),13.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),100/80-16 ,120/80-17 ,Single disc,Single disc,138.0 kg (304.2 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 250,1988,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,112.0 km/h (69.6 mph),9.2:1,75.0 x 56.5 mm (3.0 x 2.2 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,125.0 kg (275.6 pounds),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTC 1340 Electra Glide Classic (reduced effect),1988,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1337.0 ccm (81.58 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 4800 RPM,,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16 ,Dual disc,Single disc,350.0 kg (771.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 Klassik,1988,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,150.0 km/h (93.2 mph),11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Expanding brake,Expanding brake,160.0 kg (352.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750 GT (reduced effect),1988,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",49.0 HP (35.8  kW)) @ 7750 RPM,160.0 km/h (99.4 mph),9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,120/90-18 ,Dual disc,Single disc,243.0 kg (535.7 pounds),24.50 litres (6.47 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
