Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Starter,"Weight incl. oil, gas, etc",Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Diameter,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Oil capacity,Color options,Comments,Engine oil,Oil filter,Chain size,Chain links,Sprockets,Clutch,Exhaust system,Ground clearance,Reserve fuel capacity,Modifications compared to previous model,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Fork tube size,Max RPM,Rake (fork angle),Trail,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Coolant,Tire pressure front,Tire pressure rear,"60-140 km/h (37-87 mph), highest gear"
Kawasaki Zephyr 750,1996,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",738.0 ccm (45.03 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 9500 RPM,56.9 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 7300 RPM,2,Air,5-speed,Chain   (final drive),Double disc,Single disc,201.0 kg (443.1 pounds),0.3582 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,,,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,"Area code EU,UK,FR,NL,AR,FG,GR,NR,SD,SP,ST:  
frame range ZR750D 000001 - ZR750D 007000,  
engine range KZ750EE 150001 - KZ750EE 999999  
 
Area code EU,UK,FR,NL,AR,FG,GR,NR,SD,SP,ST:  
frame range ZR750C 054001 - ZR750C 060100,  
engine range KZ750EE 150001 - KZ750EE 999999",,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RS 100 Tourque Induction,1996,Allround," 2.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",,,,Air,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Skorpion Replica 660,1996,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,58.0 Nm (5.9 kgf-m or 42.8 ft.lbs) @ 5500 RPM,5,,5-speed,Chain   (final drive),Dual disc,Single disc,165.0 kg (363.8 pounds),0.3030 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 900,1996,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 6500 RPM,4,Liquid,6-speed,,Dual disc,Single disc,213.0 kg (469.6 pounds),0.4601 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Thunderbird,1996,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,72.0 Nm (7.3 kgf-m or 53.1 ft.lbs) @ 4800 RPM,4,,5-speed,,Single disc,Single disc,220.0 kg (485.0 pounds),0.3182 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75,1996,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,66.7 Nm (6.8 kgf-m or 49.2 ft.lbs) @ 6750 RPM,2,,5-speed,,Dual disc,Single disc,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,228.0 kg (502.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 V Transalp,1996,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 6000 RPM,3,Air,5-speed,Chain   (final drive),Single disc,Single disc,184.0 kg (405.7 pounds),0.2717 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75 RT,1996,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,66.7 Nm (6.8 kgf-m or 49.2 ft.lbs) @ 6750 RPM,2,,5-speed,,Dual disc,Single disc,,,"810 mm (31.9 inches) If adjustable, lowest setting.",,258.0 kg (568.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda RVF 400 RT,1996,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"V4, four-stroke",,,4,Liquid,6-speed,Chain   (final drive),Double disc. Double floating disc; 4-piston Nissin calipers,Single disc. Single solid disc; 2-piston Nissin caliper,165.0 kg (363.8 pounds),,,Electric,,217.3 km/h (135.0 mph),11.3:1,55.0 x 42.0 mm (2.2 x 1.7 inches),Carburettor,,Digitalized full transistor ignition,,,,Twin-spar aluminum,41mm Showa cartridge forks,,"Single-sided swing arm, gas-filled damper with remote reservoir",,,,,1075 mm (42.3 inches),1985 mm (78.1 inches),,1345 mm (53.0 inches),15.00 litres (3.96 US gallons),,,Model ID: RVF400RR/RVF400RT,,,,,,,,,2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,
Ducati 900 Monster,1996,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",80.0 HP (58.4  kW)) @ 7200 RPM,,4,,6-speed,Chain   (final drive),Dual disc,Single disc,185.0 kg (407.9 pounds),0.4324 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Solo,1996,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",23.5 HP (17.2  kW)) @ 5800 RPM,40.2 Nm (4.1 kgf-m or 29.7 ft.lbs) @ 5100 RPM,2,Air,4-speed,,Expanding brake,Expanding brake,182.0 kg (401.2 pounds),0.1291 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 900 RR Fireblade,1996,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",918.0 ccm (56.02 cubic inches),"In-line four, four-stroke",128.0 HP (93.4  kW)) @ 10500 RPM,91.2 Nm (9.3 kgf-m or 67.3 ft.lbs) @ 8750 RPM,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,183.0 kg (403.4 pounds),0.6995 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota Mantra,1996,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",86.0 HP (62.8  kW)) @ 7000 RPM,90.2 Nm (9.2 kgf-m or 66.5 ft.lbs) @ 5700 RPM,2,,6-speed,,Dual disc,Single disc,172.0 kg (379.2 pounds),0.5000 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota YB9 SRI,1996,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",,,4,,6-speed,Chain   (final drive),Dual disc,Single disc,175.0 kg (385.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1500 Gold Wing SE,1996,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",100.0 HP (73.0  kW)) @ 5200 RPM,150.0 Nm (15.3 kgf-m or 110.6 ft.lbs) @ 4000 RPM,2,Liquid,5-speed,Shaft drive (cardan)   (final drive),Double disc. Two-piston calipers. ,Single disc. Two-piston calipers. ,372.0 kg (820.1 pounds),0.2688 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",Electric,394.0 kg (868.6 pounds),193.0 km/h (119.9 mph),9.8:1,71.0 x 64.0 mm (2.8 x 2.5 inches),Carburettor. 2 x 36 mm Keihin CV,Single Overhead Cams (SOHC),,,7.50 litres/100 km (13.3 km/l or 31.36 mpg),174.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Tubular steel cradle,Air adjustable telescopic forks,,Pro-link air adjustable,,130/70-18 ,160/80-16 ,316 mm (12.4 inches),1495 mm (58.9 inches),2615 mm (103.0 inches),955 mm (37.6 inches),1690 mm (66.5 inches),23.00 litres (6.08 US gallons),3.70 litres (3.91 US quarts),"Red, green",Electric reverse,SAE 10W-40,Fram PH6017A,,,,,,115 mm (4.5 inches),,,DOT 4,Y50-N18L-A3,"NGK DPR7EA-9, NGK DPR7EIX-9",800  +/- 100  RPM,,,,41 mm (1.6 inches),,,,,,4.00 litres (1.06 US gallons),33 PSI (2.3 Bar or 225 kPa),36 PSI (2.5 Bar or 250 kPa),
Husaberg FE 501 Enduro,1996,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",501.0 ccm (30.57 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)),,4,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,116.0 kg (255.7 pounds),0.4310 HP/kg,"950 mm (37.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell S2-T,1996,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1203.0 ccm (73.41 cubic inches),"Twin, four-stroke",76.0 HP (55.5  kW)) @ 5200 RPM,103.1 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 5200 RPM,2,Air,5-speed,Belt   (final drive),"Single disc. 1, six-piston PM caliper",Single disc. Single-action Brembo caliper,220.0 kg (485.0 pounds),0.3455 HP/kg,"756 mm (29.8 inches) If adjustable, lowest setting.",Electric,233.6 kg (515.0 pounds),206.0 km/h (128.0 mph),9.0:1,88.9 x 96.8 mm (3.5 x 3.8 inches),"Carburettor. 1, 40mm Keihin",Overhead Valves (OHV),"Electronically triggered, dual-stage advance",Dry sump,4.61 litres/100 km (21.7 km/l or 51.02 mpg),107.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Chrome-moly steel perimeter with Uniplanar vibration isolation system,40mm Inverted WP,119 mm (4.7 inches),WP Extension type,124 mm (4.9 inches),120/70-ZR17 ,170/60-ZR17 ,230 mm (9.1 inches),1219 mm (48.0 inches),2070 mm (81.5 inches),953 mm (37.5 inches),1387 mm (54.6 inches),18.92 litres (5.00 US gallons),,"Parkway Blue
Quicksilver",,,,,,,Wet plate,2 into 1 underslung muffler,132 mm (5.2 inches),,,,,,,,,,,6200,25.0°,99 mm (3.9 inches),,12.34 seconds,,,,4.10 seconds
Harley-Davidson Sportster 1200 Sport,1996,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",59.8 HP (43.6  kW)) @ 5200 RPM,89.0 Nm (9.1 kgf-m or 65.6 ft.lbs) @ 3500 RPM,2,Air,5-speed,Belt   (final drive),Dual disc,Single disc,226.0 kg (498.2 pounds),0.2646 HP/kg,"736 mm (29.0 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1100 LT,1996,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1092.0 ccm (66.63 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 5500 RPM,4,,5-speed,,Dual disc,Single disc,,,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,268.0 kg (590.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Ultra Classic Tour Glide,1996,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",61.2 HP (44.7  kW)) @ 5000 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 3000 RPM,2,Air,5-speed,Belt   (final drive),Dual disc,Single disc,,,"779 mm (30.7 inches) If adjustable, lowest setting.",Electric,350.0 kg (771.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Roadster 200,1996,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",,,2,,5-speed,Chain   (final drive),Single disc,Expanding brake,130.0 kg (286.6 pounds),,"765 mm (30.1 inches) If adjustable, lowest setting.",,,135.0 km/h (83.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EN 500,1996,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,40.2 Nm (4.1 kgf-m or 29.7 ft.lbs) @ 7300 RPM,4,,6-speed,Chain   (final drive),Single disc,Expanding brake,187.0 kg (412.3 pounds),0.2674 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SL Superlight,1996,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",80.0 HP (58.4  kW)) @ 7000 RPM,83.4 Nm (8.5 kgf-m or 61.5 ft.lbs) @ 6400 RPM,2,,6-speed,Chain   (final drive),Dual disc,Single disc,182.0 kg (401.2 pounds),0.4396 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 250 S Virago,1996,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"V2, four-stroke",21.0 HP (15.3  kW)) @ 8000 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 6500 RPM,2,Air,5-speed,Chain   (final drive),Single disc,Expanding brake,139.0 kg (306.4 pounds),0.1511 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
