Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Exhaust system,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Color options,Starter,Modifications compared to previous model,Top speed,Bore x stroke,Valves per cylinder,Fuel capacity,Max RPM,Rake (fork angle),Trail,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Torque,1/4 mile (0.4 km),Diameter,Dry weight,Power/weight ratio,Fuel consumption,Greenhouse gases,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front wheel travel,Rear wheel travel,Comments,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight
Yamaha FZR 1000 Genesis,1987,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",989.0 ccm (60.35 cubic inches),"In-line four, four-stroke",135.0 HP (98.5  kW)) @ 9500 RPM,11.2:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Chain   (final drive),,,,,,120/70-17 ,160/60-18 ,Dual disc,Single disc,234.0 kg (515.9 pounds),,,,,75.0 x 56.0 mm (3.0 x 2.2 inches),5,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 250 WR,1987,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5500 RPM,12.3:1,,Membrane,,,Liquid,6-speed,Chain   (final drive),,,,,,3.00-21 ,4.50-18 ,Single disc,Expanding brake,106.0 kg (233.7 pounds),,,,110.0 km/h (68.4 mph),69.5 x 64.5 mm (2.7 x 2.5 inches),,10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SRX 6 (reduced effect),1987,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",608.0 ccm (37.10 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,8.5:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,100/80-18 ,120/80-18 ,Dual disc,Single disc,172.0 kg (379.2 pounds),,,,150.0 km/h (93.2 mph),96.0 x 84.0 mm (3.8 x 3.3 inches),4,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 350,1987,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,9.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,3.00-21 ,110/80-18 ,Single disc,Expanding brake,150.0 kg (330.7 pounds),,,,135.0 km/h (83.9 mph),86.0 x 59.6 mm (3.4 x 2.3 inches),4,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZL 600,1987,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",74.0 HP (54.0  kW)) @ 10500 RPM,11.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,150/80-15 ,Single disc,Expanding brake,209.0 kg (460.8 pounds),,,,192.0 km/h (119.3 mph),60.0 x 52.4 mm (2.4 x 2.1 inches),4,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SRX 6,1987,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",608.0 ccm (37.10 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 6500 RPM,8.5:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,100/80-18 ,120/80-18 ,Dual disc,Single disc,172.0 kg (379.2 pounds),,,,170.0 km/h (105.6 mph),96.0 x 84.0 mm (3.8 x 3.3 inches),4,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000 SFC,1987,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",996.0 ccm (60.78 cubic inches),"In-line three, four-stroke",95.0 HP (69.3  kW)) @ 8000 RPM,10.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Chain   (final drive),,,,,,100/90-18 ,130/90-18 ,Dual disc,Single disc,253.0 kg (557.8 pounds),,,,221.0 km/h (137.3 mph),75.6 x 74.0 mm (3.0 x 2.9 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXRT 1340 Sport Glide,1987,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5000 RPM,8.5:1,,Overhead Valves (OHV),,,Air,5-speed,Belt   (final drive),,,,,,MM 90-1 ,MT 90-16 ,Dual disc,Single disc,310.0 kg (683.4 pounds),,,,160.0 km/h (99.4 mph),88.8 x 108.0 mm (3.5 x 4.3 inches),2,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 250 R (reduced effect),1987,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 8000 RPM,10.2:1,,Overhead Cams (OHC),,,Air,6-speed,Chain   (final drive),,,,,,3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,131.0 kg (288.8 pounds),,,,110.0 km/h (68.4 mph),75.0 x 56.5 mm (3.0 x 2.2 inches),4,9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 125 WR,1987,Super motard," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 8500 RPM,14.6:1,,Membrane,,,Liquid,6-speed,Chain   (final drive),,,,,,3.00-21 ,4.50-18 ,Expanding brake,Expanding brake,98.0 kg (216.1 pounds),,,,95.0 km/h (59.0 mph),55.0 x 52.0 mm (2.2 x 2.0 inches),,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Mille GT (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,948.0 ccm (57.85 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,9.2:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,110/90-18 ,120/90-18 ,Dual disc,Single disc,246.0 kg (542.3 pounds),,,,156.0 km/h (96.9 mph),88.0 x 78.0 mm (3.5 x 3.1 inches),2,22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet De Luxe,1987,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,6.5:1,,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),,,,,,3.25-19 ,3.25-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),,,,110.0 km/h (68.4 mph),70.0 x 90.0 mm (2.8 x 3.5 inches),2,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RG 250 Gamma,1987,Speedway," 3.2  See the detailed rating of engine performance, racing track capabilities, maintenance costs, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",45.0 HP (32.8  kW)) @ 8500 RPM,7.1:1,,Membrane & variable discharge openings,,,Liquid,6-speed,Chain   (final drive),,,,,,100/90-16 ,100/90-18 ,Dual disc,Single disc,153.0 kg (337.3 pounds),,,,172.0 km/h (106.9 mph),54.0 x 54.0 mm (2.1 x 2.1 inches),,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Enduro 250 VC,1987,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 6500 RPM,9.0:1,,Membrane,,,Liquid,5-speed,Chain   (final drive),,,,,,90/90-21 ,130/90-18 ,Single disc,Single disc,110.0 kg (242.5 pounds),,,,110.0 km/h (68.4 mph),67.5 x 69.0 mm (2.7 x 2.7 inches),,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M 67-6,1987,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",38.0 HP (27.7  kW)) @ 5700 RPM,7.0:1,,Overhead Valves (OHV),,,Air,4-speed,Shaft drive (cardan)   (final drive),,,,,,3.15-19 ,4.00-18 ,Expanding brake,Expanding brake,210.0 kg (463.0 pounds),,,,130.0 km/h (80.8 mph),78.0 x 68.0 mm (3.1 x 2.7 inches),2,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera 350 Dakota,1987,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,9.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Chain   (final drive),,,,,,90/90-21 ,4.60-17/62 ,Single disc,Expanding brake,170.0 kg (374.8 pounds),,,,146.0 km/h (90.7 mph),80.0 x 69.4 mm (3.1 x 2.7 inches),4,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 1000 F 2,1987,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 9500 RPM,10.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Chain   (final drive),,,,,,100/90-18 ,140/80-17 ,Dual disc,Single disc,277.0 kg (610.7 pounds),,,,232.0 km/h (144.2 mph),77.0 x 53.6 mm (3.0 x 2.1 inches),4,23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100 (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1089.0 ccm (66.45 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8750 RPM,9.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Chain   (final drive),,,,,,110/90-18 ,130/90-17 ,Dual disc,Single disc,266.0 kg (586.4 pounds),,,,240.0 km/h (149.1 mph),72.5 x 66.0 mm (2.9 x 2.6 inches),2,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 550 (reduced effect),1987,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,10.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,100/90-18 ,120/80-18 ,Dual disc,Single disc,209.0 kg (460.8 pounds),,,,176.0 km/h (109.4 mph),58.0 x 52.4 mm (2.3 x 2.1 inches),2,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 350 HWE Safari,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7900 RPM,9.2:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.50-21 ,4.50-18 ,Single disc,Expanding brake,150.0 kg (330.7 pounds),,,,130.0 km/h (80.8 mph),79.5 x 70.0 mm (3.1 x 2.8 inches),4,28.00 litres (7.40 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Enduro 400,1987,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 6250 RPM,11.5:1,,Membrane,,,Liquid,5-speed,Chain   (final drive),,,,,,90/90-21 ,130/90-18 ,Single disc,Single disc,114.0 kg (251.3 pounds),,,,115.0 km/h (71.5 mph),75.0 x 78.0 mm (3.0 x 3.1 inches),,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Interpool 2,1987,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,588.0 ccm (35.88 cubic inches),"Twin, four-stroke",114.0 HP (83.2  kW)) @ 9000 RPM,9.0:1,,,,,Air,,Chain   (final drive),"Wet, multiplate",,,38mm Telecopic Forks,Twin Girling Gas Units 3-Way Preload,100/90-18 ,110/80-18 ,Double disc,Single disc,253.0 kg (557.8 pounds),"White, Silver",,,,,,22.50 litres (5.94 US gallons),,,,,,1805 mm (71.1 inches),710 mm (28.0 inches),,1486 mm (58.5 inches),,75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 7000 RPM,,265 mm (10.4 inches),,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65 NTX,1987,Enduro / offroad," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",643.0 ccm (39.24 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)) @ 7500 RPM,9.8:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.00-21 ,4.00-18 ,Single disc,Single disc,200.0 kg (440.9 pounds),,,,153.0 km/h (95.1 mph),80.0 x 64.0 mm (3.1 x 2.5 inches),2,32.00 litres (8.45 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 350 R (reduced effect),1987,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,9.5:1,,Overhead Cams (OHC),,,Air,6-speed,Chain   (final drive),,,,,,3.00-21 ,4.60-17 ,Single disc,Expanding brake,137.0 kg (302.0 pounds),,,,110.0 km/h (68.4 mph),84.0 x 61.3 mm (3.3 x 2.4 inches),4,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 304,1987,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,231.0 ccm (14.10 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 10500 RPM,10.5:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.00-18 ,3.25-18 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),,,,135.0 km/h (83.9 mph),44.0 x 38.0 mm (1.7 x 1.5 inches),2,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 504 F 4 T,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,502.0 ccm (30.63 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7700 RPM,9.2:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.25-21 ,4.50-18 ,Single disc,Expanding brake,137.0 kg (302.0 pounds),,,,130.0 km/h (80.8 mph),90.0 x 79.0 mm (3.5 x 3.1 inches),4,9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM S 3 125 GS,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",19.5 HP (14.2  kW)) @ 6800 RPM,8.5:1,,Membrane,,,Air,6-speed,Chain   (final drive),,,,,,2.75-21 ,4.00-18 ,Single disc,Expanding brake,82.0 kg (180.8 pounds),,,,100.0 km/h (62.1 mph),54.0 x 54.0 mm (2.1 x 2.1 inches),,5.00 litres (1.32 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ 750 Genesis (reduced effect),1987,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 10500 RPM,11.2:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,120/80-16 ,130/80-18 ,Dual disc,Single disc,229.0 kg (504.9 pounds),,,,236.0 km/h (146.6 mph),68.0 x 51.6 mm (2.7 x 2.0 inches),5,21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 GS,1987,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,8.2:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.00-21 ,4.00-18 ,Single disc,Expanding brake,196.0 kg (432.1 pounds),,,,173.0 km/h (107.5 mph),84.8 x 70.6 mm (3.3 x 2.8 inches),2,19.60 litres (5.18 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 650 Alazzurra,1987,Sport touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 8250 RPM,10.0:1,,Desmodromic valve control,,,Air,5-speed,Chain   (final drive),,,,,,100/70-18 ,110/90-18 ,Dual disc,Single disc,202.0 kg (445.3 pounds),,,,192.0 km/h (119.3 mph),82.0 x 61.5 mm (3.2 x 2.4 inches),2,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500,1987,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,9.0:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.50-18 ,4.00-18 ,Single disc,Expanding brake,167.0 kg (368.2 pounds),,,,142.0 km/h (88.2 mph),87.0 x 84.0 mm (3.4 x 3.3 inches),2,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXRS 1340 Low Rider Custom,1987,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5000 RPM,8.5:1,,Overhead Valves (OHV),,,Air,5-speed,Belt   (final drive),,,,,,MJ 90-19 ,MT 90-16 ,Dual disc,Single disc,280.0 kg (617.3 pounds),,,,165.0 km/h (102.5 mph),88.8 x 108.0 mm (3.5 x 4.3 inches),2,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZH Jupiter 4,1987,Custom / cruiser," 2.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",350.0 ccm (21.36 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,9.5:1,,Port control,,,Air,4-speed,Chain   (final drive),,,,,,3.50-18 ,3.50-18 ,Expanding brake,Expanding brake,180.0 kg (396.8 pounds),,,,125.0 km/h (77.7 mph),62.0 x 58.0 mm (2.4 x 2.3 inches),,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1000 RX (reduced effect),1987,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9500 RPM,10.2:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,120/80-16 ,150/80-16 ,Dual disc,Single disc,267.0 kg (588.6 pounds),,,,243.0 km/h (151.0 mph),74.0 x 58.0 mm (2.9 x 2.3 inches),4,21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 450 LTD,1987,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",454.0 ccm (27.70 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9500 RPM,10.7:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Belt   (final drive),,,,,,100/90-19 ,140/90-15 ,Single disc,Expanding brake,199.0 kg (438.7 pounds),,,,162.0 km/h (100.7 mph),72.5 x 55.0 mm (2.9 x 2.2 inches),4,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NS 400 R,1987,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",387.0 ccm (23.61 cubic inches),"V3, two-stroke",72.0 HP (52.6  kW)) @ 9500 RPM,7.0:1,,Membrane,,,Liquid,6-speed,Chain   (final drive),,,,,,100/90-16 ,110/90-17 ,Dual disc,Single disc,192.0 kg (423.3 pounds),,,,207.0 km/h (128.6 mph),57.0 x 50.6 mm (2.2 x 2.0 inches),,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GNX 250 E,1987,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7800 RPM,9.0:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.00-18 ,120/90-16 ,Single disc,Expanding brake,140.0 kg (308.6 pounds),,,,122.0 km/h (75.8 mph),72.0 x 61.2 mm (2.8 x 2.4 inches),4,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 400 F,1987,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",399.0 ccm (24.35 cubic inches),"V4, four-stroke",55.0 HP (40.1  kW)) @ 11500 RPM,11.0:1,"Carburettor. Four Keihin VD40A, 27mm carburettors",Double Overhead Cams/Twin Cam (DOHC),"Digital; Two units, type Toyo Denso FW82-TRI",Wet sump,Liquid,6-speed,Chain   (final drive),Wet plate,4 in 2,round steel tubes,"Showa 35mm, with 4-position anti dive and adjustable air charge","Honda Pro-link monoshock, with adjustable air charge",100/90-16H ,110/90-18H ,"Single disc. inboard ventilated cast iron disk, 2-piston calipers","Single disc. inboard ventilated cast iron disk, 2-piston calipers",193.0 kg (425.5 pounds),"Red/White
Blue/White",Electric,,172.0 km/h (106.9 mph),55.0 x 42.0 mm (2.2 x 1.7 inches),4,17.00 litres (4.49 US gallons),12500,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1160 mm (45.7 inches),2085 mm (82.1 inches),750 mm (29.5 inches),140 mm (5.5 inches),1415 mm (55.7 inches),3.00 litres (0.79 US gallons),35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 10500 RPM,,,175.0 kg (385.8 pounds),0.3143 HP/kg,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,140 mm (5.5 inches),110 mm (4.3 inches),Removable left hand frame tube is part of the cooling system.,,48.7,51.3
Kawasaki Z 550 GT,1987,Touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,9.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-19 ,120/90-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),,,,177.0 km/h (110.0 mph),58.0 x 52.4 mm (2.3 x 2.1 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 35 Ill,1987,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,346.0 ccm (21.11 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7900 RPM,10.5:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-16 ,110/80-18 ,Dual disc,Single disc,173.0 kg (381.4 pounds),,,,145.0 km/h (90.1 mph),66.0 x 50.6 mm (2.6 x 2.0 inches),2,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350,1987,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",63.0 HP (46.0  kW)) @ 9000 RPM,6.0:1,,Membrane & power valve,,,Liquid,6-speed,Chain   (final drive),,,,,,90/90-18 ,110/80-18 ,Dual disc,Single disc,170.0 kg (374.8 pounds),,,,191.0 km/h (118.7 mph),64.0 x 54.0 mm (2.5 x 2.1 inches),,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 400 WR,1987,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",395.0 ccm (24.10 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5500 RPM,12.5:1,,Membrane,,,Liquid,6-speed,Chain   (final drive),,,,,,3.00-21 ,5.00-18 ,Single disc,Expanding brake,110.0 kg (242.5 pounds),,,,110.0 km/h (68.4 mph),82.5 x 74.0 mm (3.2 x 2.9 inches),,10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
