Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Bore x stroke,Valves per cylinder,Fuel system,Gearbox,Transmission type,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Cooling system,Starter,"Weight incl. oil, gas, etc",Compression,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Frame type,Trail,Front suspension,Rear suspension,Alternate seat height,Overall height,Reserve fuel capacity,Oil capacity,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Overall width,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Front percentage of weight,Fuel control,Rake (fork angle),Ground clearance,Color options,Chain size,Max RPM,Exhaust system,Comments,Driveline,Battery,Rear percentage of weight,Engine details,Modifications compared to previous model
Kawasaki ZR-7 S,2001,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",76.0 HP (55.5  kW)) @ 9500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 7300 RPM,205.0 km/h (127.4 mph),66.0 x 54.0 mm (2.6 x 2.1 inches),2,Carburettor,5-speed,Chain   (final drive),130 mm (5.1 inches),130 mm (5.1 inches),120/70-ZR17 ,160/60-ZR17 ,Dual disc,240 mm (9.4 inches),Single disc,213.0 kg (469.6 pounds),0.3568 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",1455 mm (57.3 inches),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJR 1300,2001,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1298.0 ccm (79.20 cubic inches),"In-line four, four-stroke",145.0 HP (105.8  kW)) @ 8500 RPM,126.0 Nm (12.8 kgf-m or 92.9 ft.lbs) @ 6000 RPM,260.0 km/h (161.6 mph),79.0 x 66.2 mm (3.1 x 2.6 inches),4,Injection,5-speed,Shaft drive (cardan)   (final drive),,,120/70-ZR17 ,180/55-ZR17 ,Dual disc,282 mm (11.1 inches),Single disc,237.0 kg (522.5 pounds),0.6118 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",,25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Elyseo 100,2001,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,100.0 ccm (6.10 cubic inches),"Single cylinder, four-stroke",8.7 HP (6.4  kW)) @ 6500 RPM,,,50.6 x 49.7 mm (2.0 x 2.0 inches),,Carburettor,,Belt   (final drive),,,120/70-12 ,130/70-12 ,,,,,,,1368 mm (53.9 inches),,Air,Electric & kick,,,CDI,Wet Sump,,,,,,,,,1230 mm (48.4 inches),,,,,,,,,,,,,,,1900 mm (74.8 inches),720 mm (28.3 inches),,,,,,,,,,,,,,,,
Ducati 750 Sport Dark FF,2001,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 8250 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 6000 RPM,210.0 km/h (130.5 mph),88.0 x 61.5 mm (3.5 x 2.4 inches),2,Injection,5-speed,Chain   (final drive),120 mm (4.7 inches),136 mm (5.4 inches),120/60-ZR17 ,160/60-ZR17 ,Single disc,245 mm (9.6 inches),Single disc,183.0 kg (403.4 pounds),0.3333 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",1405 mm (55.3 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM EXC 200,2001,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",193.0 ccm (11.78 cubic inches),"Single cylinder, two-stroke",46.0 HP (33.6  kW)) @ 8700 RPM,,,64.0 x 60.0 mm (2.5 x 2.4 inches),,Carburettor,6-speed,Chain   (final drive),295 mm (11.6 inches),320 mm (12.6 inches),90/90-21 ,120/90-18 ,Single disc,220 mm (8.7 inches),Single disc,,,"925 mm (36.4 inches) If adjustable, lowest setting.",1461 mm (57.5 inches),9.50 litres (2.51 US gallons),Liquid,Kick,110.0 kg (242.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Classic 125,2001,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,,,,,6-speed,,,,,,Single disc,,,145.0 kg (319.7 pounds),,"720 mm (28.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 S,2001,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",134.0 HP (97.8  kW)),78.0 Nm (8.0 kgf-m or 57.5 ft.lbs),280.0 km/h (174.0 mph),73.8 x 43.8 mm (2.9 x 1.7 inches),4,Injection,6-speed,Chain   (final drive),118 mm (4.6 inches),120 mm (4.7 inches),120/65-ZR17 ,190/50-ZR17 ,Dual disc,210 mm (8.3 inches),Single disc,190.0 kg (418.9 pounds),0.7053 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1398 mm (55.0 inches),20.00 litres (5.28 US gallons),Liquid,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magni Australia,2001,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",102.0 HP (74.5  kW)) @ 8400 RPM,88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 6600 RPM,242.0 km/h (150.4 mph),90.0 x 78.0 mm (3.5 x 3.1 inches),4,Injection,5-speed,Shaft drive (cardan)   (final drive),120 mm (4.7 inches),120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,230 mm (9.1 inches),Single disc,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1450 mm (57.1 inches),22.00 litres (5.81 US gallons),Air,Electric,235.0 kg (518.1 pounds),10.5:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00 seconds,16.00 seconds,51.1,,,,,,,,,,,,,
Bimota BB 1,2001,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",55.0 HP (40.1  kW)) @ 6800 RPM,,180.0 km/h (111.8 mph),100.0 x 83.0 mm (3.9 x 3.3 inches),4,Carburettor,5-speed,Chain   (final drive),120 mm (4.7 inches),130 mm (5.1 inches),120/70-ZR17 ,160/55-ZR17 ,Single disc,220 mm (8.7 inches),Single disc,145.0 kg (319.7 pounds),0.3793 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1340 mm (52.8 inches),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GZ 250 Marauder,2001,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 8000 RPM,19.0 Nm (1.9 kgf-m or 14.0 ft.lbs) @ 7000 RPM,115.0 km/h (71.5 mph),72.0 x 61.2 mm (2.8 x 2.4 inches),4,Carburettor,5-speed,Chain   (final drive),120 mm (4.7 inches),90 mm (3.5 inches),110/90-16 ,130/90-15 ,Single disc,130 mm (5.1 inches),Expanding brake,137.0 kg (302.0 pounds),0.1460 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",1450 mm (57.1 inches),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750,2001,Naked bike," 4.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",86.0 HP (62.8  kW)) @ 9500 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 8500 RPM,212.0 km/h (131.7 mph),70.0 x 48.7 mm (2.8 x 1.9 inches),4,Carburettor,6-speed,Chain   (final drive),130 mm (5.1 inches),120 mm (4.7 inches),120/70-ZR17 ,170/60-ZR17 ,Dual disc,240 mm (9.4 inches),Single disc,201.0 kg (443.1 pounds),0.4279 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",1470 mm (57.9 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900 S Diversion,2001,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",892.0 ccm (54.43 cubic inches),"In-line four, four-stroke",89.0 HP (65.0  kW)) @ 8250 RPM,84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 7000 RPM,205.0 km/h (127.4 mph),68.5 x 60.5 mm (2.7 x 2.4 inches),2,Carburettor,5-speed,Shaft drive (cardan)   (final drive),140 mm (5.5 inches),110 mm (4.3 inches),120/70-V17 ,150/70-V17 ,Dual disc,267 mm (10.5 inches),Single disc,239.0 kg (526.9 pounds),0.3724 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",1505 mm (59.3 inches),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1000,2001,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",988.0 ccm (60.29 cubic inches),"In-line four, four-stroke",160.0 HP (116.8  kW)) @ 9500 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs),290.0 km/h (180.2 mph),73.0 x 59.0 mm (2.9 x 2.3 inches),4,Injection,6-speed,Chain   (final drive),125 mm (4.9 inches),130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. Six-piston calipers. ,220 mm (8.7 inches),Single disc. Two-piston calipers. ,170.0 kg (374.8 pounds),0.9412 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),18.00 litres (4.76 US gallons),Liquid,Electric,195.0 kg (429.9 pounds),12.0:1,"Electronic ignition, Transistorized ",Wet sump,Cable-operated multiplate wet clutch,5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Aluminium, twin spar",96 mm (3.8 inches),"Inverted telescopic, coil spring, oil damped, spring preload fully  	adjustable, rebound and compression damping","Link type, oil damped, coil spring, spring preload fully  	adjustable, 4-way adjustable rebound damping force",,1135 mm (44.7 inches),,3.20 litres (3.38 US quarts),,SAE 10W-40 Synthetic,,DOT 4,2.00 litres (0.53 US gallons),"NGK, CR9EIA-9",1150  +/- 100  RPM,110,17/42 (front/rear),36 PSI (2.5 Bar or 250 kPa),42 PSI (2.9 Bar or 290 kPa),43 mm (1.7 inches),2045 mm (80.5 inches),715 mm (28.1 inches),,,,Overhead Cams (OHC),24.0°,130 mm (5.1 inches),"Blue/white, Silver/Black",525,,,,,,,,
Triumph Tiger 955i,2001,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",104.0 HP (75.9  kW)) @ 9500 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 4400 RPM,200.0 km/h (124.3 mph),79.0 x 65.0 mm (3.1 x 2.6 inches),4,Injection,6-speed,Chain   (final drive),230 mm (9.1 inches),200 mm (7.9 inches),110/80-R19 ,150/70-R17 ,Dual disc,285 mm (11.2 inches),Single disc,215.0 kg (474.0 pounds),0.4837 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",1550 mm (61.0 inches),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,"860 mm (33.9 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 1200,2001,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1180.0 ccm (72.00 cubic inches),"In-line four, four-stroke",107.0 HP (78.1  kW)) @ 9000 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 5000 RPM,211.0 km/h (131.1 mph),76.0 x 65.0 mm (3.0 x 2.6 inches),4,Carburettor,6-speed,Chain   (final drive),150 mm (5.9 inches),126 mm (5.0 inches),120/70-ZR17 ,170/60-ZR17 ,Dual disc,255 mm (10.0 inches),Single disc,235.0 kg (518.1 pounds),0.4553 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster S 4,2001,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 8750 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 7000 RPM,230.0 km/h (142.9 mph),94.0 x 68.0 mm (3.7 x 2.7 inches),4,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),144 mm (5.7 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,193.0 kg (425.5 pounds),0.5181 HP/kg,"803 mm (31.6 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung Aquila 125,2001,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"V2, four-stroke",14.5 HP (10.6  kW)) @ 10300 RPM,12.5 Nm (1.3 kgf-m or 9.2 ft.lbs) @ 8000 RPM,105.0 km/h (65.2 mph),42.0 x 45.0 mm (1.7 x 1.8 inches),4,Carburettor,6-speed,Chain   (final drive),170 mm (6.7 inches),80 mm (3.1 inches),110/90-16 ,130/90-15 ,Single disc,130 mm (5.1 inches),Expanding brake,140.0 kg (308.6 pounds),0.1036 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),14.50 litres (3.83 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 125,2001,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7000 RPM,15.0 Nm (1.5 kgf-m or 11.1 ft.lbs) @ 6250 RPM,120.0 km/h (74.6 mph),54.0 x 54.5 mm (2.1 x 2.1 inches),,Carburettor,6-speed,Chain   (final drive),120 mm (4.7 inches),120 mm (4.7 inches),110/70-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,142.0 kg (313.1 pounds),0.1056 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",1345 mm (53.0 inches),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 800 F,2001,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",782.0 ccm (47.72 cubic inches),"V4, four-stroke",106.0 HP (77.4  kW)) @ 10500 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 8750 RPM,235.0 km/h (146.0 mph),72.0 x 48.0 mm (2.8 x 1.9 inches),4,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,256 mm (10.1 inches),Single disc,208.0 kg (458.6 pounds),0.5096 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),21.00 litres (5.55 US gallons),,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Voyager XII,2001,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1196.0 ccm (72.98 cubic inches),"In-line four, four-stroke",86.0 HP (62.8  kW)),,,78.0 x 62.6 mm (3.1 x 2.5 inches),4,Carburettor. Keihin CVK 30mm x 4,5-speed,Shaft drive (cardan)   (final drive),140 mm (5.5 inches),100 mm (3.9 inches),130/90-16 ,150/90-15 ,Double disc. single piston calipers,,Single disc. single piston caliper,330.2 kg (728.0 pounds),0.2604 HP/kg,"754 mm (29.7 inches) If adjustable, lowest setting.",1621 mm (63.8 inches),23.08 litres (6.10 US gallons),Liquid,Electric,362.4 kg (799.0 pounds),10.0:1,Transistor controlled breaker less,Wet Sump  4.2 qt capacity,hydraulic actuation  wet plate,5.47 litres/100 km (18.3 km/l or 43.00 mpg),126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Tubular double cradle,121 mm (4.8 inches),air adjustable 41mm hydraulic forks,swing arm air assisted shocks 4- way rebound damping,,1506 mm (59.3 inches),4.16 litres (1.10 US gallons),3.90 litres (4.12 US quarts),,,,,,,,,,,,,2520 mm (99.2 inches),965 mm (38.0 inches),,,,Double Overhead Cams/Twin Cam (DOHC),30.0°,140 mm (5.5 inches),Luminous Vintage Red/Pearl Luster Beige,,7500,Dbl stainless steel 4-1-2 chrome mufflers,"Full fairing w/wide windscreen,AM/FM/Cassette 4spk stereo,full gauages  and  clock,cruise control,locking saddlebags  and  trunk w/light  and  mirror,hydraulic valve lifters,rubber mounted engine w/dual engine balancers,well spaced gear ratios in 5-spd trans w/5th being O.D.,self cancelling turn signals, comfortable well padded seating for two up riding.
",,,,,
Starway/Chu Lan CL 125-3A,2001,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Twin, four-stroke",12.5 HP (9.1  kW)),8.8 Nm (0.9 kgf-m or 6.5 ft.lbs) @ 9000 RPM,,,,,5-speed,,,,,,,,,145.0 kg (319.7 pounds),0.0862 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS Pampera 125,2001,Trial," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)),,,,,,6-speed,Chain   (final drive),,,,,Single disc,,Single disc,95.0 kg (209.4 pounds),0.1579 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 11 Sport Rosso Mandello Limited Edition,2001,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",91.0 HP (66.4  kW)) @ 7800 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 6000 RPM,210.0 km/h (130.5 mph),92.0 x 80.0 mm (3.6 x 3.1 inches),2,Injection,6-speed,Shaft drive (cardan)   (final drive),120 mm (4.7 inches),128 mm (5.0 inches),120/70-ZR17 ,170/60-ZR17 ,Dual disc,282 mm (11.1 inches),Single disc,219.0 kg (482.8 pounds),0.4155 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1471 mm (57.9 inches),22.00 litres (5.81 US gallons),Air,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By releasing this version of the V 11 Sport Moto Guzzi is celebrating their 80 year anniversary. There will be built 300 Rosso Mandello.,,,,,
Yamaha FZS 600 S Fazer,2001,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 11500 RPM,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 9500 RPM,225.0 km/h (139.8 mph),62.0 x 49.6 mm (2.4 x 2.0 inches),4,Carburettor,6-speed,Chain   (final drive),120 mm (4.7 inches),120 mm (4.7 inches),110/70-ZR17 ,160/60-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,189.0 kg (416.7 pounds),0.5026 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SL 1000 Falco,2001,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",118.0 HP (86.1  kW)) @ 9500 RPM,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 7250 RPM,250.0 km/h (155.3 mph),97.0 x 67.5 mm (3.8 x 2.7 inches),4,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,190.0 kg (418.9 pounds),0.6211 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST 4 S,2001,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",120.0 HP (87.6  kW)) @ 8750 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 7000 RPM,250.0 km/h (155.3 mph),98.0 x 66.0 mm (3.9 x 2.6 inches),4,Injection,6-speed,Chain   (final drive),130 mm (5.1 inches),148 mm (5.8 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,212.0 kg (467.4 pounds),0.5660 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna SM 570 R,2001,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",576.0 ccm (35.15 cubic inches),"Single cylinder, four-stroke",56.0 HP (40.9  kW)) @ 7700 RPM,,175.0 km/h (108.7 mph),98.0 x 76.4 mm (3.9 x 3.0 inches),4,Carburettor,6-speed,Chain   (final drive),285 mm (11.2 inches),290 mm (11.4 inches),120/70-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,118.0 kg (260.1 pounds),0.4746 HP/kg,"885 mm (34.8 inches) If adjustable, lowest setting.",1485 mm (58.5 inches),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs Roadster 800,2001,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 6000 RPM,71.0 Nm (7.2 kgf-m or 52.4 ft.lbs) @ 4000 RPM,175.0 km/h (108.7 mph),83.0 x 74.4 mm (3.3 x 2.9 inches),4,Carburettor,5-speed,Shaft drive (cardan)   (final drive),120 mm (4.7 inches),108 mm (4.3 inches),120/70-ZR17 ,160/70-ZR17 ,Dual disc,180 mm (7.1 inches),Expanding brake,,,"770 mm (30.3 inches) If adjustable, lowest setting.",1475 mm (58.1 inches),17.00 litres (4.49 US gallons),,,226.0 kg (498.2 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Skorpion Sport Cup,2001,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6000 RPM,70.5 Nm (7.2 kgf-m or 52.0 ft.lbs) @ 5000 RPM,,,5,Carburettor,5-speed,,,,,,,,,,,,,,Liquid,,,,,,Wet Plate,,,,,,Monoshock,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,,,,,,,
MZ Baghira Black Panther,2001,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",659.0 ccm (40.21 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5250 RPM,160.0 km/h (99.4 mph),100.0 x 84.0 mm (3.9 x 3.3 inches),4,Carburettor,4-speed,Chain   (final drive),280 mm (11.0 inches),280 mm (11.0 inches),120/70-R17 ,160/60-R17 ,Single disc,245 mm (9.6 inches),Single disc,,,"900 mm (35.4 inches) If adjustable, lowest setting.",1530 mm (60.2 inches),12.50 litres (3.30 US gallons),,,180.0 kg (396.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 Sport,2001,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,747.0 ccm (45.58 cubic inches),"Twin, four-stroke",82.0 HP (59.9  kW)),74.0 Nm (7.5 kgf-m or 54.6 ft.lbs),,,,,6-speed,,,,,,Dual disc,,Single disc,186.0 kg (410.1 pounds),0.4409 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500 S,2001,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",57.0 HP (41.6  kW)) @ 9500 RPM,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 8000 RPM,179.0 km/h (111.2 mph),73.0 x 59.6 mm (2.9 x 2.3 inches),4,Carburettor,6-speed,Chain   (final drive),115 mm (4.5 inches),117 mm (4.6 inches),110/80-H17 ,130/80-H17 ,Single disc,240 mm (9.4 inches),Single disc,177.0 kg (390.2 pounds),0.3220 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",1435 mm (56.5 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
