Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Reserve fuel capacity,Starter,Power,Torque,Top speed,Valves per cylinder,Transmission type,Front suspension,Rear suspension,Power/weight ratio,Seat height,Fuel control,Ground clearance,Ignition,Driveline,"Weight incl. oil, gas, etc",Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Oil filter,Battery,Sprockets,Belt teeth,Belt width,Pulley teeth,Comments,Alternate seat height,Front percentage of weight,Rear percentage of weight,Frame type,Exhaust system,Color options,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Max RPM,Modifications compared to previous model,Chain size,Chain links,Carrying capacity,Engine details,Seat
Harley-Davidson FXSTDI Softail Deuce,2002,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",8.9:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Injection,Air,,,,MH90-21 ,160/70-B17 ,Single disc. Four-piston calipers. ,292 mm (11.5 inches),Single disc. Four-piston calipers. ,292.7 kg (645.3 pounds),,2422 mm (95.4 inches),,1690 mm (66.5 inches),18.50 litres (4.89 US gallons),1.90 litres (0.50 US gallons),Electric,62.6 HP (45.7  kW)),106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 3500 RPM,,2,,"41.3 mm telescopic, beer can covers","Hidden, horizontal-mounted, coil-over shock",0.2140 HP/kg,"719 mm (28.3 inches) If adjustable, lowest setting.",Overhead Valves (OHV),141 mm (5.5 inches),"Single-fire, non-wasted, map-controlled spark ignition",Front:,309.6 kg (682.6 pounds),3.30 litres (3.49 US quarts),SAE 20W-50,DOT 5 Silicone,,"NGK DCPR7E, NGK DCPR7EIX",1000  RPM,,,41 mm (1.6 inches),"Dry sump, internally mounted, crank driven gerotor pressure and dual scavenge pump",Front:,4.43 litres/100 km (22.6 km/l or 53.10 mpg),102.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,34.0°,127 mm (5.0 inches),K & N 171B,GYZ20HL,32/70 (front/rear),135,1 1/8,32/70 (front/rear),,,,,,,,,,,,,,,,
Honda VTR 1000 F Firestorm - Super Hawk,2002,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",9.4:1,98.0 x 66.0 mm (3.9 x 2.6 inches),Carburettor,,6-speed,109 mm (4.3 inches),124 mm (4.9 inches),120/70-ZR17 58W ,180/55-ZR17 73W ,Dual disc,220 mm (8.7 inches),Single disc,193.0 kg (425.5 pounds),1155 mm (45.5 inches),2050 mm (80.7 inches),720 mm (28.3 inches),1430 mm (56.3 inches),19.00 litres (5.02 US gallons),3.50 litres (0.92 US gallons),,106.9 HP (78.0  kW)) @ 9000 RPM,93.0 Nm (9.5 kgf-m or 68.6 ft.lbs) @ 7000 RPM,,4,Chain   (final drive),,,0.5539 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,135 mm (5.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748 S,2002,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",11.5:1,88.0 x 65.5 mm (3.5 x 2.6 inches),Injection,Liquid,6-speed,127 mm (5.0 inches),130 mm (5.1 inches),120/60-ZR17 ,180/55-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,196.0 kg (432.1 pounds),1080 mm (42.5 inches),2030 mm (79.9 inches),,1410 mm (55.5 inches),17.00 litres (4.49 US gallons),4.00 litres (1.06 US gallons),Electric,97.0 HP (70.8  kW)) @ 11000 RPM,73.0 Nm (7.4 kgf-m or 53.8 ft.lbs) @ 9000 RPM,,4,Chain   (final drive),,,0.4949 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 650 A Drag Star Classic,2002,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",9.0:1,81.0 x 63.0 mm (3.2 x 2.5 inches),,Air,,140 mm (5.5 inches),86 mm (3.4 inches),100/90-ZR19 M/C 57S ,170/80-15 M/C 77S ,Single disc,200 mm (7.9 inches),Single disc,229.0 kg (504.9 pounds),1070 mm (42.1 inches),2340 mm (92.1 inches),880 mm (34.6 inches),1610 mm (63.4 inches),,,,40.0 HP (29.2  kW)) @ 6500 RPM,50.9 Nm (5.2 kgf-m or 37.5 ft.lbs) @ 3000 RPM,,,,,,0.1747 HP/kg,"695 mm (27.4 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FS 400 C,2002,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",12.0:1,92.0 x 60.0 mm (3.6 x 2.4 inches),Carburettor,Liquid,6-speed,260 mm (10.2 inches),287 mm (11.3 inches),120/60-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,105.7 kg (233.0 pounds),,,,1490 mm (58.7 inches),9.00 litres (2.38 US gallons),,Electric & kick,,,,4,,,,,"870 mm (34.3 inches) If adjustable, lowest setting.",,320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Raptor 1000,2002,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",,98.0 x 66.0 mm (3.9 x 2.6 inches),,Liquid,6-speed,,,120/70-17 ,180/50-17 ,Dual disc,220 mm (8.7 inches),Single disc,192.0 kg (423.3 pounds),,,,1440 mm (56.7 inches),15.20 litres (4.02 US gallons),,Electric,112.0 HP (81.8  kW)) @ 8500 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 7000 RPM,,,Chain   (final drive),,,0.5833 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Gorilla 50,2002,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",10.0:1,39.0 x 41.4 mm (1.5 x 1.6 inches),Carburettor,Air,4-speed,,,,,Expanding brake,,Expanding brake,62.0 kg (136.7 pounds),880 mm (34.6 inches),1365 mm (53.7 inches),625 mm (24.6 inches),895 mm (35.2 inches),9.00 litres (2.38 US gallons),,,3.1 HP (2.3  kW)) @ 7500 RPM,3.1 Nm (0.3 kgf-m or 2.3 ft.lbs) @ 6000 RPM,,,,,,0.0500 HP/kg,"660 mm (26.0 inches) If adjustable, lowest setting.",Overhead Cams (OHC),150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boost King,2002,Prototype / concept model," 4.1  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",1298.0 ccm (79.20 cubic inches),"In-line four, four-stroke",,,Turbo,Liquid,,,,,,Dual disc,,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Featuring a turbo charged Hayabusa 1300 engine this bike was shown at the Tokyo Motor Show.,,,,,,,,,,,,,,,
Suzuki Inazuma 400,2002,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",11.2:1,52.0 x 47.0 mm (2.0 x 1.9 inches),Carburettor,,6-speed,,,120/70-ZR17 58W ,170/60-ZR17 72W ,Dual disc,,Single disc,187.0 kg (412.3 pounds),1090 mm (42.9 inches),2140 mm (84.3 inches),745 mm (29.3 inches),1460 mm (57.5 inches),18.00 litres (4.76 US gallons),,,52.0 HP (38.0  kW)) @ 11000 RPM,36.0 Nm (3.7 kgf-m or 26.6 ft.lbs) @ 9500 RPM,,4,,,,0.2781 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),125 mm (4.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Tornado Limited Edition (Italian version),2002,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",898.0 ccm (54.80 cubic inches),"In-line three, four-stroke",11.8:1,88.0 x 49.2 mm (3.5 x 1.9 inches),,Liquid,6-speed,,,120/70-17 ,190/50-17 ,Dual disc,180 mm (7.1 inches),Single disc,185.0 kg (407.9 pounds),,,,1395 mm (54.9 inches),,,Electric,144.0 HP (105.1  kW)) @ 12000 RPM,93.2 Nm (9.5 kgf-m or 68.7 ft.lbs) @ 8800 RPM,,4,,,,0.7784 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XRV 750 Africa Twin,2002,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",742.0 ccm (45.28 cubic inches),"V2, four-stroke",9.0:1,81.0 x 72.0 mm (3.2 x 2.8 inches),Carburettor,,5-speed,220 mm (8.7 inches),214 mm (8.4 inches),90/90-21 54H ,140/80-R17 69H ,Dual disc,256 mm (10.1 inches),Single disc,205.0 kg (451.9 pounds),1430 mm (56.3 inches),2315 mm (91.1 inches),905 mm (35.6 inches),1565 mm (61.6 inches),23.00 litres (6.08 US gallons),,,60.3 HP (44.0  kW)) @ 7500 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 6000 RPM,,,Chain   (final drive),,,0.2941 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,215 mm (8.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1400,2002,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1401.0 ccm (85.49 cubic inches),"In-line four, four-stroke",9.5:1,81.0 x 68.0 mm (3.2 x 2.7 inches),Injection,,6-speed,,,120/70-ZR17 58W ,190/50-ZR17 73W ,Dual disc,,Single disc,228.0 kg (502.7 pounds),1140 mm (44.9 inches),2160 mm (85.0 inches),810 mm (31.9 inches),1520 mm (59.8 inches),22.00 litres (5.81 US gallons),,,100.0 HP (73.0  kW)) @ 6500 RPM,126.0 Nm (12.8 kgf-m or 92.9 ft.lbs) @ 5000 RPM,,4,,,,0.4386 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 650 SE,2002,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",9.5:1,100.0 x 82.0 mm (3.9 x 3.2 inches),Carburettor,Oil & air,5-speed,,,90/90-21 54S ,120/90-17 64S ,Single disc,,Single disc,147.0 kg (324.1 pounds),1195 mm (47.0 inches),2255 mm (88.8 inches),865 mm (34.1 inches),1490 mm (58.7 inches),13.00 litres (3.43 US gallons),,,,,,4,Chain   (final drive),,,,"885 mm (34.8 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),265 mm (10.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,"845 mm (33.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,
Honda Varadero 125,2002,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"V2, four-stroke",11.8:1,42.0 x 45.0 mm (1.7 x 1.8 inches),,,5-speed,150 mm (5.9 inches),150 mm (5.9 inches),100/90-18 56P ,130/80-17 65P ,Single disc,220 mm (8.7 inches),Single disc,149.0 kg (328.5 pounds),1250 mm (49.2 inches),2150 mm (84.6 inches),850 mm (33.5 inches),1450 mm (57.1 inches),17.50 litres (4.62 US gallons),2.00 litres (0.53 US gallons),,15.0 HP (10.9  kW)) @ 11000 RPM,10.5 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 9000 RPM,,2,Chain   (final drive),,,0.1007 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,190 mm (7.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Blue Marlin 1000,2002,Prototype / concept model," 3.2  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",997.6 ccm (60.87 cubic inches),"V2, four-stroke",,,,Liquid,,,,,,Dual disc,,Single disc,,,,,,,,,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna WR 360,2002,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",348.8 ccm (21.28 cubic inches),"Single cylinder, two-stroke",,78.0 x 73.0 mm (3.1 x 2.9 inches),Carburettor,Liquid,6-speed,,,90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,104.5 kg (230.4 pounds),,,,1450 mm (57.1 inches),11.20 litres (2.96 US gallons),,Kick,,,,,Chain   (final drive),,,,"890 mm (35.0 inches) If adjustable, lowest setting.",,370 mm (14.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 Nighthawk,2002,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",9.3:1,67.0 x 53.0 mm (2.6 x 2.1 inches),,Air,5-speed,140 mm (5.5 inches),109 mm (4.3 inches),110/80-18 ,140/70-17 ,Single disc,,Expanding brake,210.0 kg (463.0 pounds),,,,1506 mm (59.3 inches),21.80 litres (5.76 US gallons),3.60 litres (0.95 US gallons),,,,,4,Chain   (final drive),,,,"785 mm (30.9 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1150 RT,2002,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",,101.0 x 70.0 mm (4.0 x 2.8 inches),Injection,Oil & air,,120 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 ,170/60-ZR17 ,Double disc,,Single disc,279.0 kg (615.1 pounds),,,,,25.00 litres (6.61 US gallons),4.00 litres (1.06 US gallons),Electric,95.0 HP (69.3  kW)) @ 7250 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 5500 RPM,200.0 km/h (124.3 mph),4,Shaft drive (cardan)   (final drive),Telelever,Central suspension strut,0.3405 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville America,2002,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",790.0 ccm (48.21 cubic inches),"Twin, four-stroke",9.2:1,86.0 x 68.0 mm (3.4 x 2.7 inches),,Air,5-speed,,,,,Single disc,255 mm (10.0 inches),Single disc,226.0 kg (498.2 pounds),1184 mm (46.6 inches),2424 mm (95.4 inches),955 mm (37.6 inches),1655 mm (65.2 inches),16.60 litres (4.39 US gallons),,,61.0 HP (44.5  kW)) @ 7400 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 3500 RPM,,,,,,0.2699 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V11 Sport Naked,2002,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",9.5:1,92.0 x 80.0 mm (3.6 x 3.1 inches),,Air,6-speed,,,120/70-17 ,180/55-17 ,,282 mm (11.1 inches),Single disc,221.0 kg (487.2 pounds),,2150 mm (84.6 inches),785 mm (30.9 inches),1490 mm (58.7 inches),22.00 litres (5.81 US gallons),,Electric,92.0 HP (67.2  kW)) @ 7800 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 6000 RPM,,2,Shaft drive (cardan)   (final drive),,,0.4163 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Shadow 400,2002,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"V2, four-stroke",10.3:1,64.0 x 62.0 mm (2.5 x 2.4 inches),Carburettor,Liquid,5-speed,,,120/90-17 64S ,170/80-15 M/C 77S ,Single disc,,Expanding brake,225.0 kg (496.0 pounds),1085 mm (42.7 inches),2450 mm (96.5 inches),925 mm (36.4 inches),1620 mm (63.8 inches),14.00 litres (3.70 US gallons),,,33.0 HP (24.1  kW)) @ 7500 RPM,34.0 Nm (3.5 kgf-m or 25.1 ft.lbs) @ 6000 RPM,,3,,,,0.1467 HP/kg,"675 mm (26.6 inches) If adjustable, lowest setting.",Overhead Cams (OHC),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia ETV 1000 CapoNord,2002,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",997.6 ccm (60.87 cubic inches),"V2, four-stroke",10.4:1,97.0 x 67.5 mm (3.8 x 2.7 inches),Injection,Liquid,6-speed,175 mm (6.9 inches),185 mm (7.3 inches),110/80-VR19 ,150/70-VR17 ,Dual disc,270 mm (10.6 inches),Single disc,215.0 kg (474.0 pounds),1440 mm (56.7 inches),2310 mm (90.9 inches),830 mm (32.7 inches),1560 mm (61.4 inches),25.00 litres (6.61 US gallons),5.00 litres (1.32 US gallons),,98.0 HP (71.5  kW)) @ 8250 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 6250 RPM,,4,Chain   (final drive),,,0.4558 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SH 125,2002,Scooter," 4.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",11.0:1,52.4 x 57.8 mm (2.1 x 2.3 inches),Carburettor,Liquid,Automatic,120 mm (4.7 inches),70 mm (2.8 inches),100/80-16 50L ,120/80-16 60L ,Single disc,130 mm (5.1 inches),Expanding brake,123.1 kg (271.4 pounds),1145 mm (45.1 inches),2020 mm (79.5 inches),705 mm (27.8 inches),1335 mm (52.6 inches),8.30 litres (2.19 US gallons),,,13.8 HP (10.1  kW)) @ 9000 RPM,11.5 Nm (1.2 kgf-m or 8.5 ft.lbs) @ 7250 RPM,,,,,,0.1121 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),126 mm (5.0 inches),,,,,,,,,,,,,,,3.42 litres/100 km (29.2 km/l or 68.78 mpg),79.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha PW 80,2002,"Minibike, cross"," 2.7  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",79.0 ccm (4.82 cubic inches),"Single cylinder, two-stroke",6.6:1,47.0 x 45.8 mm (1.9 x 1.8 inches),,Air,,110 mm (4.3 inches),95 mm (3.7 inches),,,Expanding brake,,Expanding brake,57.0 kg (125.7 pounds),880 mm (34.6 inches),1540 mm (60.6 inches),640 mm (25.2 inches),1055 mm (41.5 inches),,,,4.8 HP (3.5  kW)) @ 5500 RPM,6.3 Nm (0.6 kgf-m or 4.6 ft.lbs) @ 5000 RPM,,,,,,0.0842 HP/kg,"635 mm (25.0 inches) If adjustable, lowest setting.",,185 mm (7.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS SM 250,2002,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.3 ccm (15.21 cubic inches),"Single cylinder, two-stroke",,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor,Liquid,6-speed,295 mm (11.6 inches),320 mm (12.6 inches),120/60-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,,,,,1475 mm (58.1 inches),9.50 litres (2.51 US gallons),,,49.8 HP (36.4  kW)) @ 8699 RPM,45.6 Nm (4.6 kgf-m or 33.6 ft.lbs) @ 7628 RPM,,,Chain   (final drive),,,,"900 mm (35.4 inches) If adjustable, lowest setting.",,290 mm (11.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTB Night Train,2002,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",8.9:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Carburettor,Air,,,,,,Single disc,292 mm (11.5 inches),Single disc,285.8 kg (630.1 pounds),,2411 mm (94.9 inches),,1698 mm (66.8 inches),18.90 litres (4.99 US gallons),1.90 litres (0.50 US gallons),,,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 3500 RPM,,,,,,,"678 mm (26.7 inches) If adjustable, lowest setting.",,141 mm (5.5 inches),,,302.8 kg (667.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 250,2002,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, two-stroke",13.2:1,56.0 x 50.6 mm (2.2 x 2.0 inches),Carburettor,Liquid,6-speed,120 mm (4.7 inches),130 mm (5.1 inches),110/70-ZR17 ,150/60-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,141.0 kg (310.9 pounds),1090 mm (42.9 inches),1980 mm (78.0 inches),690 mm (27.2 inches),1370 mm (53.9 inches),16.50 litres (4.36 US gallons),3.00 litres (0.79 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST 2,2002,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",10.2:1,94.0 x 68.0 mm (3.7 x 2.7 inches),Injection,Liquid,6-speed,130 mm (5.1 inches),148 mm (5.8 inches),120/70-ZR17 ,170/60-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,209.0 kg (460.8 pounds),1180 mm (46.5 inches),2070 mm (81.5 inches),,1430 mm (56.3 inches),21.00 litres (5.55 US gallons),6.00 litres (1.59 US gallons),Electric,83.0 HP (60.6  kW)) @ 8500 RPM,84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 6500 RPM,,2,Chain   (final drive),,,0.3971 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California Special Sport,2002,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",9.5:1,92.0 x 80.0 mm (3.6 x 3.1 inches),,Air,5-speed,,,110/90-VB18 ,140/80-VB17 ,Dual disc,282 mm (11.1 inches),Single disc,251.0 kg (553.4 pounds),1150 mm (45.3 inches),2380 mm (93.7 inches),760 mm (29.9 inches),1560 mm (61.4 inches),19.00 litres (5.02 US gallons),,Electric,74.0 HP (54.0  kW)) @ 6400 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 5000 RPM,,2,Shaft drive (cardan)   (final drive),,,0.2948 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 1100 C Shadow Spirit,2002,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",8.0:1,87.5 x 91.4 mm (3.4 x 3.6 inches),,Liquid,5-speed,160 mm (6.3 inches),99 mm (3.9 inches),110/90-19 ,170/80-15 ,Single disc,,Expanding brake,250.8 kg (552.9 pounds),,,,1651 mm (65.0 inches),19.10 litres (5.05 US gallons),2.70 litres (0.71 US gallons),,,,,3,Shaft drive (cardan)   (final drive),,,,"729 mm (28.7 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800 Classic,2002,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",,,,,5-speed,,,,,Single disc,,,235.0 kg (518.1 pounds),,,,,,,Electric,55.0 HP (40.1  kW)),,,4,,,,0.2340 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FS 650 C,2002,Super motard," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",10.3:1,100.0 x 82.0 mm (3.9 x 3.2 inches),Carburettor,Liquid,6-speed,260 mm (10.2 inches),287 mm (11.3 inches),120/60-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,106.8 kg (235.5 pounds),,,,1490 mm (58.7 inches),9.00 litres (2.38 US gallons),,Electric & kick,,,,4,,,,,"870 mm (34.3 inches) If adjustable, lowest setting.",,320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
