Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Exhaust system,Dry weight,Power/weight ratio,Color options,Starter,Comments,Max RPM,Front suspension,Rear suspension,Ignition,Clutch,Frame type,Reserve fuel capacity,Torque,Front wheel travel,Rear wheel travel,Diameter,Seat height,Oil capacity,Electrical,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Wheels,Lubrication system,Overall height,Overall length,Overall width,Wheelbase,Fuel consumption,Greenhouse gases,Alternate seat height,Ground clearance,1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight,Rake (fork angle),Trail,"60-140 km/h (37-87 mph), highest gear",Modifications compared to previous model,0-100 km/h (0-62 mph)
Yamaha XZ 550 S,1983,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",553.0 ccm (33.74 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 9500 RPM,180.0 km/h (111.8 mph),10.5:1,80.0 x 55.0 mm (3.1 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,4.25/85-18 ,Dual disc,Expanding brake,228.0 kg (502.7 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva SST 350,1983,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",342.0 ccm (20.87 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 5750 RPM,136.0 km/h (84.5 mph),9.6:1,80.0 x 68.0 mm (3.1 x 2.7 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-18 ,4.00-18 ,Single disc,Expanding brake,145.0 kg (319.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ TS 125,1983,Classic," 2.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6300 RPM,100.0 km/h (62.1 mph),10.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,127.0 kg (280.0 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 500,1983,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5900 RPM,132.0 km/h (82.0 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-21 ,4.00-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100 (reduced effect),1983,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1089.0 ccm (66.45 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8750 RPM,240.0 km/h (149.1 mph),9.5:1,72.5 x 66.0 mm (2.9 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/90-18 ,130/90-17 ,Dual disc,Single disc,266.0 kg (586.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 S Katana,1983,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8700 RPM,228.0 km/h (141.7 mph),9.5:1,72.0 x 66.0 mm (2.8 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,272.0 kg (599.7 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 SC Nighthawk,1983,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",70.0 HP (51.1  kW)) @ 7200 RPM,210.8 km/h (131.0 mph),9.0:1,61.0 x 61.0 mm (2.4 x 2.4 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),,,Double disc. 2 piston calipers,Expanding brake (drum brake). rod actuated drum,259.9 kg (573.0 pounds),,Carburettor. 4 keihin 30 mm,four into four,,,"red,black stripes",Electric,,9500,"leading axle coil,air spring fork,anti dive yielding",,,wet plate,"dual downtube, full cradle, mild steel",,,,155 mm (6.1 inches),,,,,,,,,,,,,,,wet sump,792 mm (31.2 inches),2184 mm (86.0 inches),800 mm (31.5 inches),1544 mm (60.8 inches),,,,163 mm (6.4 inches),,,,29.5°,119 mm (4.7 inches),,,
Honda XL 500 R,1983,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,134.0 km/h (83.3 mph),8.6:1,89.0 x 80.0 mm (3.5 x 3.1 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,152.0 kg (335.1 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500 C,1983,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,159.0 km/h (98.8 mph),10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,130/90-16 ,Dual disc,Expanding brake,216.0 kg (476.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Type 634.6,1983,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",24.0 HP (17.5  kW)) @ 5250 RPM,125.0 km/h (77.7 mph),9.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,175.0 kg (385.8 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motobi 254,1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,231.0 ccm (14.10 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 10600 RPM,156.0 km/h (96.9 mph),10.5:1,44.0 x 38.0 mm (1.7 x 1.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,130.0 kg (286.6 pounds),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXWG 1340 Wide Glide,1983,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5800 RPM,155.0 km/h (96.3 mph),7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,4-speed,Belt   (final drive),MJ90-19 ,MT90-16 ,Double disc,Single disc,292.0 kg (643.7 pounds),19.00 litres (5.02 US gallons),Carburettor,,278.0 kg (612.9 pounds),0.2410 HP/kg,,,,,Telescopic forks,Swinging fork.,Analogue CDI, Wet 9-plate,,,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 3000 RPM,,,255 mm (10.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TR 1,1983,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",981.0 ccm (59.86 cubic inches),"V2, four-stroke",69.0 HP (50.4  kW)) @ 6500 RPM,182.0 km/h (113.1 mph),8.3:1,95.0 x 69.2 mm (3.7 x 2.7 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,120/90-18 ,Dual disc,Expanding brake,248.0 kg (546.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500 E (reduced effect),1983,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,145.0 km/h (90.1 mph),10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/80-18 ,Dual disc,Single disc,228.0 kg (502.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500 SC (reduced effect),1983,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,148.0 km/h (92.0 mph),10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,3.75-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 750,1983,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",82.0 HP (59.9  kW)) @ 9000 RPM,201.0 km/h (124.9 mph),9.2:1,65.0 x 56.4 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,120/90-18 ,Dual disc,Expanding brake,238.0 kg (524.7 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900,1983,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",853.0 ccm (52.05 cubic inches),"In-line four, four-stroke",97.0 HP (70.8  kW)) @ 9000 RPM,211.0 km/h (131.1 mph),9.6:1,67.0 x 60.5 mm (2.6 x 2.4 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,244.0 kg (537.9 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 ES,1983,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",86.0 HP (62.8  kW)) @ 9500 RPM,210.0 km/h (130.5 mph),9.6:1,67.0 x 53.0 mm (2.6 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-16 ,120/90-17 ,Dual disc,Single disc,238.0 kg (524.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 550 LTD,1983,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,178.0 km/h (110.6 mph),9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.25-19 ,130/90-16 ,Dual disc,Expanding brake,211.0 kg (465.2 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CL 250 S,1983,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 6500 RPM,109.0 km/h (67.7 mph),9.3:1,74.0 x 57.8 mm (2.9 x 2.3 inches),4,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,145.0 kg (319.7 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 650 RC (reduced effect),1983,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,627.0 ccm (38.26 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,175.0 km/h (108.7 mph),9.0:1,59.8 x 55.8 mm (2.4 x 2.2 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,130/90-16 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 400 T (reduced effect),1983,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,141.0 km/h (87.6 mph),9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),3,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.60-16 ,Single disc,Expanding brake,184.0 kg (405.7 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 50 III,1983,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",490.0 ccm (29.90 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 7600 RPM,162.0 km/h (100.7 mph),10.4:1,74.0 x 57.0 mm (2.9 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,100/90-18 ,Dual disc,Single disc,182.0 kg (401.2 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 250 LC,1983,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",38.0 HP (27.7  kW)) @ 8500 RPM,163.0 km/h (101.3 mph),6.9:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Liquid,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,158.0 kg (348.3 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 400 DOHC,1983,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 9500 RPM,168.0 km/h (104.4 mph),9.7:1,69.0 x 53.4 mm (2.7 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,4.10-18 ,Single disc,Expanding brake,187.0 kg (412.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 RT,1983,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,179.0 km/h (111.2 mph),9.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 400,1983,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 9000 RPM,142.0 km/h (88.2 mph),9.7:1,52.0 x 47.0 mm (2.0 x 1.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-19 ,110/90-18 ,Dual disc,Single disc,202.0 kg (445.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic 125 Strada Sport,1983,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,127.0 km/h (78.9 mph),12.0:1,55.2 x 52.0 mm (2.2 x 2.0 inches),,Port control,Liquid,6-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,130.0 kg (286.6 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 750 S,1983,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",82.0 HP (59.9  kW)) @ 9500 RPM,202.0 km/h (125.5 mph),10.5:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),110/90-18 ,130/90-17 ,Dual disc,Expanding brake,246.0 kg (542.3 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 45,1983,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",473.0 ccm (28.86 cubic inches),"Two cylinder boxer, four-stroke",35.0 HP (25.5  kW)) @ 7250 RPM,160.0 km/h (99.4 mph),9.2:1,70.0 x 61.5 mm (2.8 x 2.4 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,4.00-18 ,Single disc,Expanding brake,206.0 kg (454.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 650 (reduced effect),1983,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",653.0 ccm (39.85 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 7500 RPM,173.0 km/h (107.5 mph),8.5:1,63.0 x 52.4 mm (2.5 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,120/90-18 ,Dual disc,Expanding brake,231.0 kg (509.3 pounds),20.50 litres (5.42 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 250 LC (reduced effect),1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 8100 RPM,149.0 km/h (92.6 mph),6.2:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Liquid,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,158.0 kg (348.3 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 650 C,1983,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",673.0 ccm (41.07 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 8000 RPM,179.0 km/h (111.2 mph),9.8:1,82.5 x 63.0 mm (3.2 x 2.5 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,140/90-15 ,Single disc,Expanding brake,218.0 kg (480.6 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 550 F 2 (reduced effect),1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,185.0 km/h (115.0 mph),9.5:1,59.2 x 52.0 mm (2.3 x 2.0 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Dual disc,Single disc,213.0 kg (469.6 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX Pro Link,1983,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1046.0 ccm (63.83 cubic inches),"In-line six, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,208.0 km/h (129.2 mph),9.3:1,64.5 x 53.4 mm (2.5 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-19 ,130/90-18 ,Dual disc,Single disc,300.0 kg (661.4 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 200 T (reduced effect),1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,194.0 ccm (11.84 cubic inches),"Twin, four-stroke",10.0 HP (7.3  kW)) @ 7000 RPM,100.0 km/h (62.1 mph),8.8:1,53.0 x 44.0 mm (2.1 x 1.7 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.00-17 ,3.50-16 ,Expanding brake,Expanding brake,138.0 kg (304.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000,1983,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",85.0 HP (62.0  kW)) @ 7600 RPM,210.0 km/h (130.5 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,253.0 kg (557.8 pounds),19.50 litres (5.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH 1000 Sportster,1983,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,170.0 km/h (105.6 mph),8.8:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,246.0 kg (542.3 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 1100 R,1983,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1062.0 ccm (64.80 cubic inches),"In-line four, four-stroke",120.0 HP (87.6  kW)) @ 9000 RPM,,10.0:1,70.0 x 69.0 mm (2.8 x 2.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,130/80-18 ,Dual disc,Single disc,259.0 kg (571.0 pounds),26.00 litres (6.87 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV750 Virago,1983,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",52.0 HP (38.0  kW)) @ 7000 RPM,179.0 km/h (111.2 mph),8.7:1,83.0 x 69.2 mm (3.3 x 2.7 inches),2,Single Overhead Cams (SOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,130/90-16 ,Single disc. Single piston,Expanding brake (drum brake). 2 Shoe Expanding Drum,,12.00 litres (3.17 US gallons),Carburettor. Dual Hitachi 40mm constant vacuum,Double stinless steel,225.0 kg (496.0 pounds),0.2311 HP/kg,,Electric,,7500,Telescopic forks air adjustable,Mono-shock air adjustable,TCI- Transistor Control Ignition,Wet multi-plate,Pressed steel overhead backbone with tubular  and  square section swing arm. Engine is used as a stress member.,2.60 litres (0.69 US gallons),64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 5750 RPM,150 mm (5.9 inches),100 mm (3.9 inches),180 mm (7.1 inches),"672 mm (26.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,Wet sump,,,850 mm (33.5 inches),1520 mm (59.8 inches),5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,145 mm (5.7 inches),13.44 seconds,,,29.0°,133 mm (5.2 inches),,"Solid front fender, redesigned seat.",
Moto Morini 3 1-2 V,1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6850 RPM,153.0 km/h (95.1 mph),10.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.25-18 ,4.10-18 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
