Model,Year,Category,Rating,Displacement,Engine type,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Rake (fork angle),Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Compression,Valves per cylinder,Fuel control,Fuel consumption,Greenhouse gases,Trail,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Factory warranty,Comments,Top speed,Wheels,Power/weight ratio,Electrical,Exhaust system,Carrying capacity,Seat,Instruments,Emission details,Reserve fuel capacity,Light,Oil capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front percentage of weight,Alternate seat height,Max RPM,1/4 mile (0.4 km),Oil filter,Battery
Kawasaki Stockman 250,2012,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",72.0 x 61.2 mm (2.8 x 2.4 inches),Carburettor. Mikuni BST34,CDI,,Air,6-speed,Chain   (final drive),,,"Semi-Double Cradle, High-Tensile Steel",28.0°,36 mm Telescopic fork,,Uni-Trak,,2.75-21 ,4.10-18 ,Double disc,250 mm (9.8 inches),Single disc,121.0 kg (266.8 pounds),"830 mm (32.7 inches) If adjustable, lowest setting.",,1375 mm (54.1 inches),9.00 litres (2.38 US gallons),Green/Silver,Electric,,20.1 HP (14.7  kW)) @ 8000 RPM,20.6 Nm (2.1 kgf-m or 15.2 ft.lbs) @ 6000 RPM,9.3:1,,,,,107 mm (4.2 inches),,1130 mm (44.5 inches),2140 mm (84.3 inches),900 mm (35.4 inches),,,,,0.1663 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Variant Sport,2012,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",39.9 x 40.0 mm (1.6 x 1.6 inches),Carburettor. Arbeo Sha 12-12,,,Air,Automatic,Shaft drive (cardan)   (final drive),,,"Open cradle, steel piping",,Telescopic fork,85 mm (3.3 inches),Single shock,50 mm (2.0 inches),120/70-14 ,120/70-14 ,Single disc,140 mm (5.5 inches),Expanding brake (drum brake),,"775 mm (30.5 inches) If adjustable, lowest setting.",,1200 mm (47.2 inches),4.00 litres (1.06 US gallons),Red/white,Kick,,5.8 HP (4.2  kW)) @ 7500 RPM,,9.5:1,,,,,,,1065 mm (41.9 inches),1820 mm (71.7 inches),,,Spannish made scooter.,,Black rims,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Bullet Electra Deluxe,2012,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",84.0 x 90.0 mm (3.3 x 3.5 inches),Injection. Keihin,Digital Electronic Ignition,Wet sump,Air,5-speed,Chain   (final drive),"Wet, manual multiple discs",Constant mesh,"Single downtube, using engine as stressed member",,Telescopic fork,130 mm (5.1 inches),Twin gas charged shock absorbers with 5-step adjustable preload,80 mm (3.1 inches),3.25-19 ,3.50-19 ,Single disc. 2-piston calipers,153 mm (6.0 inches),Expanding brake (drum brake),,,140 mm (5.5 inches),1370 mm (53.9 inches),14.50 litres (3.83 US gallons),,Electric & kick,,27.2 HP (19.9  kW)) @ 5500 RPM,41.3 Nm (4.2 kgf-m or 30.5 ft.lbs) @ 4000 RPM,8.5:1,2,Overhead Valves (OHV),,,,187.0 kg (412.3 pounds),1120 mm (44.1 inches),2200 mm (86.6 inches),800 mm (31.5 inches),2 years unlimited milage (in the US),Brand full name is Royal Enfield. Made in India.,,,,12 Volt,,,,,,,Headlamp 60/55W,,,,,,,,,,,,,,,,,,
Keeway Cruiser 250,2012,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",49.0 x 66.0 mm (1.9 x 2.6 inches),Carburettor,CDI,,Air,5-speed,Chain   (final drive),,,,,,,,,110/90-16 ,130/90-16 ,Single disc,,Single disc,172.0 kg (379.2 pounds),,150 mm (5.9 inches),1550 mm (61.0 inches),14.00 litres (3.70 US gallons),Black/white,Electric,,18.1 HP (13.2  kW)) @ 9450 RPM,14.0 Nm (1.4 kgf-m or 10.3 ft.lbs) @ 7500 RPM,9.4:1,,,,,,,1145 mm (45.1 inches),2300 mm (90.6 inches),726 mm (28.6 inches),,Windscreen. Chinese brand.,115.0 km/h (71.5 mph),,0.1052 HP/kg,12 Volt,,Saddle bags,,,Euro 2,,,,,,,,,,,,,,,,,,,,
KTM 690 Enduro R,2012,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Single cylinder, four-stroke",102.0 x 80.0 mm (4.0 x 3.1 inches),,,Pressure lubrication with 2 Eaton pumps,,6-speed,Chain   (final drive),"APTC slipper clutch, hydraulically operated",15:45. Primary drive: 36:79. 5/8 x 1/4” X and #8209;Ring chain.,"Tubular space frame made from chrome molybdenum steel, powder-coated",27.0°,WP USD  48 mm (1.89 in),250 mm (9.8 inches),WP SuspensionÂ 4618 with Proâ€‘Lever linkage,250 mm (9.8 inches),90/90-21 ,140/80-18 ,Single disc,240 mm (9.4 inches),Single disc,142.0 kg (313.1 pounds),"935 mm (36.8 inches) If adjustable, lowest setting.",280 mm (11.0 inches),1504 mm (59.2 inches),12.00 litres (3.17 US gallons),Black/white/orange,Electric,,65.7 HP (48.0  kW)) @ 7500 RPM,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 6000 RPM,11.8:1,,,,,115 mm (4.5 inches),,,,,,,,,0.4627 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Piaggio BV Tourer 300,2012,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",278.0 ccm (16.96 cubic inches),"Single cylinder, four-stroke",73.7 x 63.5 mm (2.9 x 2.5 inches),Injection,,,Liquid,Automatic,,,CVT automatic ratio variator - Twist and go.,Twin cradle tubes in high tensile steel,,"Telescopik fork, 35 mm shafts",,Dual hydraulic shock absorber,,110/70-16 ,140/70-16 ,Single disc,260 mm (10.2 inches),Single disc,,"787 mm (31.0 inches) If adjustable, lowest setting.",,,9.70 litres (2.56 US gallons),Blue,Electric,,22.0 HP (16.1  kW)) @ 7250 RPM,22.3 Nm (2.3 kgf-m or 16.4 ft.lbs) @ 5000 RPM,,4,Single Overhead Cams (SOHC),3.46 litres/100 km (28.9 km/l or 67.98 mpg),80.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,148.8 kg (328.0 pounds),1320 mm (52.0 inches),2110 mm (83.1 inches),770 mm (30.3 inches),"12 months, without mileage restriction",Windscreen,128.8 km/h (80.0 mph),,,,,,,,EPA and CARB,,,,,,,,,,,,,,,,,,,,
Sym X-Wolf ,2012,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,Carburettor,,,Air,,,,,,,Telescopic Fork,,Unit Swing Arm,,2.75-18 ,110/90-16 ,Single disc,220 mm (8.7 inches),Expanding brake (drum brake),126.0 kg (277.8 pounds),,150 mm (5.9 inches),1260 mm (49.6 inches),12.50 litres (3.30 US gallons),Dark blue,Electric & kick,,,,,,Overhead Valves (OHV),,,,,1115 mm (43.9 inches),2030 mm (79.9 inches),750 mm (29.5 inches),,SYM bikes are made in Taiwan.,,,,,,,,,,,35W headlight,,,,,,,,,,,,,,,,,,
Scorpa SR 280-2T Long Ride,2012,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,272.0 ccm (16.60 cubic inches),"Single cylinder, two-stroke",76.0 x 60.0 mm (3.0 x 2.4 inches),Carburettor. Dell´Orto PHBL 26BL,CDI,2% oil mixture,Liquid,5-speed,Chain   (final drive),Wet multiplate,,Steel tube,,Marzocchi 40 mm hydraulic fork,177 mm (7.0 inches),Sachs adjustable single shock,165 mm (6.5 inches),1.60-21 ,2.15-18 ,Single disc. Floating Wave disk with AJP 4-piston calipers,150 mm (5.9 inches),Single disc. Floating Wave disk with AJP 2-piston calipers,71.0 kg (156.5 pounds),,,1345 mm (53.0 inches),2.60 litres (0.69 US gallons),Orange/black/white,Kick,,,,,,Single Overhead Cams (SOHC),,,,74.0 kg (163.1 pounds),,2050 mm (80.7 inches),,,French brand.,,,,,,,,,,,None,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,
Kawasaki Z750R,2012,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",68.4 x 50.9 mm (2.7 x 2.0 inches),Injection,Digital,"Forced lubrication, wet sump",Liquid,,Chain   (final drive),"Wet mDouble disk, manual",Sealed chain,"Tubular backbone (with engine sub-frame), high-tensile steel ",24.5°,41 mm inverted fork with rebound damping. ,120 mm (4.7 inches),Bottom-Link Uni-Trak with gas-charged shock,134 mm (5.3 inches),120/70-ZR17 ,180/55-ZR17 ,"Double disc. Optional ABS. Dual radial-mount, opposed 4-piston caliper.",250 mm (9.8 inches),Single disc. Optional ABS,,"815 mm (32.1 inches) If adjustable, lowest setting.",155 mm (6.1 inches),1440 mm (56.7 inches),18.50 litres (4.89 US gallons),"Lime green, black",Electric,,104.2 HP (76.1  kW)) @ 10500 RPM,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 8300 RPM,11.3:1,4,Double Overhead Cams/Twin Cam (DOHC),,,103 mm (4.1 inches),224.0 kg (493.8 pounds),1070 mm (42.1 inches),2085 mm (82.1 inches),795 mm (31.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja 1000 ABS,2012,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1043.0 ccm (63.64 cubic inches),"In-line four, four-stroke",77.0 x 56.0 mm (3.0 x 2.2 inches),"Carburettor. DFI  with four 38mm Keihin throttle bodies, oval sub-throttles",TCBI with digital advance,,Liquid,6-speed,,,X-ring Chain,Aluminum backbone frame,24.5°,"41 mm inverted cartridge fork with stepless compression and rebound damping, adjustable spring preload / 4.7 in.",,"Horizontal monoshock with stepless rebound damping, adjustable spring preload / 5.4 in.",,120/70-ZR17 ,190/50-ZR17 ,Double disc,250 mm (9.8 inches),Single disc,,"820 mm (32.3 inches) If adjustable, lowest setting.",,1445 mm (56.9 inches),18.93 litres (5.00 US gallons),"Metallic Spark Black/Metallic Flat Micron Gray, Candy Lime Green/Ebony",,,,,11.8:1,4,Double Overhead Cams/Twin Cam (DOHC),,,102 mm (4.0 inches),231.1 kg (509.4 pounds),1229 mm (48.4 inches),2106 mm (82.9 inches),790 mm (31.1 inches),12 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 300 XC,2012,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",293.0 ccm (17.88 cubic inches),"Single cylinder, two-stroke",72.0 x 72.0 mm (2.8 x 2.8 inches),Carburettor,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment, type Kokusan",Mixture oil lubrication 1:60,Liquid,6-speed,Chain   (final drive),Wet multi-disc clutch / hydraulically operated,14:50. Primary gear 	26:72.,Central tube frame made of chrome molybdenum steel tubing,26.5°,WP Suspension Up Side Down 4860 MXMA CC,300 mm (11.8 inches),WP Suspension 5018 BAVP DCC,317 mm (12.5 inches),80/100-21 ,100/90-19 ,Single disc. Brake calipers on floating bearings,220 mm (8.7 inches),Single disc. Brake calipers on floating bearings,104.0 kg (229.3 pounds),"992 mm (39.1 inches) If adjustable, lowest setting.",385 mm (15.2 inches),1495 mm (58.9 inches),7.50 litres (1.98 US gallons),Orange/black/white,Electric & kick,Reed intake and exhaust control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Aerox SP55,2012,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor. Gurtner,C.D.I.,Separate lubrication,Liquid,Automatic,Belt   (final drive),,,Steel,,Telescopic fork,80 mm (3.1 inches),Unit swing,60 mm (2.4 inches),130/60-13 ,140/60-13 ,Single disc,190 mm (7.5 inches),Single disc,,"828 mm (32.6 inches) If adjustable, lowest setting.",185 mm (7.3 inches),1256 mm (49.4 inches),7.00 litres (1.85 US gallons),,Electric & kick,,2.7 HP (2.0  kW)) @ 6500 RPM,3.7 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 4500 RPM,7.4:1,,,,,,97.0 kg (213.8 pounds),,1743 mm (68.6 inches),690 mm (27.2 inches),,,,Race-style red pinstripe wheels,,,,Under-seat helmet storage for a full-face helmet. ,Three-tone carbon-look dual seat,Analogue speedo and fuel gauge,,,,,,,,,,,,,,,,,,,,,
CR&S VUN Track PPP,2012,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,720.0 ccm (43.93 cubic inches),"Single cylinder, four-stroke",100.0 x 83.0 mm (3.9 x 3.3 inches),"Injection. Integrated CR and S/Walbro/Dell’Orto ignition/injection system, 52 mm throttle housing, twin injectors, twin spark",,,Liquid,5-speed,Chain   (final drive),Multiple disc wet,,Steel tubes and machined light alloy plates compound,,Ceriani racing fork with DLC tubes,120 mm (4.7 inches),"Ohlins racing shock with hydraulic adjustments, spring preload  and  adjustable offset",128 mm (5.0 inches),120/70-ZR17 ,160/60-ZR17 ,Single disc,220 mm (8.7 inches),Single disc,128.0 kg (282.2 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",150 mm (5.9 inches),1368 mm (53.9 inches),12.50 litres (3.30 US gallons),"White/black, black/yellow",,Bombardier-Rotax / CR and S /PAMI,68.0 HP (49.6  kW)) @ 8500 RPM,65.2 Nm (6.6 kgf-m or 48.1 ft.lbs) @ 7000 RPM,12.5:1,4,Double Overhead Cams/Twin Cam (DOHC),,,,140.0 kg (308.6 pounds),,1980 mm (78.0 inches),740 mm (29.1 inches),No warranty,Not certified for road use. CR and S is an abbreviation of Cafe Racers  and Superbikes. PPP is an abbreviation of Prùnta Per Pista. Italian brand.,,Marvic Piuma racing cast magnesium five spoke wheels,0.5313 HP/kg,,Stainless steel /Titanium exhaust system,,Neoprene seat,,,,,,,,,,,,,,,,,,"820 mm (32.3 inches) If adjustable, highest setting.",,,,
Aprilia Scarabeo 125ie,2012,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,Injection. EFI,,Separate oil petrol pump mixer,Liquid,Automatic,Belt   (final drive),Automatic dry centifuge with damper buffers,,Single cradle tubular steel high yield point,,Hydraulic telescopic fork with 35mm stems,100 mm (3.9 inches),Hydraulic shock absorber,90 mm (3.5 inches),100/80-16 ,120/80-16 ,Single disc,220 mm (8.7 inches),Single disc,154.0 kg (339.5 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",,1380 mm (54.3 inches),8.50 litres (2.25 US gallons),"White, black, silver, red, blue, pink",Electric,,19.7 HP (14.4  kW)) @ 10000 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 8000 RPM,12.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,,,1411 mm (55.6 inches),2025 mm (79.7 inches),725 mm (28.5 inches),,,,,0.1280 HP/kg,,,,,,Euro III,,,,,,,,,,,,,,,,,,,,
Yamaha YZ450F,2012,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",97.0 x 60.8 mm (3.8 x 2.4 inches),"Injection. Yamaha Fuel Injection (YFI), Keihin  44mm",TCI,Wet sump,Liquid,5-speed,Chain   (final drive),"Multiplate, wet",,,,"KYB  Speed-Sensitive System, inverted fork: fully adjustable, 12.2-in travel",310 mm (12.2 inches),KYB  Fully adjustable single shock,315 mm (12.4 inches),80/100-21 ,120/80-19 ,Single disc. Hydraulic,245 mm (9.6 inches),Single disc. Hydraulic,,"1,001 mm (39.4 inches) If adjustable, lowest setting.",386 mm (15.2 inches),1491 mm (58.7 inches),6.06 litres (1.60 US gallons),"Blue/White, White/Red",Electric,Titanium valves,,,12.5:1,4,Double Overhead Cams/Twin Cam (DOHC),,,,111.1 kg (245.0 pounds),1311 mm (51.6 inches),2195 mm (86.4 inches),826 mm (32.5 inches),30 Day (Limited Factory Warranty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GV650,2012,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",81.5 x 62.0 mm (3.2 x 2.4 inches),Injection,,  Wet sump,Liquid,5-speed,Belt   (final drive),"  Wet, Multiplate",,,," Upside down Telescopic (Compression, Rebound damping adjustable)",,Swing arm with Hydraulic Double shock absorber (Preload adjustable),,120/70-ZR18 ,180/55-ZR17 ,"Double disc. Semi floating discs, 2 pistons calipers",270 mm (10.6 inches),Single disc. 2 pistons caliper,229.0 kg (504.9 pounds),"706 mm (27.8 inches) If adjustable, lowest setting.",160 mm (6.3 inches),1699 mm (66.9 inches),15.90 litres (4.20 US gallons),"Black, red, white",Electric,9+ degree V-twin,79.0 HP (57.7  kW)) @ 9000 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 7250 RPM,11.6:1,4,Double Overhead Cams/Twin Cam (DOHC),,,,,,2431 mm (95.7 inches),840 mm (33.1 inches),2 years,,,"Three spoke wheels, dark red rims",0.3450 HP/kg,,,,2-person seat,,,,,,,,,,,,,,,,,,,,,,
Kreidler Galactica 2.0 50 DD,2012,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,,Air,Automatic,,,Variomatic,,,Telescopic fork,,Hydraulic strut (variable) with equalising tank,,130/60-13 ,130/60-13 ,Single disc. Wave disc,180 mm (7.1 inches),Single disc. Wave disc,91.0 kg (200.6 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",,1300 mm (51.2 inches),5.50 litres (1.45 US gallons),"Green/gray, blue/gray",Electric & kick,,4.0 HP (2.9  kW)) @ 6300 RPM,,,,,,,,,1140 mm (44.9 inches),1825 mm (71.9 inches),700 mm (27.6 inches),,"LED blinkers, LED reverse light, 12V power outlet, sound system.",45.1 km/h (28.0 mph),,0.0442 HP/kg,,Stainless steel sport exhaust ,,,Digital cockpit ,Euro 2,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 2000 Classic LT,2012,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",2053.0 ccm (125.27 cubic inches),"V2, four-stroke",103.0 x 123.2 mm (4.1 x 4.9 inches),"Injection. Digital fuel injection, dual 46mm Keihin throttle bodies (2)",TCBI with Digital Advance,,Liquid,5-speed,Belt   (final drive),,,"Steel, double-cradle with box-section single-tube backbone",32.0°,49mm telescopic fork / 5.9 in.,,"Triangulated steel pipe swingarm with direct-action single shock, with fully-adjustable spring preload, eight-way rebound damping / 3.9 in.",,150/80-16 ,200/60-16 ,Double disc,320 mm (12.6 inches),Single disc,,"681 mm (26.8 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1735 mm (68.3 inches),20.82 litres (5.50 US gallons),Metallic Diablo Black/Candy Imperial Blue,Electric,,,191.2 Nm (19.5 kgf-m or 141.0 ft.lbs) @ 2800 RPM,9.5:1,4,,,,183 mm (7.2 inches),401.1 kg (884.2 pounds),1481 mm (58.3 inches),2535 mm (99.8 inches),1026 mm (40.4 inches),24 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeon Crossland X4 400,2012,ATV," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",82.0 x 65.6 mm (3.2 x 2.6 inches),Carburettor,,Wet sump,Liquid,Automatic,Shaft drive (cardan)   (final drive),Centrifugal clutch,"CVT, 4WD with reverse",Steel,,Double A-Arm,178 mm (7.0 inches),Swing Arm,165 mm (6.5 inches),23/7-12 ,23/10-12 ,Double disc,,Expanding brake (drum brake),236.0 kg (520.3 pounds),"850 mm (33.5 inches) If adjustable, lowest setting.",200 mm (7.9 inches),1230 mm (48.4 inches),14.00 litres (3.70 US gallons),"Red, black",Electric,,20.1 HP (14.7  kW)) @ 8500 RPM,30.0 Nm (3.1 kgf-m or 22.1 ft.lbs) @ 6500 RPM,10.6:1,,Single Overhead Cams (SOHC),,,,250.0 kg (551.2 pounds),1150 mm (45.3 inches),1940 mm (76.4 inches),1080 mm (42.5 inches),,2 seats.,,,0.0853 HP/kg,,,"Under-seat case with safety lock, Front and rear racks.",,,,,,,,,,,,,,,,,,,,,,,
Husqvarna WR125,2012,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor. Mikuni TMX38 Carburettor,,,Liquid,,Chain   (final drive),"Multi plate, cable operation",6 speed constant mesh,Chromoly single tube frame cradle utilizes rounded-rectangle elliptical tubing.,26.5°,48mm Kayaba USD fork,300 mm (11.8 inches),"Sachs single shock with remote reservoir, adjustable spring preload, compression and rebound damping.",295 mm (11.6 inches),90/90-21 ,120/90-18 ,Single disc,240 mm (9.4 inches),Single disc,101.0 kg (222.7 pounds),"975 mm (38.4 inches) If adjustable, lowest setting.",325 mm (12.8 inches),1465 mm (57.7 inches),9.46 litres (2.50 US gallons),Red/White,Kick,Power valve with mechanical control on the exhaust port.,,,,,,,,110 mm (4.3 inches),,,2260 mm (89.0 inches),840 mm (33.1 inches),2 Years,"Digital dash, street homologated.",,,,,,,,,,,,0.70 litres (0.74 US quarts),,,,,,,,,,,,,,,,,
Triumph Sprint GT,2012,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1050.0 ccm (64.07 cubic inches),"In-line three, four-stroke",79.0 x 79.0 mm (3.1 x 3.1 inches),Injection. Multipoint sequential electronic fuel injection with SAI,Digital-inductive type vis engine management system,,Liquid,6-speed,Chain   (final drive),Wet. multi-plate,X ring chain,"Aluminum beam perimeter. Single-sided, aluminium alloy with eccentric chain adjuster swin arm.",23.5°,Showa 43mm cartridge forks with dual rate springs and adjustable preload. 127mm travel,,Showa monoshock with adjustable preload and rebound damping. 152mm rear wheel travel,,150/80-R16 ,180/55-ZR17 ,Double disc. ABS,255 mm (10.0 inches),Single disc. ABS,,"815 mm (32.1 inches) If adjustable, lowest setting.",,1537 mm (60.5 inches),20.00 litres (5.28 US gallons),Pacific Blue. Aluminum Silver,Electric,,130.0 HP (94.9  kW)) @ 9200 RPM,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 6300 RPM,12.0:1,4,Double Overhead Cams/Twin Cam (DOHC),5.88 litres/100 km (17.0 km/l or 40.00 mpg),136.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,84 mm (3.3 inches),265.0 kg (584.2 pounds),1210 mm (47.6 inches),2260 mm (89.0 inches),760 mm (29.9 inches),,,,Cast aluminum alloy 5-spoke,,,Stainless steel 3 into 1. side mounted stainless steel exhaust,,,"Analogue speedometer, trip computer, clock and analogue tachometer",,,,3.50 litres (3.7 US quarts),,,,,,,,,,,,,,,,,
