Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,0-100 km/h (0-62 mph),Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Overall length,Wheelbase,Fuel capacity,Starter,Frame type,Rake (fork angle),Trail,Rear wheel travel,Diameter,Dry weight,Power/weight ratio,Seat height,Ground clearance,Oil capacity,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Exhaust system,Color options,Max RPM,Reserve fuel capacity,Overall height,Overall width,Comments,Lubrication system,Clutch,Front wheel travel,Fuel consumption,Greenhouse gases,"60-140 km/h (37-87 mph), highest gear",Modifications compared to previous model,Wheels,Seat,Instruments,Light,Carrying capacity,Factory warranty
Moto Morini AMEX 250 J,1980,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,239.0 ccm (14.58 cubic inches),"V2, four-stroke",23.0 HP (16.8  kW)) @ 8800 RPM,,141.0 km/h (87.6 mph),,11.7:1,59.0 x 43.8 mm (2.3 x 1.7 inches),2,,Overhead Valves (OHV),,Air,6-speed,Chain   (final drive),,,2.75-18 ,3.25-18 ,Single disc,Expanding brake,145.0 kg (319.7 pounds),,,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 200 X 5 E,1980,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",196.0 ccm (11.96 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 8000 RPM,,128.0 km/h (79.5 mph),,6.9:1,50.0 x 50.0 mm (2.0 x 2.0 inches),,,Port control,,Air,5-speed,Chain   (final drive),,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,131.0 kg (288.8 pounds),,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 650 Maxim,1980,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"In-line four, four-stroke",,,,,,,2,"Carburettor. YICS, Mikuni CV",Double Overhead Cams/Twin Cam (DOHC),Transistorized,Air,5-speed,Shaft drive (cardan)   (final drive),,,-19 ,130/90-16 ,Single disc. Hydraulic single-piston,Expanding brake (drum brake). Mechanical actuator,226.8 kg (500.0 pounds),,,,,Steel tubing,,,,,,,,,,,,,,,,,,,Dual stainless steel,Black,,,,,,Wet sump,Wet plate,,,,,First year of XJ and YICS powerplant.,,,,,,
Kawasaki KM 100,1980,Cross / motocross," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",8.8 HP (6.4  kW)) @ 6500 RPM,,86.0 km/h (53.4 mph),,7.3:1,49.5 x 51.8 mm (1.9 x 2.0 inches),,,Rotary valves,,Air,5-speed,Chain   (final drive),,,2.50-16 ,3.00-14 ,Expanding brake,Expanding brake,89.0 kg (196.2 pounds),,,6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RV 90,1980,"Minibike, sport"," 2.4  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",88.0 ccm (5.37 cubic inches),"Single cylinder, two-stroke",6.3 HP (4.6  kW)) @ 6000 RPM,,85.0 km/h (52.8 mph),,6.2:1,50.0 x 45.0 mm (2.0 x 1.8 inches),,,Membrane,,Air,4-speed,Chain   (final drive),,,6.70-10 ,6.70-10 ,Expanding brake,Expanding brake,86.0 kg (189.6 pounds),,,3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SS Hailwood-Replica,1980,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,,220.0 km/h (136.7 mph),,9.4:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,,Desmodromic valve control,,Air,5-speed,Chain   (final drive),,,3.50-18 ,120/90-18 ,Dual disc,Single disc,218.0 kg (480.6 pounds),,,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 1000 S,1980,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9000 RPM,,216.0 km/h (134.2 mph),,9.2:1,70.0 x 64.8 mm (2.8 x 2.6 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.50-19 ,4.25/85-18 ,Dual disc,Single disc,255.0 kg (562.2 pounds),,,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha MR50,1980,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,100.0 km/h (62.1 mph),,6.0:1,40.0 x 39.7 mm (1.6 x 1.6 inches),,Carburettor. VM16SH carburetor,,magneto ignition,Air,,,Telescopic,Swing arm monocross suspension,2.50-18-4PR ,3.00-16-4PR ,Expanding brake (drum brake). Mechanical drum brake  Leading - Trailing,Expanding brake (drum brake). Mechanical drum brake  Leading - Trailing,77.0 kg (169.8 pounds),1835 mm (72.2 inches),1180 mm (46.5 inches),6.50 litres (1.72 US gallons),Kick,"Semi-double cradle, steel tubular",27.3°,94 mm (3.7 inches),,110 mm (4.3 inches),70.0 kg (154.3 pounds),,"740 mm (29.1 inches) If adjustable, lowest setting.",205 mm (8.1 inches),1.30 litres (1.37 US quarts),,,,,,,,,,Single pipe,Yellow/Black and Grey/Black,,,1020 mm (40.2 inches),770 mm (30.3 inches),,,Wet multi-disc,,,,,,Chrome multi-spoke,Plain,"Speedometer, tachometer, neutral, flasher and oil warning",Headlight 6v 25/25W and taillight 6v 17/5.3W,Chrome rear pack rack.,Japan
Yamaha XS 400 US. Custom,1980,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",392.0 ccm (23.92 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,,139.0 km/h (86.4 mph),,9.3:1,69.0 x 52.4 mm (2.7 x 2.1 inches),2,,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,3.00-18 ,120/90-16 ,Single disc,Expanding brake,180.0 kg (396.8 pounds),,,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RS200,1980,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,195.0 ccm (11.90 cubic inches),"Twin, two-stroke",,,,,,,,Carburettor. TEIKEI,Port control,POINTS,Air,5-speed,Chain   (final drive),,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,Electric & kick,,,,,,,,,,,,,,,,,,,,TWIN,RED OR BLUE,,,,,,AUTOLUBE,WET MULTIPLATE,,,,,,,,,,,
Honda CX 500 C (reduced effect),1980,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,,140.0 km/h (87.0 mph),,10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,,Overhead Valves (OHV),,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,3.50-19 ,130/90-16 ,Dual disc,Expanding brake,216.0 kg (476.2 pounds),,,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horex 1400 TI,1980,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1338.0 ccm (81.64 cubic inches),"In-line four, four-stroke",140.0 HP (102.2  kW)) @ 7200 RPM,,250.0 km/h (155.3 mph),,6.0:1,80.0 x 66.6 mm (3.1 x 2.6 inches),2,Turbo,Overhead Cams (OHC),,Air,4-speed,Chain   (final drive),,,120/90-18 ,130/80-18 ,Dual disc,Single disc,296.0 kg (652.6 pounds),,,36.00 litres (9.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 Le Mans II,1980,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",74.0 HP (54.0  kW)) @ 7700 RPM,,201.0 km/h (124.9 mph),,10.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,100/90-18 ,110/90-18 ,Dual disc,Single disc,243.0 kg (535.7 pounds),,,22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 L,1980,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",80.0 HP (58.4  kW)) @ 9200 RPM,,184.0 km/h (114.3 mph),,9.4:1,67.0 x 53.0 mm (2.6 x 2.1 inches),4,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,90/90-19 ,130/90-16 ,Dual disc,Single disc,244.0 kg (537.9 pounds),,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M-63 (with sidecar),1980,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",20.6 HP (15.0  kW)) @ 5200 RPM,,,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,Air,,Shaft drive (cardan)   (final drive),,,,,Expanding brake,Expanding brake,,,,,,,,,,,320.0 kg (705.5 pounds),0.0644 HP/kg,,,,,,,,,,,,,,,,,,,Model made by the Ural Irbits factory 1963-1980. Weight includes sidecar.,,,,,,,,,,,,,
Honda XL 250 S,1980,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,19.6 Nm (2.0 kgf-m or 14.5 ft.lbs) @ 4500 RPM,111.0 km/h (69.0 mph),,9.1:1,74.0 x 57.8 mm (2.9 x 2.3 inches),4,Carburettor. Single 28mm Keihin,Overhead Cams (OHC),Electronic ,Air,5-speed,Chain   (final drive),Oil damper telescopic forks,Swinging fork,3.00-23 ,4.60-18 ,Expanding brake (drum brake),Expanding brake,132.0 kg (291.0 pounds),2174 mm (85.6 inches),1389 mm (54.7 inches),9.50 litres (2.51 US gallons),Kick,,,,,140 mm (5.5 inches),118.0 kg (260.1 pounds),0.1441 HP/kg,"848 mm (33.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,Wet multi-plate,,,,,,,,,,,
Moto Morini 500 S,1980,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",478.0 ccm (29.17 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,,170.0 km/h (105.6 mph),,11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),2,,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,100/90-18 ,4.00-18 ,Dual disc,Single disc,184.0 kg (405.7 pounds),,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SD Darmah,1980,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,,200.0 km/h (124.3 mph),,9.4:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,,Desmodromic valve control,,Air,5-speed,Chain   (final drive),,,3.50-18 ,4.25/85-18 ,Dual disc,Single disc,240.0 kg (529.1 pounds),,,16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 500 S,1980,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,,135.0 km/h (83.9 mph),,8.6:1,89.0 x 80.0 mm (3.5 x 3.1 inches),4,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.00-23 ,4.60-18 ,Expanding brake,Expanding brake,142.0 kg (313.1 pounds),,,10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 250,1980,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,,148.0 km/h (92.0 mph),,10.5:1,60.0 x 44.2 mm (2.4 x 1.7 inches),4,,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,3.00-18 ,3.75-18 ,Single disc,Expanding brake,175.0 kg (385.8 pounds),,,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1000 Fuel Injection,1980,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1015.0 ccm (61.94 cubic inches),"In-line four, four-stroke",97.0 HP (70.8  kW)) @ 8000 RPM,,210.0 km/h (130.5 mph),,8.7:1,70.0 x 66.0 mm (2.8 x 2.6 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.25-19 ,4.00-18 ,Dual disc,Single disc,264.0 kg (582.0 pounds),,,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 250 2 C,1980,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,231.0 ccm (14.10 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 7600 RPM,,125.0 km/h (77.7 mph),,10.0:1,56.0 x 47.0 mm (2.2 x 1.9 inches),,,Port control,,Air,5-speed,Chain   (final drive),,,3.00-18 ,3.25-18 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),,,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
