Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Max RPM,Fuel system,Starter,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Oil capacity,Color options,Torque,Exhaust system,Diameter,Comments,Driveline,Electrical,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Wheels,Seat,Modifications compared to previous model,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Chain size,Chain links,Sprockets,Fork tube size
Honda CBX,1979,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1046.0 ccm (63.83 cubic inches),"In-line six, four-stroke",105.0 HP (76.6  kW)) @ 9000 RPM,220.0 km/h (136.7 mph),9.3:1,64.5 x 53.4 mm (2.5 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.25-18 ,Dual disc,Single disc,274.0 kg (604.1 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horex 1400 TI,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1338.0 ccm (81.64 cubic inches),"In-line four, four-stroke",140.0 HP (102.2  kW)) @ 7200 RPM,250.0 km/h (155.3 mph),6.0:1,80.0 x 66.6 mm (3.1 x 2.6 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),120/90-18 ,130/80-18 ,Dual disc,Single disc,296.0 kg (652.6 pounds),36.00 litres (9.51 US gallons),,Turbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750,1979,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 7000 RPM,176.0 km/h (109.4 mph),8.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Single disc,235.0 kg (518.1 pounds),14.50 litres (3.83 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TS 250 ER,1979,Enduro / offroad," 2.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",16.5 HP (12.0  kW)) @ 6000 RPM,107.0 km/h (66.5 mph),6.5:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Expanding brake,Expanding brake,133.0 kg (293.2 pounds),7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 50,1979,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",490.0 ccm (29.90 cubic inches),"V2, four-stroke",39.0 HP (28.5  kW)) @ 7400 RPM,168.0 km/h (104.4 mph),10.8:1,74.0 x 57.0 mm (2.9 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,183.0 kg (403.4 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 800 SS Super America,1979,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,789.0 ccm (48.14 cubic inches),"In-line four, four-stroke",82.0 HP (59.9  kW)) @ 9000 RPM,220.0 km/h (136.7 mph),10.0:1,67.0 x 56.0 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 400 A,1979,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,139.0 km/h (86.4 mph),9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),3,Overhead Cams (OHC),Air,2-speed automatic,Chain   (final drive),3.60-19 ,4.10-18 ,Single disc,Expanding brake,189.0 kg (416.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500 Custom,1979,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,159.0 km/h (98.8 mph),10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,130/90-16 ,Dual disc,Expanding brake,216.0 kg (476.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 N,1979,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,125.0 km/h (77.7 mph),9.4:1,62.0 x 41.4 mm (2.4 x 1.6 inches),3,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Single disc,Expanding brake,186.0 kg (410.1 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RS200,1979,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,195.0 ccm (11.90 cubic inches),"Twin, two-stroke",,136.8 km/h (85.0 mph),,,,Port control,Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,9000,Carburettor,,,AUTOLUBE,WET PLATE,,,STEEL TUBE,,,,,,,,,,,,,,,,,RED OR BLUE,,,,BUDGET COMMUTER looked dated even when new,,,,,,,double seat fitted on later models but tachometer discontinued,,,,,,,,,
BMW R 100 T,1979,Classic," 2.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",65.0 HP (47.4  kW)) @ 6600 RPM,187.0 km/h (116.2 mph),9.0:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,236.0 kg (520.3 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 250 2 C,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,231.0 ccm (14.10 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 7600 RPM,125.0 km/h (77.7 mph),10.0:1,56.0 x 47.0 mm (2.2 x 1.9 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 3 California,1979,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 6800 RPM,150.0 km/h (93.2 mph),9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),4.10-18 ,4.10-18 ,Dual disc,Single disc,245.0 kg (540.1 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münch 4-1200 TTS-E,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1289.0 ccm (78.65 cubic inches),"In-line four, four-stroke",104.0 HP (75.9  kW)) @ 7500 RPM,196.0 km/h (121.8 mph),9.1:1,78.5 x 66.6 mm (3.1 x 2.6 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,311.0 kg (685.6 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 RS,1979,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7250 RPM,193.0 km/h (119.9 mph),9.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,247.0 kg (544.5 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 1100,1979,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1101.0 ccm (67.18 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 8500 RPM,215.0 km/h (133.6 mph),9.2:1,71.5 x 68.6 mm (2.8 x 2.7 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,286.0 kg (630.5 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1000 S - Z 1-R,1979,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1015.0 ccm (61.94 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,207.0 km/h (128.6 mph),8.7:1,70.0 x 66.0 mm (2.8 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,272.0 kg (599.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 S,1979,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,117.0 km/h (72.7 mph),11.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),2.75-17 ,3.00-17 ,Single disc,Expanding brake,122.0 kg (269.0 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH 1000 Sportster,1979,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6000 RPM,,9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),100/90-H19 ,130/90-16 ,Single disc,Single disc,240.0 kg (529.1 pounds),9.00 litres (2.38 US gallons),,Carburettor. Keihin 34mm,Electric,Electronic,,,,,"Double cradle, steel",,,Telehydraulic forks,,Dual shocks swinging arm ,,231.0 kg (509.3 pounds),0.2468 HP/kg,,,,,,,,2.80 litres (2.96 US quarts),,,,285 mm (11.2 inches),,,,,,,,,SAE 50W,K & N  KN-172C (chrome),DOT4,YTX20H-BS,BPR6HS,530,110,21/51 (front/rear),35 mm (1.4 inches)
