Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Top speed,Fuel system,Starter,Torque,Ignition,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat height,Wheelbase,Color options,Max RPM,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Lubrication system,Frame type,Reserve fuel capacity,1/4 mile (0.4 km),Diameter,Ground clearance,0-100 km/h (0-62 mph),Oil capacity,Rake (fork angle),Trail,Comments,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Battery,Belt teeth,Belt width,Pulley teeth,Coolant,Chain size
Kawasaki Zephyr 750 (reduced effect #2),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,738.0 ccm (45.03 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/70-17 ,150/70-17 ,Dual disc,Single disc,220.0 kg (485.0 pounds),17.00 litres (4.49 US gallons),130.0 km/h (80.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHS 1340 Electra Glide Sport,1991,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,343.0 kg (756.2 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 250,1991,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 8500 RPM,11.0:1,70.0 x 64.8 mm (2.8 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-19 ,120/90-16 ,Single disc,Expanding brake,133.0 kg (293.2 pounds),9.00 litres (2.38 US gallons),128.0 km/h (79.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 S Klassik,1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Expanding brake,Expanding brake,160.0 kg (352.7 pounds),14.00 litres (3.70 US gallons),150.0 km/h (93.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1200,1991,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 9000 RPM,9.7:1,77.0 x 63.8 mm (3.0 x 2.5 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/80-16 ,150/80-16 ,Dual disc,Single disc,259.0 kg (571.0 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 GS,1991,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,225.0 kg (496.0 pounds),26.00 litres (6.87 US gallons),150.0 km/h (93.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 13 T,1991,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1293.0 ccm (78.90 cubic inches),"V4, four-stroke",97.0 HP (70.8  kW)) @ 7000 RPM,10.5:1,79.0 x 66.0 mm (3.1 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),120/90-18 ,140/90-16 ,Dual disc,Single disc,348.0 kg (767.2 pounds),20.00 litres (5.28 US gallons),196.0 km/h (121.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80,1991,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,210.0 kg (463.0 pounds),22.00 litres (5.81 US gallons),177.0 km/h (110.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 750,1991,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",116.0 HP (84.7  kW)) @ 11000 RPM,10.9:1,70.0 x 48.7 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),120/70-17 ,170/60-17 ,Dual disc,Single disc,234.0 kg (515.9 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Low Rider Convertible,1991,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MM 90-19 ,MT 90-16 ,Dual disc,Single disc,277.0 kg (610.7 pounds),16.00 litres (4.23 US gallons),144.0 km/h (89.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 1200 (reduced effect),1991,Sport touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1198.0 ccm (73.10 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5200 RPM,9.0:1,88.8 x 96.8 mm (3.5 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Belt   (final drive),100/90-19 ,130/90-16 ,Single disc,Single disc,226.0 kg (498.2 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti Fifty HF Mix 50,1991,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)) @ 7000 RPM,12.0:1,38.0 x 43.0 mm (1.5 x 1.7 inches),,Membrane,Air,3-speed,Chain   (final drive),2.75-16 ,3.25-16 ,Expanding brake (drum brake),Expanding brake (drum brake),70.0 kg (154.3 pounds),3.50 litres (0.92 US gallons),90.0 km/h (55.9 mph),Carburettor. Dell´Orto SHB 14/12,Kick,,Digital Ducati,,,,,,,"Red, Black, White",12000,5 disk wet plate,3.33 litres/100 km (30.0 km/l or 70.64 mpg),77.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,65.0 kg (143.3 pounds),0.0769 HP/kg,,,,,,0.50 litres (0.13 US gallons),,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S (reduced effect #2),1991,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,499.0 ccm (30.45 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8500 RPM,10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-16 ,120/90-16 ,Dual disc,Expanding brake,196.0 kg (432.1 pounds),18.00 litres (4.76 US gallons),154.0 km/h (95.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR 750,1991,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 10500 RPM,10.8:1,71.0 x 47.3 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Dual disc,Single disc,231.0 kg (509.3 pounds),18.00 litres (4.76 US gallons),231.0 km/h (143.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M 67-6 (reduced effect),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 4500 RPM,7.0:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),4.00-18 ,4.00-18 ,Expanding brake,Expanding brake,215.0 kg (474.0 pounds),17.00 litres (4.49 US gallons),130.0 km/h (80.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTC 1340 Heritage Softail Classic,1991,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT 90-16 ,MT 90-16 ,Single disc,Single disc,298.0 kg (657.0 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 750,1991,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 9500 RPM,9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/70-17 ,150/70-17 ,Double disc. Two-piston calipers. ,Single disc. Single-piston caliper. ,220.0 kg (485.0 pounds),17.00 litres (4.49 US gallons),201.0 km/h (124.9 mph),Carburettor. 4 x 32mm Keihin,Electric,56.8 Nm (5.8 kgf-m or 41.9 ft.lbs) @ 7300 RPM,Analogue CDI (Capacitive Discharge,41mm Telescopic forks no adjustmen,140 mm (5.5 inches),"Dual gas shocks adjustable for preload, rebound, and compression.",115 mm (4.5 inches),"770 mm (30.3 inches) If adjustable, lowest setting.",1455 mm (57.3 inches),,,"Wet, multiple discs, cable operated",6.06 litres/100 km (16.5 km/l or 38.82 mpg),140.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,201.0 kg (443.1 pounds),0.3582 HP/kg,,,,Wet sump,,,,230 mm (9.1 inches),,,3.30 litres (3.49 US quarts),,,"Area code EU,UK,FR,AR,FG,GR,IT,NR,SD,SP,ST:  
frame range ZR750C 000001 - ZR750C 018500,  
engine range KZ750EE 150001 - KZ750EE 999999  
Area code US,CAL,CA:  
frame range JKAZRDC1_MA 000001 - JKAZRDC1_MA 018500, engine range KZ750EE 150001 - KZ750EE 999999.",SAE 10W-40,DOT 4,"NGK DR8ES, NGK DR8EIX",1100  +/- 50  RPM,106,15/39 (front/rear),29 PSI (2 Bar or 200 kPa),33 PSI (2.3 Bar or 225 kPa),41 mm (1.6 inches),,,,,,,
Moto Morini 500 Sei-V Klassik,1991,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,478.0 ccm (29.17 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Expanding brake,Expanding brake,180.0 kg (396.8 pounds),16.00 litres (4.23 US gallons),155.0 km/h (96.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 LT,1991,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,273.0 kg (601.9 pounds),22.00 litres (5.81 US gallons),215.0 km/h (133.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 650 Alazzurra,1991,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,649.0 ccm (39.60 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8400 RPM,10.0:1,82.0 x 61.5 mm (3.2 x 2.4 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-18 ,120/80-18 ,Dual disc,Single disc,207.0 kg (456.4 pounds),18.00 litres (4.76 US gallons),175.0 km/h (108.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos BT 50 N,1991,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",5.4 HP (3.9  kW)) @ 8000 RPM,11.0:1,38.0 x 43.0 mm (1.5 x 1.7 inches),,,Air,5-speed,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,9.50 litres (2.51 US gallons),90.0 km/h (55.9 mph),Carburettor. Bing 18mm,Kick,5.0 Nm (0.5 kgf-m or 3.7 ft.lbs) @ 7500 RPM,,,,,,,,,8500,,,,cantor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR250C Ninja,1991,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"In-line four, four-stroke",45.0 HP (32.8  kW)) @ 16000 RPM,11.5:1,,4,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,,,,,,,,Carburettor,,24.0 Nm (2.4 kgf-m or 17.7 ft.lbs) @ 11500 RPM,Electric,,,,,,,,19000,,,,,,,,,,Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Tour Glide Ultra Classic,1991,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,366.0 kg (806.9 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GS 490,1991,Cross / motocross," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",488.0 ccm (29.78 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5600 RPM,13.5:1,86.5 x 83.0 mm (3.4 x 3.3 inches),,Membrane & variable discharge openings,Liquid,5-speed,Chain   (final drive),3.00-21 ,130/80-18 ,Single disc,Single disc,109.0 kg (240.3 pounds),10.00 litres (2.64 US gallons),100.0 km/h (62.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California III Injection,1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,948.0 ccm (57.85 cubic inches),"V2, four-stroke",71.0 HP (51.8  kW)) @ 6800 RPM,9.5:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,120/90-18 ,Dual disc,Single disc,290.0 kg (639.3 pounds),26.00 litres (6.87 US gallons),172.0 km/h (106.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 F,1991,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 10500 RPM,10.9:1,73.0 x 44.7 mm (2.9 x 1.8 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-17 ,150/70-17 ,Dual disc,Single disc,231.0 kg (509.3 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 125 R,1991,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 7000 RPM,6.7:1,56.0 x 50.7 mm (2.2 x 2.0 inches),,Membrane & power valve,Liquid,6-speed,Chain   (final drive),2.15-21 ,4.10-18 ,Single disc,Single disc,119.0 kg (262.4 pounds),10.00 litres (2.64 US gallons),110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR Big 800 S,1991,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",779.0 ccm (47.53 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6600 RPM,9.5:1,105.0 x 90.0 mm (4.1 x 3.5 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,222.0 kg (489.4 pounds),24.00 litres (6.34 US gallons),163.0 km/h (101.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 1200,1991,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1198.0 ccm (73.10 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5200 RPM,9.0:1,88.8 x 96.8 mm (3.5 x 3.8 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),100/90-19 ,130/90-16 ,Single disc. Two-piston calipers. ,Single disc. Single-piston caliper. ,226.0 kg (498.2 pounds),8.50 litres (2.25 US gallons),155.0 km/h (96.3 mph),Carburettor. Single 40mm CV Keihin semi-flat slide,Electric,84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 3500 RPM,Digital CDI,"39mm Telescopic forks, 175mm (6.9in) ",,"Dual shocks, preload adjustable, 91mm (3.6in) wheel travel.",,"668 mm (26.3 inches) If adjustable, lowest setting.",,"Black, blue, red, yellow",,,,,,226.0 kg (498.2 pounds),0.2566 HP/kg,,,,,"Double cradle steel, box section steel swingarm.",,,292 mm (11.5 inches),,,2.80 litres (2.96 US quarts),,,,SAE 20W-50,DOT 5 Silicone,"NGK DCPR7E, NGK DCPR7EIX",950-1050  RPM,,,,,39 mm (1.5 inches),HiFloFiltro HF170B,YTX20HL-BS,128,1 1/8 in,29/61 (front/rear),,
Kawasaki KLR 250 (reduced effect),1991,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7800 RPM,11.0:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),11.00 litres (2.91 US gallons),115.0 km/h (71.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXR 1340 Super Glide,1991,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MM 90-19 ,MT 90-16 ,Single disc,Single disc,276.0 kg (608.5 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 251 (reduced effect),1991,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5000 RPM,10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,110/80-16 ,Single disc,Expanding brake,146.0 kg (321.9 pounds),17.00 litres (4.49 US gallons),113.0 km/h (70.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1100 (reduced effect),1991,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1127.0 ccm (68.77 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8500 RPM,10.0:1,78.0 x 59.0 mm (3.1 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/60-17 ,180/55-17 ,Dual disc,Single disc,253.0 kg (557.8 pounds),21.00 litres (5.55 US gallons),232.0 km/h (144.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 350 S,1991,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,9.5:1,79.0 x 71.2 mm (3.1 x 2.8 inches),4,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),80/100-21 ,110/90-18 ,Single disc,Single disc,141.0 kg (310.9 pounds),9.00 litres (2.38 US gallons),126.0 km/h (78.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 535 (reduced effect),1991,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,9.0:1,76.0 x 59.0 mm (3.0 x 2.3 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-19 ,140/90-15 ,Single disc,Expanding brake,220.0 kg (485.0 pounds),13.50 litres (3.57 US gallons),128.0 km/h (79.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa Cosa 200 GS,1991,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 6000 RPM,9.0:1,66.0 x 57.0 mm (2.6 x 2.2 inches),,,Air,4-speed,,100/90-10 ,,Expanding brake (drum brake),Expanding brake (drum brake),130.0 kg (286.6 pounds),7.00 litres (1.85 US gallons),100.0 km/h (62.1 mph),Carburettor,,,,,,,,"815 mm (32.1 inches) If adjustable, lowest setting.",1270 mm (50.0 inches),,,,4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,1210 mm (47.6 inches),1800 mm (70.9 inches),835 mm (32.9 inches),,,1.00 litres (0.26 US gallons),,,150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,
Yamaha XV 1100,1991,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1063.0 ccm (64.86 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 6000 RPM,8.3:1,95.0 x 75.0 mm (3.7 x 3.0 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,140/90-15 ,Dual disc,Expanding brake,243.0 kg (535.7 pounds),17.00 litres (4.49 US gallons),168.0 km/h (104.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chang-Jiang 750 FY (with sidecar),1991,Speedway,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5000 RPM,7.0:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Overhead Valves (OHV),Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,370.0 kg (815.7 pounds),24.00 litres (6.34 US gallons),110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 V Transalp (reduced effect),1991,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,9.2:1,75.0 x 66.0 mm (3.0 x 2.6 inches),3,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,205.0 kg (451.9 pounds),18.00 litres (4.76 US gallons),163.0 km/h (101.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
