Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Alternate seat height,Starter,Max RPM,Fuel consumption,Greenhouse gases,Fuel capacity,Compression,Fuel control,0-100 km/h (0-62 mph),Bore x stroke,Fuel system,Front tire,Rear tire,Wheelbase,Reserve fuel capacity,Color options,Comments,Ignition,Driveline,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Wheels,"Weight incl. oil, gas, etc",Oil filter,Battery,Spark plugs,Belt teeth,Belt width,Lubrication system,Clutch,Frame type,1/4 mile (0.4 km),Ground clearance,Exhaust system,Oil capacity,Engine oil,Brake fluid,Coolant,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Electrical,Overall height,Overall width,Carrying capacity
Piaggio PX 125,1998,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 6250 RPM,,,,,4-speed,,,,95.0 kg (209.4 pounds),0.0947 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TL 1000 S,1998,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",125.0 HP (91.2  kW)) @ 8500 RPM,107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 7100 RPM,,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,187.0 kg (412.3 pounds),0.6684 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 600 F,1998,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",86.0 HP (62.8  kW)),58.0 Nm (5.9 kgf-m or 42.8 ft.lbs),210.0 km/h (130.5 mph),4,Air,6-speed,Chain   (final drive),Dual disc,Single disc,202.0 kg (445.3 pounds),0.4257 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Estrella RS,1998,Classic," 2.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,18.0 Nm (1.8 kgf-m or 13.3 ft.lbs) @ 5000 RPM,,,Air,5-speed,,Single disc,,142.0 kg (313.1 pounds),0.1197 HP/kg,"745 mm (29.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RF 900 R,1998,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",937.0 ccm (57.18 cubic inches),"In-line four, four-stroke",135.0 HP (98.5  kW)),100.0 Nm (10.2 kgf-m or 73.8 ft.lbs),265.0 km/h (164.7 mph),4,Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,206.0 kg (454.2 pounds),0.6553 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 1200 S Bandit,1998,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,91.0 Nm (9.3 kgf-m or 67.1 ft.lbs) @ 4500 RPM,225.0 km/h (139.8 mph),4,,5-speed,Chain   (final drive),Dual disc,Single disc,223.0 kg (491.6 pounds),0.4395 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RSV Mille,1998,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",128.0 HP (93.4  kW)) @ 6250 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 7000 RPM,,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,189.0 kg (416.7 pounds),0.6772 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZRX 400,1998,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",400.0 ccm (24.41 cubic inches),"In-line four, four-stroke",,,,4,Liquid,,,Double disc,Single disc,,,,,Electric,,,,,,Double Overhead Cams/Twin Cam (DOHC),,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJR 1200,1998,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8000 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 6250 RPM,220.0 km/h (136.7 mph),4,Air,5-speed,Chain   (final drive),Dual disc,Single disc,232.0 kg (511.5 pounds),0.4224 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 620 EGS-E,1998,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",609.0 ccm (37.16 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 7250 RPM,,155.0 km/h (96.3 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,146.0 kg (321.9 pounds),0.3425 HP/kg,"940 mm (37.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Standard,1998,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 5000 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 3000 RPM,145.0 km/h (90.1 mph),2,Air,5-speed,Belt   (final drive),Dual disc,,337.0 kg (743.0 pounds),0.1780 HP/kg,"692 mm (27.2 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Marauder 125,1998,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)),,,,Air,5-speed,Chain   (final drive),Single disc,,125.0 kg (275.6 pounds),0.0960 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Classic,1998,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 5200 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 3000 RPM,150.0 km/h (93.2 mph),2,Air,5-speed,Belt   (final drive),Dual disc,,324.0 kg (714.3 pounds),0.1821 HP/kg,"692 mm (27.2 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,Can be delivered with sidecar fitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XTZ 660 Ténéré,1998,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",659.0 ccm (40.21 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)) @ 6000 RPM,56.0 Nm (5.7 kgf-m or 41.3 ft.lbs) @ 5000 RPM,160.0 km/h (99.4 mph),5,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,171.0 kg (377.0 pounds),0.2690 HP/kg,"865 mm (34.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Eliminator 125,1998,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 8000 RPM,,,Air,5-speed,Chain   (final drive),Single disc,,128.0 kg (282.2 pounds),0.0938 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF 1000 R1,1998,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",150.0 HP (109.5  kW)) @ 10000 RPM,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 8500 RPM,280.0 km/h (174.0 mph),5,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,177.0 kg (390.2 pounds),0.8475 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Eliminator 600,1998,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",593.0 ccm (36.18 cubic inches),"In-line four, four-stroke",61.0 HP (44.5  kW)) @ 10500 RPM,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 7800 RPM,,,Liquid,6-speed,Chain   (final drive),Single disc,,200.0 kg (440.9 pounds),0.3050 HP/kg,"715 mm (28.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TU 250 X,1998,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)),16.0 Nm (1.6 kgf-m or 11.8 ft.lbs),,,Air,5-speed,Chain   (final drive),Single disc,,130.0 kg (286.6 pounds),0.1308 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs XTC 125,1998,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 8000 RPM,13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 7750 RPM,,,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,115.0 kg (253.5 pounds),0.1304 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet,1998,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5625 RPM,28.0 Nm (2.9 kgf-m or 20.7 ft.lbs),,,Air,4-speed,Chain   (final drive),,,163.0 kg (359.4 pounds),0.1104 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Daytona RS,1998,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",102.0 HP (74.5  kW)) @ 8400 RPM,88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 6600 RPM,,2,Air,5-speed,Shaft drive (cardan)   (final drive),,,223.0 kg (491.6 pounds),0.4574 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 Monster,1998,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 7000 RPM,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 5000 RPM,195.0 km/h (121.2 mph),2,,6-speed,Chain   (final drive),Dual disc,Single disc,184.0 kg (405.7 pounds),0.3641 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 380 SX,1998,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",380.0 ccm (23.19 cubic inches),"Single cylinder, two-stroke",,,,,Liquid,,Chain   (final drive),Single disc. 2-piston calipers,,103.7 kg (228.6 pounds),,"925 mm (36.4 inches) If adjustable, lowest setting.",,Kick,,,,2.40 litres (0.63 US gallons),,,,78.0 x 77.0 mm (3.1 x 3.0 inches),Carburettor. Keihin PWK 38,,,,,Multicolored,,Kokusan 2K-2,,,,White Power Extreme 50mm.,300 mm (11.8 inches),WP - Monoshock,,,,,,,,,,,Multiple disc clutch in oil bath,CrMo steel,,380 mm (15.0 inches),,,,,,,,,,,,,,,,,
Kawasaki ZZR 1100,1998,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",150.0 HP (109.5  kW)) @ 10500 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 8500 RPM,285.0 km/h (177.1 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,233.0 kg (513.7 pounds),0.6438 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CMX 250 Rebel,1998,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",234.0 ccm (14.28 cubic inches),"Twin, four-stroke",17.4 HP (12.7  kW)) @ 8250 RPM,17.3 Nm (1.8 kgf-m or 12.8 ft.lbs) @ 5500 RPM,,,Air,5-speed,Chain   (final drive),Single disc,Expanding brake,143.0 kg (315.3 pounds),0.1217 HP/kg,"675 mm (26.6 inches) If adjustable, lowest setting.",,,,,,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT 600 R,1998,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"Single cylinder, four-stroke",43.0 HP (31.4  kW)) @ 6500 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 5000 RPM,150.0 km/h (93.2 mph),4,Air,5-speed,Chain   (final drive),Single disc,Single disc,141.0 kg (310.9 pounds),0.3050 HP/kg,"945 mm (37.2 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 1300 AT Royal Star Tour Classic,1998,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1294.0 ccm (78.96 cubic inches),"V4, four-stroke",74.0 HP (54.0  kW)) @ 5000 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3250 RPM,180.0 km/h (111.8 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,316.0 kg (696.7 pounds),0.2342 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500,1998,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",58.0 HP (42.3  kW)),34.0 Nm (3.5 kgf-m or 25.1 ft.lbs),190.0 km/h (118.1 mph),4,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,173.0 kg (381.4 pounds),0.3353 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR 600,1998,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11500 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 9000 RPM,240.0 km/h (149.1 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,195.0 kg (429.9 pounds),0.5128 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CN 250,1998,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",244.0 ccm (14.89 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,20.5 Nm (2.1 kgf-m or 15.1 ft.lbs) @ 5000 RPM,,,Liquid,,,,,156.0 kg (343.9 pounds),0.1090 HP/kg,"665 mm (26.2 inches) If adjustable, lowest setting.",,Electric,,,,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ER-5,1998,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,41.0 Nm (4.2 kgf-m or 30.2 ft.lbs) @ 7300 RPM,185.0 km/h (115.0 mph),4,Liquid,6-speed,Chain   (final drive),Single disc,,174.0 kg (383.6 pounds),0.2874 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 800 F1,1998,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",781.0 ccm (47.66 cubic inches),"V4, four-stroke",110.0 HP (80.3  kW)) @ 10500 RPM,79.0 Nm (8.1 kgf-m or 58.3 ft.lbs) @ 8500 RPM,250.0 km/h (155.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,208.0 kg (458.6 pounds),0.5288 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS Pampera,1998,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)),,,,Liquid,6-speed,Chain   (final drive),,,95.0 kg (209.4 pounds),0.1579 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST 1100 Pan-European STD,1998,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,111.0 Nm (11.3 kgf-m or 81.9 ft.lbs) @ 6000 RPM,220.0 km/h (136.7 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,,287.0 kg (632.7 pounds),0.3484 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 C,1998,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",61.0 HP (44.5  kW)) @ 5000 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 3000 RPM,170.0 km/h (105.6 mph),4,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,239.0 kg (526.9 pounds),0.2552 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 600 C Shadow,1998,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",39.0 HP (28.5  kW)),49.0 Nm (5.0 kgf-m or 36.1 ft.lbs),,,,5-speed,Chain   (final drive),Single disc,,199.0 kg (438.7 pounds),0.1960 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EN 500,1998,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,41.0 Nm (4.2 kgf-m or 30.2 ft.lbs) @ 7300 RPM,170.0 km/h (105.6 mph),4,Liquid,6-speed,Chain   (final drive),Single disc,,198.0 kg (436.5 pounds),0.2525 HP/kg,"715 mm (28.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZS 600 Fazer,1998,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 11500 RPM,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 9500 RPM,225.0 km/h (139.8 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,189.0 kg (416.7 pounds),0.5026 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-9R Ninja,1998,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",899.0 ccm (54.86 cubic inches),"In-line four, four-stroke",143.0 HP (104.4  kW)) @ 11000 RPM,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 9000 RPM,290.0 km/h (180.2 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,183.0 kg (403.4 pounds),0.7814 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 125 Virago,1998,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"V2, four-stroke",11.0 HP (8.0  kW)) @ 8000 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 8000 RPM,,,Air,5-speed,Chain   (final drive),Single disc,,139.0 kg (306.4 pounds),0.0791 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 883 Sportster Hugger,1998,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 4100 RPM,150.0 km/h (93.2 mph),2,Air,5-speed,Belt   (final drive),Single disc,,220.0 kg (485.0 pounds),0.2273 HP/kg,"688 mm (27.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KMX 125,1998,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 8500 RPM,13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 6600 RPM,,,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,96.0 kg (211.6 pounds),0.1563 HP/kg,"865 mm (34.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Road Glide,1998,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 5000 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 3000 RPM,,2,Air,5-speed,Belt   (final drive),,,324.0 kg (714.3 pounds),0.1852 HP/kg,"684 mm (26.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 620 EGS,1998,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",609.0 ccm (37.16 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 7250 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 5500 RPM,155.0 km/h (96.3 mph),4,Liquid,5-speed,Chain   (final drive),Single disc. Four-piston calipers. ,Single disc. Single-piston caliper. ,131.0 kg (288.8 pounds),0.3817 HP/kg,"940 mm (37.0 inches) If adjustable, lowest setting.",,Electric & kick,,,,11.00 litres (2.91 US gallons),10.4:1,Single Overhead Cams (SOHC),,101.0 x 76.0 mm (4.0 x 3.0 inches),Carburettor. Dell´Orto PHM 40 SD,90/90-21 ,130/80-18 ,,,,,KDC-CDI,,,,"WP Telescopic forks, compression and rebound adjustable",,"Single chock, preload, compression and rebound adjustable",,220 mm (8.7 inches),,139.0 kg (306.4 pounds),,,"NGK D8EA, NGK DR8EIX",,,,,,,,,2.10 litres (2.22 US quarts),15W-50,DOT 5.1,1.00 litres (0.26 US gallons),,,110,16/44 (front/rear),36 PSI (2.5 Bar or 250 kPa),36 PSI (2.5 Bar or 250 kPa),40 mm (1.6 inches),,,,,
