Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Torque,Clutch,Front suspension,Rear suspension,Diameter,Overall length,Overall width,Wheelbase,Color options,Fuel system,Ignition,Lubrication system,Exhaust system,Frame type,Front wheel travel,Rear wheel travel,Dry weight,Power/weight ratio,Seat height,Overall height,Ground clearance,Reserve fuel capacity,Starter,Comments,1/4 mile (0.4 km),Max RPM,Driveline,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Factory warranty,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Oil capacity,Electrical,Engine oil,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Alternate seat height
Kawasaki GPZ 550 (reduced effect),1984,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,176.0 km/h (109.4 mph),10.0:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-18 ,120/80-18 ,Dual disc,Single disc,209.0 kg (460.8 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 Mark Enduro,1984,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,112.0 km/h (69.6 mph),11.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Liquid,5-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Single disc,Expanding brake,119.0 kg (262.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 600 Enduro Sport,1984,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,130.0 km/h (80.8 mph),9.6:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Single disc,Expanding brake,140.0 kg (308.6 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RX 250,1984,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",47.0 HP (34.3  kW)) @ 8000 RPM,120.0 km/h (74.6 mph),14.0:1,72.0 x 61.0 mm (2.8 x 2.4 inches),,Rotary valves,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Expanding brake,Expanding brake,100.0 kg (220.5 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 250F -II,1984,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"V2, four-stroke",34.2 HP (25.0  kW)) @ 11000 RPM,160.9 km/h (100.0 mph),11.0:1,60.0 x 44.1 mm (2.4 x 1.7 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-16 ,120/80-18 ,Single disc,Expanding brake (drum brake),,14.00 litres (3.70 US gallons),21.5 Nm (2.2 kgf-m or 15.9 ft.lbs) @ 10000 RPM,,,,,2028 mm (79.8 inches),730 mm (28.7 inches),1385 mm (54.5 inches),,Carburettor. Keihin 32mm,,Wet sump,,Aluminium Frame,,,149.0 kg (328.5 pounds),0.2295 HP/kg,,1185 mm (46.7 inches),,,Electric,,,14000,,,,26.0°,97 mm (3.8 inches),,,,,,,,,,,,,,,,,
KTM 125 Enduro Sport,1984,Cross / motocross," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",6.8 HP (5.0  kW)) @ 6500 RPM,83.0 km/h (51.6 mph),14.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Liquid,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,109.0 kg (240.3 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SS,1984,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,864.0 ccm (52.72 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 7000 RPM,213.0 km/h (132.4 mph),9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,225.0 kg (496.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 12 T,1984,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1197.0 ccm (73.04 cubic inches),"V4, four-stroke",97.0 HP (70.8  kW)) @ 7000 RPM,192.0 km/h (119.3 mph),10.5:1,76.0 x 66.0 mm (3.0 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),120/80-18 ,140/90-16 ,Dual disc,Single disc,325.0 kg (716.5 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 RT,1984,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,163.0 km/h (101.3 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,243.0 kg (535.7 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger USA,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,160.0 km/h (99.4 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),100/90-19 ,110/90-18 ,Dual disc,Single disc,182.0 kg (401.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 250,1984,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,115.0 km/h (71.5 mph),9.2:1,75.0 x 56.5 mm (3.0 x 2.2 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,125.0 kg (275.6 pounds),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet,1984,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,110.0 km/h (68.4 mph),6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.25-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RX 125,1984,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",34.0 HP (24.8  kW)) @ 10750 RPM,130.0 km/h (80.8 mph),11.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Liquid,6-speed,Shaft drive (cardan)   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,91.0 kg (200.6 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 400,1984,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"In-line four, four-stroke",59.0 HP (43.1  kW)) @ 11000 RPM,175.0 km/h (108.7 mph),11.5:1,53.0 x 45.2 mm (2.1 x 1.8 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/90-16 54h ,110/90-18 61h ,"Double disc. Dual hydraulic disc, four piston calipers","Single disc. Single hydraulic disc, dual piston calipers",,15.00 litres (3.96 US gallons),44.0 Nm (4.5 kgf-m or 32.5 ft.lbs) @ 9000 RPM,Wet multi-plate,Telescopic,"Full floater swing arm, non-adjustable",,2090 mm (82.3 inches),710 mm (28.0 inches),1425 mm (56.1 inches),"Black/Red, Black/White/Blue, Yellow",Carburettor. AS27VW x 2,,Wet sump,,Aluminum angular pipe double cradle,,,152.0 kg (335.1 pounds),0.3882 HP/kg,,1185 mm (46.7 inches),,,Electric,,,,,,,27.3°,96 mm (3.8 inches),,,,,,,,,,,,,,,,,
Kawasaki GPZ 550,1984,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",65.0 HP (47.4  kW)) @ 10500 RPM,196.0 km/h (121.8 mph),10.0:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-18 ,120/80-18 ,Dual disc,Single disc,209.0 kg (460.8 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 304,1984,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,231.0 ccm (14.10 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 10500 RPM,135.0 km/h (83.9 mph),10.5:1,44.0 x 38.0 mm (1.7 x 1.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS450,1984,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",448.0 ccm (27.34 cubic inches),"Twin, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,146.5 km/h (91.0 mph),,,,,Air,,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,,,wet plate,,,,,,,,Carburettor,,,,,,,,,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 305 Belt Drive,1984,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",306.0 ccm (18.67 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,140.0 km/h (87.0 mph),9.7:1,61.0 x 52.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Belt   (final drive),90/90-18 ,110/80-18 ,Dual disc,Expanding brake,164.0 kg (361.6 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 650 SC Nighthawk,1984,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",655.0 ccm (39.97 cubic inches),"In-line four, four-stroke",63.0 HP (46.0  kW)),175.0 km/h (108.7 mph),9.5:1,60.0 x 58.0 mm (2.4 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Shaft drive (cardan)   (final drive),,,Double disc. daul disc twin piston calipers,Expanding brake (drum brake),,12.86 litres (3.40 US gallons),,hydro activated clutch,"Air-adjustable, leading-axle forks with dual Syntallic bushings",adustable daul shock,,2210 mm (87.0 inches),780 mm (30.7 inches),1461 mm (57.5 inches),Red Black,Carburettor.  Four 32mm constant velocity,Solid state,,Double 4 into 2 with crossover,,,,197.0 kg (434.3 pounds),0.3198 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1171 mm (46.1 inches),145 mm (5.7 inches),1.89 litres (0.50 US gallons),Electric,,,10000,,5.88 litres/100 km (17.0 km/l or 40.00 mpg),136.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,2.50 litres (2.64 US quarts),,,,,,,,,,,,"790 mm (31.1 inches) If adjustable, highest setting."
Honda CM 200 T (reduced effect),1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,194.0 ccm (11.84 cubic inches),"Twin, four-stroke",10.0 HP (7.3  kW)) @ 7000 RPM,100.0 km/h (62.1 mph),8.8:1,53.0 x 44.0 mm (2.1 x 1.7 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.00-17 ,3.50-16 ,Expanding brake,Expanding brake,138.0 kg (304.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KL 250,1984,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",21.0 HP (15.3  kW)) @ 8500 RPM,,8.9:1,70.0 x 64.0 mm (2.8 x 2.5 inches),2,,Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,air operated,adjustable twin,,,,,,Carburettor,,WET SUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 700 C,1984,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",694.5 ccm (42.38 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 7500 RPM,,9.6:1,76.5 x 75.5 mm (3.0 x 3.0 inches),3,Single Overhead Cams (SOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),110/90-19 62H ,140/90-15 70H ,Double disc. 2-piston calipers,Expanding brake (drum brake),225.0 kg (496.0 pounds),12.50 litres (3.30 US gallons),62.1 Nm (6.3 kgf-m or 45.8 ft.lbs) @ 6000 RPM,"Wet, multi plate",Telescopic Fork,Swingarm / shock absorber,201 mm (7.9 inches),2190 mm (86.2 inches),860 mm (33.9 inches),1525 mm (60.0 inches),"Red, Black",Carburettor. 36mm (1.42in) Vertical,Full transistor ignition,Forced pressure and wet sump,Parallel stainless steel pipes,Double cradle,145 mm (5.7 inches),103 mm (4.1 inches),211.0 kg (465.2 pounds),0.2938 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",1200 mm (47.2 inches),150 mm (5.9 inches),2.00 litres (0.53 US gallons),Electric,"90% of This is taken directly from the service manual. The number of valves per cylinder is hinted at 2 per cylinder but never stated.
2-piston caliper front brakes wasn´t stated but I checked the bike itself.",,,,,,32.0°,139 mm (5.5 inches),,,,,3.00 litres (3.17 US quarts),,,,,,,,,,,,
Honda CB 250 RSD,1984,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,136.0 km/h (84.5 mph),9.3:1,74.0 x 57.8 mm (2.9 x 2.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,148.0 kg (326.3 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Type 638.5,1984,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",26.0 HP (19.0  kW)) @ 5500 RPM,133.0 km/h (82.6 mph),10.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,156.0 kg (343.9 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 450 LTD (reduced effect),1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,454.0 ccm (27.70 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8500 RPM,132.0 km/h (82.0 mph),10.7:1,72.5 x 55.0 mm (2.9 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Belt   (final drive),100/90-19 ,140/90-15 ,Single disc,Expanding brake,199.0 kg (438.7 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 600,1984,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",598.0 ccm (36.49 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 10000 RPM,201.0 km/h (124.9 mph),10.0:1,58.5 x 55.7 mm (2.3 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Chain   (final drive),110/90-V18 ,140/19-V18 ,"Double disc. Dual Slotted Discs, 2 piston calipers","Single disc. Single Slotted disc,  1 piston calipers",208.0 kg (458.6 pounds),21.50 litres (5.68 US gallons),53.9 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 8000 RPM,,Telescopic fork,Monocross rising rate with 5-way preload,267 mm (10.5 inches),2118 mm (83.4 inches),734 mm (28.9 inches),1424 mm (56.1 inches),Silver/Red Black/Red,Carburettor. Mikuni BS32,"Hitachi TID 14-31, Transistor TCI",Wet sump,,,99 mm (3.9 inches),142 mm (5.6 inches),,,"790 mm (31.1 inches) If adjustable, lowest setting.",1224 mm (48.2 inches),150 mm (5.9 inches),,Electric,,12.40 seconds,10500,,5.70 litres/100 km (17.5 km/l or 41.27 mpg),132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,26.0°,106 mm (4.2 inches),,48.5,51.5,,3.00 litres (3.17 US quarts),,,,,,,,,,,4.90 seconds,
Moto Guzzi V 65 TT,1984,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",643.0 ccm (39.24 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)) @ 7500 RPM,156.0 km/h (96.9 mph),9.8:1,80.0 x 64.0 mm (3.1 x 2.5 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-21 ,4.00-18 ,Single disc,Single disc,184.0 kg (405.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RZ 350,1984,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",,,6.0:1,64.0 x 54.0 mm (2.5 x 2.1 inches),,,Liquid,6-speed,Chain   (final drive),90/90-18 51H ,110/80-18 58H ,Double disc,Single disc,168.0 kg (370.4 pounds),20.00 litres (5.28 US gallons),,"Wet, multiple-disc",Telescopic fork,Swingarm,267 mm (10.5 inches),2120 mm (83.5 inches),710 mm (28.0 inches),1385 mm (54.5 inches),"Yellow/Black
White/Red",Carburettor. MIKUNI VM26SS/2,C.D.I.,Separate lubrication (Yamaha Autolube),dual exhaust,"Tubular, double-cradle",140 mm (5.5 inches),100 mm (3.9 inches),,,"800 mm (31.5 inches) If adjustable, lowest setting.",1175 mm (46.3 inches),175 mm (6.9 inches),2.00 litres (0.53 US gallons),Kick,,,,,,,26.0°,96 mm (3.8 inches),,,,,,,,,,,,,,,,,
Honda CB 125 T 2,1984,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 11500 RPM,128.0 km/h (79.5 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,126.0 kg (277.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 400 DOHC (reduced effect),1984,Touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,143.0 km/h (88.9 mph),9.7:1,69.0 x 53.4 mm (2.7 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,4.10-18 ,Single disc,Expanding brake,187.0 kg (412.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 ES,1984,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9500 RPM,210.0 km/h (130.5 mph),9.6:1,67.0 x 53.0 mm (2.6 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-16 ,120/90-17 ,Dual disc,Single disc,238.0 kg (524.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XLV 750 R,1984,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 7000 RPM,174.0 km/h (108.1 mph),8.4:1,79.5 x 75.5 mm (3.1 x 3.0 inches),3,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,220.0 kg (485.0 pounds),19.50 litres (5.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 500,1984,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5900 RPM,132.0 km/h (82.0 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-21 ,4.00-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 700 SC Nighthawk S,1984,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",696.0 ccm (42.47 cubic inches),"In-line four, four-stroke",80.0 HP (58.4  kW)) @ 10000 RPM,236.6 km/h (147.0 mph),9.3:1,67.9 x 49.4 mm (2.7 x 1.9 inches),,Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Shaft drive (cardan)   (final drive),,,Double disc,Expanding brake (drum brake),,15.89 litres (4.20 US gallons),61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 8000 RPM,hydrolic,,,,,,,Black with red or Black with blue,Carburettor. Keihin 31 mm constant-vacuum,,wet sump,4 into 2 black chrome pipes,,,,212.7 kg (468.9 pounds),0.3761 HP/kg,,,,,,,12.16 seconds,11500,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 850 G,1984,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",843.0 ccm (51.44 cubic inches),"In-line four, four-stroke",80.0 HP (58.4  kW)) @ 8500 RPM,203.0 km/h (126.1 mph),8.8:1,69.0 x 56.4 mm (2.7 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,273.0 kg (601.9 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GME 500,1984,Cross / motocross," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",488.0 ccm (29.78 cubic inches),"Single cylinder, two-stroke",61.0 HP (44.5  kW)) @ 7000 RPM,,12.0:1,86.5 x 83.0 mm (3.4 x 3.3 inches),,Membrane,Liquid,5-speed,Chain   (final drive),3.00-21 ,5.10-18 ,Single disc,Expanding brake,109.0 kg (240.3 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 California II,1984,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6700 RPM,159.0 km/h (98.8 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),120/90-18 ,120/90-18 ,Dual disc,Single disc,276.0 kg (608.5 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 1000 R (reduced effect),1984,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,249.0 km/h (154.7 mph),11.0:1,77.0 x 53.6 mm (3.0 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),120/80-16 ,140/80-17 ,Dual disc,Single disc,272.0 kg (599.7 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
