Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Instruments,Comments,Driveline,Carrying capacity,Wheels,Engine details,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),Trail,"Weight incl. oil, gas, etc",Oil capacity,Light,Top speed,Emission details,Factory warranty,Reserve fuel capacity,Seat,Electrical,0-100 km/h (0-62 mph),Alternate seat height,Max RPM,Modifications compared to previous model,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Fork tube size,Engine oil,Chain size,1/4 mile (0.4 km),Chain links,Sprockets
Sym Tonik 50,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.4 ccm (3.01 cubic inches),"Single cylinder, four-stroke",,,,,,,Single Overhead Cams (SOHC),,,Air,Automatic,Belt   (final drive),,Pipe under bone,Telescopic fork,,Unit swing,,90/90-10 ,90/90-10 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),92.0 kg (202.8 pounds),,,1040 mm (40.9 inches),1735 mm (68.3 inches),710 mm (28.0 inches),,,5.80 litres (1.53 US gallons),"Black, Blue, Red, White",,,Made in Taiwan,CVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha WR125R,2014,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 9000 RPM,12.2 Nm (1.2 kgf-m or 9.0 ft.lbs) @ 5500 RPM,11.2:1,52.0 x 58.6 mm (2.0 x 2.3 inches),4,Injection,Single Overhead Cams (SOHC),Digital TCI,Wet sump,Air,5-speed,Chain   (final drive),"Wet, multiple disc",Steel Double Cradle,Telescopic forks,240 mm (9.4 inches),"Swingarm, (link suspension), Monoshock",107 mm (4.2 inches),80/90-21 ,110/80-18 ,Single disc,220 mm (8.7 inches),Single disc,,,"930 mm (36.6 inches) If adjustable, lowest setting.",1229 mm (48.4 inches),2180 mm (85.8 inches),835 mm (32.9 inches),265 mm (10.4 inches),1430 mm (56.3 inches),8.50 litres (2.25 US gallons),"White, black",Electric & kick,,Designed for stand up or sit down riding.,Constant mesh,,,Forward-inclined single cylinder,,,,27.0°,107 mm (4.2 inches),133.0 kg (293.2 pounds),1.20 litres (1.27 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero S ZF 8.5,2014,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,54.0 HP (39.4  kW)) @ 4300 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs),,,,,,,,Air,,Belt   (final drive),Clutchless direct drive,,"43 mm inverted, aluminum slider forks with adjustable compression and rebound damping",,"Piggy-back reservoir shock with adjustable spring preload, compression and rebound damping",,110/70-17 ,140/70-17 ,Single disc. Floating discs. Two-piston calipers. ,240 mm (9.4 inches),Single disc. Single-piston caliper. ,,,"808 mm (31.8 inches) If adjustable, lowest setting.",,,,,1410 mm (55.5 inches),,"Red, black, yellow",Electric,,"Range up to 137 miles. 6 hour charging, 110 or 220 Volt. Lithium Ion 8.5 kWh battery.","132T / 28T, Poly Chain® GT® Carbon™ belt",,,"Radial flux permanent magnet, brushless motor",,,,24.0°,81 mm (3.2 inches),166.0 kg (366.0 pounds),,,153.0 km/h (95.1 mph),,2 years,,,,4.80 seconds,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 350,2014,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,343.5 ccm (20.96 cubic inches),"Twin, two-stroke",22.8 HP (16.6  kW)) @ 5250 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,9.8:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Carburettor,,,,Air,4-speed,Chain   (final drive),,Steel,Telescopic forks,150 mm (5.9 inches),Telescopic units,80 mm (3.1 inches),3.25-18 ,3.50-18 ,Single disc,160 mm (6.3 inches),Expanding brake (drum brake),149.0 kg (328.5 pounds),0.1530 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,1370 mm (53.9 inches),17.00 litres (4.49 US gallons),"Red, black",Kick,,,,,,,,,,,,,,,125.0 km/h (77.7 mph),,24 months,2.80 litres (0.74 US gallons),,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard S40,2014,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",,,9.4:1,94.0 x 94.0 mm (3.7 x 3.7 inches),,"Carburettor. Mikuni BS40, single",Overhead Cams (OHC),Electronic ignition (transistorized),Wet sump,Air,5-speed,Belt   (final drive),,,"Telescopic, coil spring, oil damped",,"Swing arm type, coil spring, oil damped",,100/90-M19 ,140/80-M15 ,Single disc,,Expanding brake (drum brake),,,"700 mm (27.6 inches) If adjustable, lowest setting.",,2180 mm (85.8 inches),720 mm (28.3 inches),135 mm (5.3 inches),1480 mm (58.3 inches),10.60 litres (2.80 US gallons),Pearl Mirage White/Metallic Veil Silver and Metallic Fox Orange/Glass Sparkle Black,Electric,,,Constant mesh,,Polished spoke wheels,,,,,,,173.0 kg (381.4 pounds),,,,,12 month unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster Seventy-Two,2014,Custom / cruiser," 2.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1201.3 ccm (73.30 cubic inches),"V2, four-stroke",,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 3500 RPM,10.0:1,88.9 x 96.8 mm (3.5 x 3.8 inches),,Injection. Electronic Sequential Port Fuel Injection ,,,Dry sump,Air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,,,,,,MH90-21 ,150/80-B16 ,Single disc. Dual-piston,,Single disc. Single-piston,247.2 kg (545.0 pounds),,"676 mm (26.6 inches) If adjustable, lowest setting.",,2271 mm (89.4 inches),,119 mm (4.7 inches),1524 mm (60.0 inches),7.95 litres (2.10 US gallons),"Hard Candy Volcanic Orange Flake, Black Denim, Amber Whiskey, Hard Candy Voodoo Purple Flake",Electric,"Handlebar-mounted electronic speedometer with odometer, time-of-day clock, dual tripmeter, low fuel warning light, low oil pressure light, engine diagnostics readout, LED indicator lights",North America security system includes immobilizer; outside North America the security system includes immobilizer and siren.,"Primary chain, 57/38 ratio",,Chrome Steel Laced,"Air-cooled, Evolution®",4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, staggered exhaust with slash-cut mufflers",30.1°,135 mm (5.3 inches),251.7 kg (555.0 pounds),2.60 litres (2.75 US quarts),"High beam, neutral, low oil pressure, turn signals, engine diagnostics, low fuel warning, low battery, security system (optional)",,,,,,,,,,,,,,,,,,,,,,,,,,,
Vmoto Lightning,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,1.1 HP (0.8  kW)),,,,,,,,,Air,Automatic,Belt   (final drive),,,Telescopic fork,,Dual shocks,,90/90-12 ,90/90-12 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,1810 mm (71.3 inches),,,,,White/black,Electric,,60V/20Ah Silicone lead-acid. Range 60 km. Six hour charging.,,,5-spoke,,,,,,,,,,40.0 km/h (24.9 mph),No direct emissions,,,Dual seat,,,,,,,,,,,,,,,,,,,,,,
Suzuki Grass Tracker,2014,Allround," 2.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",18.8 HP (13.7  kW)) @ 7500 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 5500 RPM,,,2,Injection,Single Overhead Cams (SOHC),Transistorzed,,Air,5-speed,,Wet multi-plate coil spring,"Steel, diamond frame",,,,,100/90-18 ,130/80-17 ,Single disc,,Expanding brake (drum brake),136.0 kg (299.8 pounds),0.1380 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2050 mm (80.7 inches),900 mm (35.4 inches),160 mm (6.3 inches),1402 mm (55.2 inches),8.40 litres (2.22 US gallons),"Yellow, black, blue, silver",Electric,,Sold in Japan.,,,Spoke wheel.,,2.04 litres/100 km (49.0 km/l or 115.30 mpg),47.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,Three-way catalytic muffler,25.0°,92 mm (3.6 inches),148.0 kg (326.3 pounds),1.70 litres (1.8 US quarts),,,,12 month unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Cat 700,2014,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,695.0 ccm (42.41 cubic inches),"Single cylinder, four-stroke",,,,102.0 x 85.0 mm (4.0 x 3.3 inches),4,Injection. EFI,Single Overhead Cams (SOHC),,,Liquid,Automatic,Belt   (final drive),,,Double A-Arm,,Double A-Arm,,25/8-12 ,25/10-12 ,Single disc. Hydraulic. ,,Single disc. Hydraulic. ,306.6 kg (676.0 pounds),,,1219 mm (48.0 inches),2154 mm (84.8 inches),1207 mm (47.5 inches),279 mm (11.0 inches),1270 mm (50.0 inches),21.57 litres (5.70 US gallons),"Red, olive",Electric,Digital/Analog Gauge,"Powder-Coated Steel Wheels, Park, Rear 2-Inch Receiver, Front  and  Rear SpeedRacks, Duro 2 Star Kaden Tires.","2/4 WD + Electric Front Differential Lock. Automatic CVT with EBS, Hi/Lo Range, Reverse  and  Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boss Hoss BHC-3 LS445,2014,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,6200.0 ccm (378.32 cubic inches),"V8, four-stroke",445.0 HP (324.8  kW)) @ 4750 RPM,603.4 Nm (61.5 kgf-m or 445.1 ft.lbs) @ 4750 RPM,10.7:1,,4,Injection. Multi-port,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,Automatic,Belt   (final drive),,,"Inverted forks, 63 mm, adjustable preload,",,"Dual 13.0 inch coilover shocks, adjustable preload",,130/90-16 ,230/60-15 ,Double disc. 4-piston caliper,320 mm (12.6 inches),Single disc. 4-piston caliper,"528.4 kg (1,165.0 pounds)",0.8421 HP/kg,,,2616 mm (103.0 inches),,114 mm (4.5 inches),2032 mm (80.0 inches),32.00 litres (8.45 US gallons),Red,Electric,"Electronic Speedo, odometer, tripmeter, volts, water temp., oil pressure, fuel gauge",,2-speed semi-auto transmission. Final drive: Gates polychain belt.,,,Aluminum block - 6 bolt main. Aluminum cylinders,10.23 litres/100 km (9.8 km/l or 22.99 mpg),237.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,2.5 inch with dual mufflers,33.0°,,,,,,,12 months unlimited miles,,,,,,,,,,,,,,,,,,,,,,,,
Honda Ruckus,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,11.9:1,37.8 x 44.0 mm (1.5 x 1.7 inches),,Carburettor. 18mm CV carburetor with automatic choke,,CD,,Liquid,Automatic,Belt   (final drive),,,Twin-downtube fork,56 mm (2.2 inches),Single shock,66 mm (2.6 inches),120/90-10 ,130/90-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,"734 mm (28.9 inches) If adjustable, lowest setting.",,,,,1265 mm (49.8 inches),4.92 litres (1.30 US gallons),"White/Red, Black",,,Model ID: NPS50,,,,,2.06 litres/100 km (48.5 km/l or 114.18 mpg),47.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,88.0 kg (194.0 pounds),,,,,One year,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL 883L Police,2014,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,883.3 ccm (53.90 cubic inches),"V2, four-stroke",,,9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),,Injection. Electronic Sequential Port Fuel Injection,Overhead Valves (OHV),,Dry-sump,Air,5-speed,Belt   (final drive),"Multi-plate, wet","Mild steel, tubular frame, circular sections, cast junctions",39 mm Showa®,109 mm (4.3 inches),"Coil-over, preload dual-adjustable",53 mm (2.1 inches),120/70-ZR18 ,180/55-ZR18 ,Single disc,259 mm (10.2 inches),Single disc,250.8 kg (553.0 pounds),,,1115 mm (43.9 inches),2215 mm (87.2 inches),846 mm (33.3 inches),99 mm (3.9 inches),1499 mm (59.0 inches),17.03 litres (4.50 US gallons),White,Electric,,,"Chain, 57/34  ratio",Optional saddle bags. Top box.,"Black, Split 5-Spoke with Machined Rim ","Pushrod-operated, overhead valves with hydraulic, self-adjusting lifters; two valves per cylinder ",4.61 litres/100 km (21.7 km/l or 51.02 mpg),107.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,31.1°,145 mm (5.7 inches),259.9 kg (573.0 pounds),2.60 litres (2.75 US quarts),"Quartz halogen, 55-watt low beam, 60-watt high beam headlamp.",,,"2 years, unlimited milage.",3.41 litres (0.90 US gallons),,"Sealed lead acid, maintenance-free, 12V, 12-amp/hour, 200 cca battery.",,,,,,,,,,,,,,,,,,,,,
MV Agusta Rivale 800,2014,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",798.0 ccm (48.69 cubic inches),"In-line three, four-stroke",125.0 HP (91.2  kW)),,,79.0 x 54.3 mm (3.1 x 2.1 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Motor  and  Vehicle Integrated Control System,,Oil & air,6-speed,Chain   (final drive),,Steel trellis combined with a rear of two aluminium alloy plates,Marzocchi,,Sachs,,120/70-ZR17 ,180/55-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,170.0 kg (374.8 pounds),0.7353 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,"Red/silver, black, grey",Electric,"Monochrome fully digital, multi-function display",The throttle control is Full Ride-By-Wire.,,,Aluminium alloy,Counter-rotating crankshaft,,,,,95 mm (3.7 inches),,,,,,,,,12V 8.6 Ah battery. 350W alternator.,,,13000,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 1700 Vaquero ABS SE,2014,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1700.0 ccm (103.73 cubic inches),"V2, four-stroke",,146.5 Nm (14.9 kgf-m or 108.0 ft.lbs) @ 2750 RPM,9.5:1,102.0 x 104.0 mm (4.0 x 4.1 inches),4,Injection. DFI   with dual 42mm throttle bodies,Single Overhead Cams (SOHC),TCBI with Digital Advance,Semi-dry sump,Liquid,6-speed,Belt   (final drive),,"Steel, double-cradle with box-section single-tube backbone",45mm hydraulic fork ,140 mm (5.5 inches),"Swingarm with twin air-assisted shocks, with 4-way rebound damping",79 mm (3.1 inches),130/90-16 ,170/70-16 ,Double disc. ABS. Two-piston calipers. ,300 mm (11.8 inches),Single disc,,,"729 mm (28.7 inches) If adjustable, lowest setting.",1290 mm (50.8 inches),2510 mm (98.8 inches),970 mm (38.2 inches),145 mm (5.7 inches),1666 mm (65.6 inches),20.06 litres (5.30 US gallons),Candy Burnt Orange,Electric,,"Electronic cruise control.  Feature-rich, AM/FM/WB audio system with iPod and XM radio compatibility.",,Saddle bags,,52° V-twin ,,,,30.0°,178 mm (7.0 inches),383.1 kg (844.5 pounds),,,,,36 months,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE125,2014,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",,,,54.0 x 54.5 mm (2.1 x 2.1 inches),,Carburettor. Keihin 29 Carburettor,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment, type Kokusan",Mixture oil lubrication,Liquid,6-speed,Chain   (final drive),Wet multi-disc clutch / hydraulically operated,"Central tube frame made of chrome molybdenum steel tubing. Subframe: The subframe has been accurately honed and exhaustively developed in order to maximise rider confidence and comfort on the bike. The high-tech, lightweight, three-piece construction of t","When you think 2-stroke, you think ´",260 mm (10.2 inches),The high performance DCC (Dual Compression Control) rear shock by WP is completely adjustable for rebound and high/low speed compression damping. The accurate construction and high quality components of the shock guarantee excellent and consistent damping,290 mm (11.4 inches),90/90-21 ,120/80-18 ,Single disc,,Single disc,96.0 kg (211.6 pounds),,"960 mm (37.8 inches) If adjustable, lowest setting.",1230 mm (48.4 inches),2235 mm (88.0 inches),,355 mm (14.0 inches),1471 mm (57.9 inches),9.50 litres (2.51 US gallons),Red/white/black,Kick,Digital,,,,,Reed intake. ,,,,26.5°,,117.0 kg (257.9 pounds),,,,,2 Years,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TMAX Bronze Max,2014,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",,,11.0:1,66.0 x 73.0 mm (2.6 x 2.9 inches),4,Injection. Electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),Digital TCI: Transistor Controlled Ignition,,Liquid,Automatic,Belt   (final drive),"Wet, multiple-disc automatic centrifugal",Aluminium,43mm telescopic forks,120 mm (4.7 inches),Swingarm,116 mm (4.6 inches),120/70-15 ,160/60-15 ,Double disc,282 mm (11.1 inches),Single disc,,,"800 mm (31.5 inches) If adjustable, lowest setting.",1445 mm (56.9 inches),2195 mm (86.4 inches),775 mm (30.5 inches),124 mm (4.9 inches),1580 mm (62.2 inches),15.14 litres (4.00 US gallons),Phoenix Bronze,Electric,Automotive-style dashboard,2-step adjustable windscreen.,V-belt,,,Forward inclined parallel cylinders,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,217.0 kg (478.4 pounds),,,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,,
Honda CTX1300 DLX,2014,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1261.0 ccm (76.95 cubic inches),"V4, four-stroke",,,10.0:1,78.0 x 66.0 mm (3.1 x 2.6 inches),4,"Injection. PGM-FI with electronic control IACV, four 36mm throttle bodies",Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital with 3-D mapping and electronic advance,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,Inverted 45mm fork,107 mm (4.2 inches),Twin rear shocks with spring,110 mm (4.3 inches),130/70-R18 ,200/50-R17 ,Double disc. ABS,315 mm (12.4 inches),Single disc. ABS,,,"720 mm (28.3 inches) If adjustable, lowest setting.",1155 mm (45.5 inches),2255 mm (88.8 inches),855 mm (33.7 inches),130 mm (5.1 inches),1530 mm (60.2 inches),12.40 litres (3.28 US gallons),"Metallic Black, Gray Blue Metallic, Candy Red",Electric,,"DLX (Deluxe) version adds  anti-Lock Braking System(ABS), self-canceling turn signals, audio package including Bluetooth connectivity, blacked-out styling elements for a distinctive look.",,,,,,,,28.5°,114 mm (4.5 inches),333.0 kg (734.2 pounds),,,,Meets current EPA standards. Models sold in California meet current CARB standards and may differ slightly due to emissions equipment.,24 months,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Neos Easy 50,2014,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",2.8 HP (2.0  kW)) @ 6750 RPM,3.0 Nm (0.3 kgf-m or 2.2 ft.lbs) @ 6500 RPM,10.7:1,40.0 x 39.2 mm (1.6 x 1.5 inches),,Carburettor. Gurtner PY12,,CDI,,Air,Automatic,Belt   (final drive),,,Telescopic fork,70 mm (2.8 inches),Hydraulic unit swing,60 mm (2.4 inches),120/70-12 ,130/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,"790 mm (31.1 inches) If adjustable, lowest setting.",1118 mm (44.0 inches),1840 mm (72.4 inches),663 mm (26.1 inches),146 mm (5.7 inches),1275 mm (50.2 inches),6.10 litres (1.61 US gallons),Midnight black,Electric & kick,,,,Underseat helmet locker,Alloy wheels,,,,,,,88.0 kg (194.0 pounds),,Dual headlights,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SR Max 300,2014,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",278.0 ccm (16.96 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 7250 RPM,23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 6000 RPM,11.5:1,75.0 x 63.0 mm (3.0 x 2.5 inches),4,Injection. EFI,Overhead Cams (OHC),,Wet sump.,Liquid,Automatic,Belt   (final drive),Automatic centrifugal dry clutch,Double cradle trellis in high strength steel tubing ,35 mm Ø hydraulic telescopic fork ,,Double hydraulic shock absorber with three-position spring preload adjustment ,,120/70-15 ,140/60-14 ,Single disc. 2-piston caliper.,220 mm (8.7 inches),Single disc. 2-piston caliper.,,,"815 mm (32.1 inches) If adjustable, lowest setting.",1515 mm (59.6 inches),2110 mm (83.1 inches),780 mm (30.7 inches),,,15.50 litres (4.10 US gallons),"Red, White",Electric,,Windscreen,,,,,,,,,,,,,,Euro III,,2.80 litres (0.74 US gallons),,,,,,,,,,,,,,,,,,,,,,,
BMW K 1600 GT,2014,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1649.0 ccm (100.62 cubic inches),"In-line six, four-stroke",160.0 HP (116.8  kW)) @ 7750 RPM,175.0 Nm (17.8 kgf-m or 129.1 ft.lbs) @ 5250 RPM,12.2:1,72.0 x 67.5 mm (2.8 x 2.7 inches),4,"Injection. Electronic intake pipe injection, digital engine management (BMS-X)",Double Overhead Cams/Twin Cam (DOHC),,Dry sump,Liquid,6-speed,Shaft drive (cardan)   (final drive),Multiple-disc clutch in oil bath,"Bridge-type frame, cast aluminium, load bearing engine",BMW Motorrad Duolever,125 mm (4.9 inches),Travel front/rear:,135 mm (5.3 inches),120/70-ZR17 ,190/55-ZR17 ,Double disc. Four-piston calipers. ,320 mm (12.6 inches),Single disc. Two-piston calipers. ,295.0 kg (650.4 pounds),0.5424 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),2324 mm (91.5 inches),1000 mm (39.4 inches),,1680 mm (66.1 inches),24.00 litres (6.34 US gallons),"Blue, graphite",Electric,,,Cardan Shaft,Saddle bags,Aluminium,,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,27.8°,108 mm (4.3 inches),319.0 kg (703.3 pounds),,,,"Closed-loop 3-way catalytic converter, emission standard EU-3",,4.00 litres (1.06 US gallons),,"12V/19Ah, maintenance free battery.",,,,,,,,,,,,,,,,,,,,,
GAS GAS Raga Factory Replica 300,2014,Trial,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,294.1 ccm (17.95 cubic inches),"Single cylinder, two-stroke",,,,79.0 x 60.0 mm (3.1 x 2.4 inches),,Carburettor. Keihin PWK 28 - Intake by reed valve,Single Overhead Cams (SOHC),CDI,2.5 % Mixture,Liquid,6-speed,Chain   (final drive),AJP clutch.,CrMo steel,Marzocchi 40 mm Aluminium Right-Sight-Up.,177 mm (7.0 inches),Reiger (2-way) hydraulic mono shock absorber,164 mm (6.5 inches),2.75-21 ,4.00-18 ,"Single disc. Floating, 4-piston caliper",150 mm (5.9 inches),Single disc. 2-piston caliper ,66.0 kg (145.5 pounds),,"650 mm (25.6 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2045 mm (80.5 inches),,,1340 mm (52.8 inches),2.40 litres (0.63 US gallons),Red/black/gold,Kick,,Spanish bike. Limited edition model.,,,Light aluminium spoke rim ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Cat 400,2014,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,366.0 ccm (22.33 cubic inches),"Single cylinder, four-stroke",,,,89.0 x 71.2 mm (3.5 x 2.8 inches),4,,Single Overhead Cams (SOHC),,,Oil & air,Automatic,Belt   (final drive),,,Double A-Arm,,Double A-Arm,,24/8-12 ,24/10-12 ,Single disc. Hydraulic. ,,Single disc. Hydraulic. ,266.7 kg (588.0 pounds),,,1168 mm (46.0 inches),2116 mm (83.3 inches),1130 mm (44.5 inches),254 mm (10.0 inches),1219 mm (48.0 inches),16.28 litres (4.30 US gallons),"Olive, red",Electric,Digital,"Powder-Coated Steel Wheels, Rear 2-Inch Receiver, Front and Rear Steel Racks, Kenda Pathfinder Tires","2/4 WD Electric . Automatic CVT with EBS, Hi/Lo Range  and  Reverse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goes 350S,2014,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,313.0 ccm (19.10 cubic inches),"Single cylinder, four-stroke",20.1 HP (14.7  kW)) @ 6500 RPM,24.0 Nm (2.4 kgf-m or 17.7 ft.lbs) @ 5500 RPM,10.2:1,78.0 x 65.6 mm (3.1 x 2.6 inches),,Carburettor. Mikuni VM 26,Single Overhead Cams (SOHC),CDI,,,Automatic,Belt   (final drive),,,"Independent double A-arm, preload",,"Mono-shock swing arm, preload",,21/7-10 ,20/10-9 ,Single disc,,Single disc,211.0 kg (465.2 pounds),0.0954 HP/kg,,1050 mm (41.3 inches),1830 mm (72.0 inches),1150 mm (45.3 inches),170 mm (6.7 inches),1290 mm (50.8 inches),,Black,Electric,,,"2 WD,  F/N/R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 250 SE-R,2014,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.3 ccm (15.21 cubic inches),"Single cylinder, two-stroke",,,,66.4 x 72.0 mm (2.6 x 2.8 inches),,Carburettor. Keihin PWK 36,,-,-,Liquid,6-speed,Chain   (final drive),"Hydraulic, multidisc in oil bath",High strength Chrome-Molybdenum steel semi-perimeter,SACHS hydraulic telescopic adjustable compression and rebound 48 mm diameter with 300 mm of stroke,300 mm (11.8 inches),"WP Monoshock progressive rear uspension with aluminum control rods, adjustable for high and low speed compression and spring pre-load. 330 mm (",330 mm (13.0 inches),1.60-21 ,2.15-18 ,Single disc. Brembo Hydraulic,220 mm (8.7 inches),Single disc,105.0 kg (231.5 pounds),,"950 mm (37.4 inches) If adjustable, lowest setting.",,,,355 mm (14.0 inches),1480 mm (58.3 inches),9.50 litres (2.51 US gallons),Blue,Electric,,Spanish brand.,Gears in primary drive secondary drive with chain,,,,,,Kokusan DC - CDI ignition with digital advance,,,,,,,,,,,12 V / 4Ah Yuasa battery.,,,,"Two ignition map settings (controls the ignition curve and the exhaust valve opening), Integrated electric starter, Electronically controlled exhaust valve, High-performance components (Kokusan electronic system, Keihin carburetor, V Force, Reed valves, Twin Air Filter), Maximum torsional stiffness, Comfort-flex frame design, Large capacity fuel tank, Two stroke specific shock settings",,,,,,,,,,,,,,,,,
