Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Torque,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat height,Alternate seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Color options,Starter,Diameter,Dry weight,Power/weight ratio,Oil capacity,Modifications compared to previous model,Engine oil,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Coolant,Comments,Front percentage of weight,Rear percentage of weight,Electrical
Aprilia RX 250,1986,Cross / motocross," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",47.0 HP (34.3  kW)) @ 8000 RPM,120.0 km/h (74.6 mph),14.0:1,72.0 x 61.0 mm (2.8 x 2.4 inches),,Rotary valves,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Single disc,Expanding brake,100.0 kg (220.5 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 650 E,1986,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",656.0 ccm (40.03 cubic inches),"In-line four, four-stroke",75.0 HP (54.7  kW)) @ 9500 RPM,202.0 km/h (125.5 mph),9.5:1,60.0 x 58.0 mm (2.4 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Shaft drive (cardan)   (final drive),100/90-19 ,130/90-16 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic 125 Raider LC,1986,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7250 RPM,105.0 km/h (65.2 mph),12.0:1,55.2 x 52.0 mm (2.2 x 2.0 inches),,Port control,Liquid,6-speed,Chain   (final drive),3.00-21 ,4.10-18 ,Single disc,Expanding brake,111.0 kg (244.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000 RGS-2,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",82.0 HP (59.9  kW)) @ 7900 RPM,225.0 km/h (139.8 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,269.0 kg (593.0 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia ETX 350 E,1986,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,130.0 km/h (80.8 mph),9.6:1,79.5 x 70.4 mm (3.1 x 2.8 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,167.0 kg (368.2 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 1000 S 2,1986,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",973.0 ccm (59.37 cubic inches),"V2, four-stroke",76.0 HP (55.5  kW)) @ 6700 RPM,220.0 km/h (136.7 mph),9.3:1,88.0 x 80.0 mm (3.5 x 3.1 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-18 ,130/80-18 ,Dual disc,Single disc,230.0 kg (507.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GV1400 Cavalcade,1986,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1360.0 ccm (82.99 cubic inches),"V4, four-stroke",112.0 HP (81.8  kW)) @ 7000 RPM,193.1 km/h (120.0 mph),9.5:1,81.0 x 66.0 mm (3.2 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),Dunlop Elite-3 ,Dunlop Elite-3 ,Double disc. Dual 2-piston Calipers,Single disc. Single 2-piston Caliper,373.3 kg (823.0 pounds),23.09 litres (6.10 US gallons),123.0 Nm (12.5 kgf-m or 90.7 ft.lbs) @ 5500 RPM,,16.00 seconds,23.00 seconds,9000,Carburettor,Transistorized,Wet Sump,Wet multi-plate,6.19 litres/100 km (16.2 km/l or 38.00 mpg),143.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double Chrome Plated pipes,,29.0°,119 mm (4.7 inches),"Telescopic, coil spring, oil damped, non adjustable",150 mm (5.9 inches),"Auto Level Air Ride, oil damped",100 mm (3.9 inches),"780 mm (30.7 inches) If adjustable, lowest setting.",,1549 mm (61.0 inches),2530 mm (99.6 inches),935 mm (36.8 inches),130 mm (5.1 inches),1669 mm (65.7 inches),3.79 litres (1.00 US gallons),,Electric,310 mm (12.2 inches),342.0 kg (754.0 pounds),0.3275 HP/kg,3.10 litres (3.28 US quarts),,,,,,,,,,,,,,,Some of the spec numbers estimated as they are unavailable; including price when new,40.0,60.0,500 Watt alternator w/built in accessory terminal
Yamaha XV 1000 Virago,1986,Allround," 4.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",981.0 ccm (59.86 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 6500 RPM,171.0 km/h (106.3 mph),8.3:1,95.0 x 69.2 mm (3.7 x 2.7 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,140/90-15 ,Dual disc,Expanding brake,235.0 kg (518.1 pounds),14.50 litres (3.83 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 850 G,1986,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",843.0 ccm (51.44 cubic inches),"In-line four, four-stroke",80.0 HP (58.4  kW)) @ 8500 RPM,203.0 km/h (126.1 mph),8.8:1,69.0 x 56.4 mm (2.7 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,273.0 kg (601.9 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 305 Belt Drive,1986,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",306.0 ccm (18.67 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,140.0 km/h (87.0 mph),9.7:1,61.0 x 52.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Belt   (final drive),90/90-18 ,110/80-18 ,Dual disc,Expanding brake,164.0 kg (361.6 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 600 HWE Safari,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7700 RPM,140.0 km/h (87.0 mph),9.8:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-21 ,4.50-18 ,Single disc,Expanding brake,150.0 kg (330.7 pounds),28.00 litres (7.40 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 75 (reduced effect #2),1986,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 4600 RPM,138.0 km/h (85.7 mph),9.6:1,80.0 x 74.0 mm (3.1 x 2.9 inches),4,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-16 ,120/80-18 ,Dual disc,Single disc,200.0 kg (440.9 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Riva 200,1986,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",,,,,,,Air,,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 S (reduced effect),1986,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",447.0 ccm (27.28 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,141.0 km/h (87.6 mph),9.1:1,75.0 x 50.6 mm (3.0 x 2.0 inches),3,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Dual disc,Expanding brake,185.0 kg (407.9 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 N,1986,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",447.0 ccm (27.28 cubic inches),"Twin, four-stroke",43.0 HP (31.4  kW)) @ 9000 RPM,178.0 km/h (110.6 mph),9.3:1,75.0 x 50.6 mm (3.0 x 2.0 inches),3,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Dual disc,Expanding brake,189.0 kg (416.7 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera RX 200 Enduro,1986,Cross / motocross," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",183.0 ccm (11.17 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,115.0 km/h (71.5 mph),12.5:1,68.0 x 50.5 mm (2.7 x 2.0 inches),,Membrane,Liquid,6-speed,Chain   (final drive),2.45-21 ,4.60-17/62 ,Single disc,Expanding brake,136.0 kg (299.8 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 M 6 ob one Racing,1986,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",25.0 HP (18.2  kW)) @ 11000 RPM,140.0 km/h (87.0 mph),11.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Liquid,6-speed,Chain   (final drive),2.75-16 ,3.00-18 ,Dual disc,Single disc,116.0 kg (255.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RT,1986,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,206.0 km/h (128.0 mph),10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,272.0 kg (599.7 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1300 DFI (reduced effect),1986,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1285.0 ccm (78.41 cubic inches),"In-line six, four-stroke",100.0 HP (73.0  kW)) @ 7750 RPM,208.0 km/h (129.2 mph),9.3:1,62.0 x 71.0 mm (2.4 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,130/90-17 ,Dual disc,Single disc,324.0 kg (714.3 pounds),27.00 litres (7.13 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Evolution,1986,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 6000 RPM,149.0 km/h (92.6 mph),9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 Mark Enduro,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,112.0 km/h (69.6 mph),11.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Liquid,5-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Single disc,Expanding brake,119.0 kg (262.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65 Florida,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,643.0 ccm (39.24 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 7200 RPM,168.0 km/h (104.4 mph),10.0:1,80.0 x 64.0 mm (3.1 x 2.5 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-16 ,120/80-18 ,Dual disc,Single disc,197.0 kg (434.3 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 600 R Dakar,1986,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",590.0 ccm (36.00 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6500 RPM,150.0 km/h (93.2 mph),8.5:1,94.0 x 85.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/80-21 ,130/80-17 ,Single disc,Expanding brake,166.0 kg (366.0 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600,1986,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9250 RPM,177.0 km/h (110.0 mph),10.0:1,58.5 x 55.7 mm (2.3 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-18 ,110/90-18 ,Dual disc,Single disc,212.0 kg (467.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas A.M.E - Amazonas 1600 cc,1986,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1600.0 ccm (97.63 cubic inches),"Four cylinder boxer, four-stroke",56.0 HP (40.9  kW)) @ 4000 RPM,160.0 km/h (99.4 mph),7.0:1,85.0 x 69.0 mm (3.3 x 2.7 inches),2,,Air,4-speed,Chain   (final drive),160-16 ,180-16 ,Double disc. 2-piston calipers,Single disc,"512.0 kg (1,128.8 pounds)",40.00 litres (10.57 US gallons),100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 3000 RPM,9.00 seconds,,15.00 seconds,7000,Carburettor. 35 mm,Electric,,Wet plate,9.00 litres/100 km (11.1 km/l or 26.14 mpg),208.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double stainless steel pipes,CrMo steel,24.0°,,Forks,50 mm (2.0 inches),WP - Monoshock,45 mm (1.8 inches),,,,,,,,8.00 litres (2.11 US gallons),"Black, Blue, White",Electric,,450.0 kg (992.1 pounds),0.1244 HP/kg,,,,,,,,,,,,,,,,Total production of about 450 units. ,30.0,20.0,
Honda CB 450 S,1986,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",447.0 ccm (27.28 cubic inches),"Twin, four-stroke",44.0 HP (32.1  kW)) @ 9000 RPM,163.0 km/h (101.3 mph),9.3:1,75.0 x 50.6 mm (3.0 x 2.0 inches),3,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Dual disc,Expanding brake,185.0 kg (407.9 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 654 T,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,604.0 ccm (36.86 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8700 RPM,172.0 km/h (106.9 mph),9.3:1,60.0 x 53.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,203.0 kg (447.5 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 1000 F 2,1986,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,233.0 km/h (144.8 mph),11.0:1,77.0 x 53.6 mm (3.0 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),100/90-18 ,140/80-17 ,Dual disc,Single disc,277.0 kg (610.7 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350 (reduced effect),1986,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",50.0 HP (36.5  kW)) @ 9200 RPM,184.0 km/h (114.3 mph),6.0:1,64.0 x 54.0 mm (2.5 x 2.1 inches),,Membrane & power valve,Liquid,6-speed,Chain   (final drive),190/90-18 ,110/80-18 ,Dual disc,Single disc,170.0 kg (374.8 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350 F,1986,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",63.0 HP (46.0  kW)) @ 9000 RPM,190.0 km/h (118.1 mph),6.0:1,64.0 x 54.0 mm (2.5 x 2.1 inches),,Membrane & power valve,Liquid,6-speed,Chain   (final drive),190/90-18 ,110/80-18 ,Dual disc,Single disc,170.0 kg (374.8 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 750 S,1986,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",87.0 HP (63.5  kW)) @ 9000 RPM,203.0 km/h (126.1 mph),9.8:1,65.0 x 56.5 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,241.0 kg (531.3 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHT 1340 Electra Glide,1986,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 5000 RPM,150.0 km/h (93.2 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),T 80-16 T ,T 90-16T ,Dual disc,Single disc,345.0 kg (760.6 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750 GT,1986,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 9500 RPM,198.0 km/h (123.0 mph),9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,120/90-18 ,Dual disc,Single disc,243.0 kg (535.7 pounds),24.50 litres (6.47 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65 TT,1986,Allround," 2.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",643.0 ccm (39.24 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)) @ 7500 RPM,156.0 km/h (96.9 mph),9.8:1,80.0 x 64.0 mm (3.1 x 2.5 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-21 ,4.00-18 ,Single disc,Single disc,184.0 kg (405.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Interpool 2,1986,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,588.0 ccm (35.88 cubic inches),"Twin, four-stroke",114.0 HP (83.2  kW)) @ 9000 RPM,,9.0:1,,,,Air,,Chain   (final drive),100/90-18 ,110/80-18 ,Double disc,Single disc,253.0 kg (557.8 pounds),22.50 litres (5.94 US gallons),75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 7000 RPM,,,,,,,,"Wet, multiplate",,,,,,,38mm Telecopic Forks,,Twin Girling Gas Units 3-Way Preload,,,,,1805 mm (71.1 inches),710 mm (28.0 inches),,1486 mm (58.5 inches),,"White, Silver",,265 mm (10.4 inches),,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1200 (reduced effect),1986,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8500 RPM,231.0 km/h (143.5 mph),9.7:1,77.0 x 63.8 mm (3.0 x 2.5 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/80-16 ,150/80-16 ,Dual disc,Single disc,259.0 kg (571.0 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 65,1986,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",48.0 HP (35.0  kW)) @ 7250 RPM,178.0 km/h (110.6 mph),8.7:1,82.0 x 61.5 mm (3.2 x 2.4 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,205.0 kg (451.9 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000 SFC,1986,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",996.0 ccm (60.78 cubic inches),"In-line three, four-stroke",95.0 HP (69.3  kW)) @ 8000 RPM,221.0 km/h (137.3 mph),10.0:1,75.6 x 74.0 mm (3.0 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,130/90-18 ,Dual disc,Single disc,253.0 kg (557.8 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 350 R (reduced effect),1986,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,110.0 km/h (68.4 mph),9.5:1,84.0 x 61.3 mm (3.3 x 2.4 inches),4,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Expanding brake,137.0 kg (302.0 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100,1986,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1089.0 ccm (66.45 cubic inches),"In-line four, four-stroke",120.0 HP (87.6  kW)) @ 9000 RPM,,9.5:1,72.5 x 66.0 mm (2.9 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/90-18 ,130/90-17 ,Dual disc,Single disc,266.0 kg (586.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet,1986,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,110.0 km/h (68.4 mph),6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.25-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
