Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Starter,Rear brakes,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Fuel consumption,Greenhouse gases,Front suspension,Rear suspension,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Frame type,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front wheel travel,Reserve fuel capacity,Comments,Exhaust system,Rear wheel travel,Chain links,Sprockets,Lubrication system,Clutch,Overall height,Overall width,Max RPM,Rake (fork angle),Trail,Engine details,Modifications compared to previous model,Alternate seat height,Electrical,Battery,Oil filter,Belt teeth,Belt width,Pulley teeth,Light
Ural Solo,1997,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)),41.0 Nm (4.2 kgf-m or 30.2 ft.lbs) @ 5200 RPM,,,Air,4-speed,,Expanding brake,182.0 kg (401.2 pounds),0.1758 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Canyon 500,1997,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",33.5 HP (24.5  kW)) @ 6500 RPM,,160.0 km/h (99.4 mph),,Oil & air,,Chain   (final drive),Single disc,,,,Electric,Single disc,,,Carburettor,,,5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,6.00 litres (1.59 US gallons),,,,,,,,,,9000,,,,,,,,,,,,
Suzuki GSF 600 N Bandit,1997,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs),,4,,6-speed,Chain   (final drive),Dual disc,197.0 kg (434.3 pounds),0.3959 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Nevada 750,1997,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6200 RPM,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 3000 RPM,170.0 km/h (105.6 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,182.0 kg (401.2 pounds),0.2637 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 125 ES,1997,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 8000 RPM,,,Air,5-speed,Chain   (final drive),Single disc,102.0 kg (224.9 pounds),0.1176 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Glide Convertible,1997,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,165.0 km/h (102.5 mph),2,Air,5-speed,Belt   (final drive),Single disc,282.0 kg (621.7 pounds),0.1950 HP/kg,"704 mm (27.7 inches) If adjustable, lowest setting.",Electric,Single disc,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),Carburettor. 40mm Keihin CV,Overhead Valves (OHV),"Single-fire, non-wasted, map-controlled spark ignition",,,39mm stanchions ,"Dual dampers, adjustable for preload",100/90-´19 ,130/90-´16 ,292 mm (11.5 inches),,,,,18.50 litres (4.89 US gallons),"Red, blue, black",,2.80 litres (2.96 US quarts),SAE 20W-50,DOT 5 Silicone,,NGK BPR5ES-11,1000  RPM,,,41 mm (1.6 inches),,,175 mm (6.9 inches),,,,120 mm (4.7 inches),,,,,,,,,,,,,"12V, 20 Ah battery.",YB16HL-A-CX,,,,,
Honda NX Trans City,1997,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 8500 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 7000 RPM,,,Air,6-speed,Chain   (final drive),Single disc,130.0 kg (286.6 pounds),0.1000 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748 S,1997,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",98.0 HP (71.5  kW)) @ 11000 RPM,,245.0 km/h (152.2 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,202.0 kg (445.3 pounds),0.4851 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet,1997,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5625 RPM,28.0 Nm (2.9 kgf-m or 20.7 ft.lbs),,,Air,4-speed,Chain   (final drive),Double disc,163.0 kg (359.4 pounds),0.1104 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,Expanding brake,6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),Carburettor. Amal,Overhead Valves (OHV),Breaker  and  coil,,,Telescopic fork,"Swing arm, two dampers",3.25-19 ,3.25-19 ,153 mm (6.0 inches),180.0 kg (396.8 pounds),2140 mm (84.3 inches),,1370 mm (53.9 inches),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,"Multi-plate, wet",,,,,,Twin spark,,,,,,,,,
Kawasaki EN 500,1997,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,41.0 Nm (4.2 kgf-m or 30.2 ft.lbs) @ 7300 RPM,170.0 km/h (105.6 mph),4,Liquid,6-speed,Chain   (final drive),Single disc,187.0 kg (412.3 pounds),0.2674 HP/kg,"715 mm (28.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Sting 125,1997,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 7500 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 6800 RPM,,,Liquid,6-speed,Chain   (final drive),Single disc,124.0 kg (273.4 pounds),0.1129 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1100 LT,1997,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1092.0 ccm (66.63 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 5500 RPM,210.0 km/h (130.5 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,268.0 kg (590.8 pounds),0.3731 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Wide Glide,1997,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,165.0 km/h (102.5 mph),2,Air,5-speed,Belt   (final drive),Single disc. Four-piston calipers. ,271.0 kg (597.5 pounds),0.2030 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",Electric,Single disc. Four-piston calipers. ,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),Carburettor,Overhead Valves (OHV),"Single-fire, non-wasted, map-controlled spark ignition",,,Telescopic fors,Coil-over shock,80/90-21 ,130/90-16 ,292 mm (11.5 inches),295.0 kg (650.4 pounds),,,,19.00 litres (5.02 US gallons),"Black, red, purple","Mild steel, tubular. Rectangular section backbone. Stamped, cast and forged junctions.",2.80 litres (2.96 US quarts),SAE 20W-50,DOT 5 Silicone,,NGK BPR5ES-11,1000  RPM,,,41 mm (1.6 inches),,,,,,,,,,Dry sump, Wet 9-plate,,,,,,,,,,GYZ20HL,HiFloFiltro HF173C,133,1 1/2 in,32/70 (front/rear),
Honda CB 1000 Super Four,1997,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)),89.0 Nm (9.1 kgf-m or 65.6 ft.lbs),220.0 km/h (136.7 mph),4,Liquid,5-speed,Chain   (final drive),Dual disc,235.0 kg (518.1 pounds),0.4170 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ 660 Skorpion Tour,1997,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)),56.0 Nm (5.7 kgf-m or 41.3 ft.lbs),,,,5-speed,,Single disc,167.0 kg (368.2 pounds),0.2874 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RF 900 R,1997,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",938.0 ccm (57.24 cubic inches),"In-line four, four-stroke",135.0 HP (98.5  kW)),102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 9000 RPM,265.0 km/h (164.7 mph),4,Liquid,5-speed,Chain   (final drive),Dual disc,205.0 kg (451.9 pounds),0.6585 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 1100 Virago,1997,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1063.0 ccm (64.86 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 6000 RPM,85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 3000 RPM,180.0 km/h (111.8 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,222.0 kg (489.4 pounds),0.2793 HP/kg,"715 mm (28.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda Ghost Strike,1997,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,668.0 ccm (40.76 cubic inches),"Twin, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 6500 RPM,195.0 km/h (121.2 mph),4,Air,6-speed,Chain   (final drive),,183.0 kg (403.4 pounds),0.3825 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748 Biposto,1997,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",98.0 HP (71.5  kW)) @ 11000 RPM,,245.0 km/h (152.2 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,200.0 kg (440.9 pounds),0.4900 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YP 250,1997,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 6500 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 5500 RPM,,2,Liquid,,,,147.0 kg (324.1 pounds),0.1361 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF 750 R Genesis,1997,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 12000 RPM,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 9500 RPM,265.0 km/h (164.7 mph),5,Liquid,6-speed,Chain   (final drive),Dual disc,196.0 kg (432.1 pounds),0.6378 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Bad Boy,1997,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,155.0 km/h (96.3 mph),2,Air,5-speed,Belt   (final drive),Single disc,276.0 kg (608.5 pounds),0.1993 HP/kg,"654 mm (25.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TL 1000 S,1997,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",125.0 HP (91.2  kW)),105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 8000 RPM,260.0 km/h (161.6 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,185.0 kg (407.9 pounds),0.6757 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF 600 S Thundercat,1997,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)),67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 9500 RPM,255.0 km/h (158.4 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,187.0 kg (412.3 pounds),0.5348 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 F,1997,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 10400 RPM,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 9500 RPM,230.0 km/h (142.9 mph),4,,6-speed,Chain   (final drive),Dual disc,211.0 kg (465.2 pounds),0.4645 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800,1997,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 3300 RPM,175.0 km/h (108.7 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,225.0 kg (496.0 pounds),0.2444 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Silver Star 500,1997,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 7200 RPM,35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 6500 RPM,,,Air,5-speed,Chain   (final drive),Single disc,221.0 kg (487.2 pounds),0.1538 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comes with sidecar.,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 500 E,1997,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",487.0 ccm (29.72 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)),40.0 Nm (4.1 kgf-m or 29.5 ft.lbs),,,Air,6-speed,,Single disc,171.0 kg (377.0 pounds),0.2632 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 1300 Royal Star Tour Classic,1997,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1294.0 ccm (78.96 cubic inches),"V4, four-stroke",74.0 HP (54.0  kW)) @ 3500 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs),180.0 km/h (111.8 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,305.0 kg (672.4 pounds),0.2426 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna WR 125,1997,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 9500 RPM,,,,,6-speed,Chain   (final drive),Single disc,93.0 kg (205.0 pounds),0.1075 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell S3T Thunderbolt,1997,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1203.0 ccm (73.41 cubic inches),"V2, four-stroke",86.0 HP (62.8  kW)),107.0 Nm (10.9 kgf-m or 78.9 ft.lbs),200.0 km/h (124.3 mph),2,Air,5-speed,Belt   (final drive),Single disc,211.0 kg (465.2 pounds),0.4076 HP/kg,"749 mm (29.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS Pampera 125,1997,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 6700 RPM,,,,Liquid,6-speed,Chain   (final drive),Single disc,88.0 kg (194.0 pounds),0.1705 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NSR 125,1997,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 9500 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 8000 RPM,,,Liquid,6-speed,Chain   (final drive),Single disc. 2-piston calipers,132.0 kg (291.0 pounds),0.1136 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,Single disc,6.5:1,55.9 x 48.3 mm (2.2 x 1.9 inches),Carburettor,,,,,Marzocchi hydraulic forks,Marzocchi shock with pro-link,100/80-17 ,130/70-17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 600 S Bandit,1997,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs),200.0 km/h (124.3 mph),4,,6-speed,Chain   (final drive),Dual disc,200.0 kg (440.9 pounds),0.3900 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trident 900,1997,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 6500 RPM,215.0 km/h (133.6 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,212.0 kg (467.4 pounds),0.4623 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Red Star 500,1997,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 7200 RPM,35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 6500 RPM,,,Air,5-speed,Chain   (final drive),Single disc,146.0 kg (321.9 pounds),0.2329 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 Seven Fifty,1997,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",73.0 HP (53.3  kW)),62.0 Nm (6.3 kgf-m or 45.7 ft.lbs),205.0 km/h (127.4 mph),4,Air,5-speed,Chain   (final drive),Dual disc,215.0 kg (474.0 pounds),0.3395 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 180 Roland,1997,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",176.0 ccm (10.74 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 5500 RPM,,110.0 km/h (68.4 mph),,Air,4-speed,Chain   (final drive),Single disc,130.0 kg (286.6 pounds),0.1000 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota YB11,1997,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1002.0 ccm (61.14 cubic inches),"In-line four, four-stroke",145.0 HP (105.8  kW)) @ 10000 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 8500 RPM,275.0 km/h (170.9 mph),5,Liquid,5-speed,Chain   (final drive),Dual disc,183.0 kg (403.4 pounds),0.7923 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva N1,1997,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)),,,,,6-speed,Chain   (final drive),Single disc,118.0 kg (260.1 pounds),0.1271 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 916 Senna,1997,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",109.0 HP (79.6  kW)) @ 9000 RPM,86.0 Nm (8.8 kgf-m or 63.4 ft.lbs) @ 7000 RPM,250.0 km/h (155.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,201.0 kg (443.1 pounds),0.5423 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Adventurer,1997,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,72.0 Nm (7.3 kgf-m or 53.1 ft.lbs) @ 4800 RPM,190.0 km/h (118.1 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,225.0 kg (496.0 pounds),0.3111 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
