Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Driveline,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Carrying capacity,Comments,Top speed,Clutch,Fuel consumption,Greenhouse gases,Instruments,Factory warranty,Engine details,Compression,Bore x stroke,Valves per cylinder,Ignition,Lubrication system,Exhaust system,Front wheel travel,Rear wheel travel,Dry weight,Torque,Power/weight ratio,Oil capacity,"Weight incl. oil, gas, etc",Rake (fork angle),Trail,Light,Reserve fuel capacity,Seat,Emission details,Modifications compared to previous model,Front percentage of weight,Max RPM,Alternate seat height,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Rear percentage of weight,Chain size,Chain links,Sprockets,Coolant,1/4 mile (0.4 km)
Hyosung GV 650 Avitar,2011,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",79.0 HP (57.7  kW)) @ 9000 RPM,Injection. Fuel Injection include immobilizer.,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Belt   (final drive),,," Upside down Telescopic (Compression, Rebound damping adjustable)", Swing arm with Hydraulic Double shock absorber (Preload adjustable),120/70-ZR18 ,180/55-ZR17 ,"Double disc. Semi floating double discs, 2 pistons calipers",270 mm (10.6 inches),Single disc. 2 pistons caliper,,"706 mm (27.8 inches) If adjustable, lowest setting.",1151 mm (45.3 inches),2431 mm (95.7 inches),841 mm (33.1 inches),160 mm (6.3 inches),1699 mm (66.9 inches),15.90 litres (4.20 US gallons),"Black/orange, black, white, pink",Electric,,,,,"  Wet, Multiplate",,,,24 months,90° V-twin,11.6:1,81.5 x 62.0 mm (3.2 x 2.4 inches),4,,  Wet sump,,,,229.0 kg (504.9 pounds),67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 7250 RPM,0.3450 HP/kg,,244.0 kg (537.9 pounds),34.0°,,,2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Bellagio,2011,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",935.6 ccm (57.09 cubic inches),"V2, four-stroke",75.0 HP (54.7  kW)) @ 7200 RPM,Injection,Overhead Valves (OHV),Air,6-speed,Shaft drive (cardan)   (final drive),,Very rigid high tensile steel tubular twin cradle,Marzocchi   45 mm adjustable front forks,Single swingarm with progressive action  and ndash,120/70-ZR18 ,180/55-ZR17 ,"Double disc. Stainless steel discs, floating Brembo calipers with 2 parallel pistons.",282 mm (11.1 inches),"Single disc. Fixed stainless steel disc, floating Brembo calipers with 2 parallel pistons.",,"760 mm (29.9 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2253 mm (88.7 inches),,150 mm (5.9 inches),1560 mm (61.4 inches),19.00 litres (5.02 US gallons),Silver,Electric,,,,,Dry mechanically operated twin plate,,,,,,10.0:1,95.0 x 66.0 mm (3.7 x 2.6 inches),2,,,2 inti 1 into 2,140 mm (5.5 inches),120 mm (4.7 inches),223.0 kg (491.6 pounds),75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 6000 RPM,0.3363 HP/kg,,238.0 kg (524.7 pounds),,,,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,
Daelim S3,2011,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,Injection,Single Overhead Cams (SOHC),Oil & air,Automatic,Belt   (final drive),Variomatic,,Telescopic forks,Swing arm,120/70-14 ,130/60-14 ,Single disc,220 mm (8.7 inches),Single disc,Five-spoke wheels,"750 mm (29.5 inches) If adjustable, lowest setting.",,2140 mm (84.3 inches),,,,11.50 litres (3.04 US gallons),"Black, white",Electric,,,,,,,,,,,,56.0 x 50.7 mm (2.2 x 2.0 inches),4,,,,,,159.0 kg (350.5 pounds),,,,169.0 kg (372.6 pounds),,,,,2-person seat,Euro 3,,,,,,,,,,,,,,,,,,,,
Vespa PX 150,2011,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",149.6 ccm (9.13 cubic inches),"Single cylinder, two-stroke",,Carburettor,Single Overhead Cams (SOHC),Air,4-speed,Belt   (final drive),,Monocoque steel frame,Single sided trailing link with hydraulic shock absorber,Hydraulic monoshock,120-10 ,120-10 ,Single disc,150 mm (5.9 inches),Expanding brake (drum brake),,"810 mm (31.9 inches) If adjustable, lowest setting.",,1810 mm (71.3 inches),740 mm (29.1 inches),,,8.00 litres (2.11 US gallons),,Electric & kick,,,,87.0 km/h (54.1 mph),"Wet, centrifugal clutch, cable operated",,,,,Rotary inlet valve,,57.8 x 57.0 mm (2.3 x 2.2 inches),2,,Oil pump,,,,97.0 kg (213.8 pounds),,,,,,,,,2-person seat,,,,,,,,,,,,,,,,,,,,,
Honda SW-T400,2011,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",38.5 HP (28.1  kW)) @ 8000 RPM,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Automatic,Belt   (final drive),,,,,120/80-14 ,150/70-13 ,Single disc,240 mm (9.4 inches),Single disc,,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,1600 mm (63.0 inches),16.00 litres (4.23 US gallons),,Electric,,,,,"Wet, centrifugal clutch, cable operated ",,,,,,,64.0 x 62.0 mm (2.5 x 2.4 inches),4,Digital CDI,,,,,247.0 kg (544.5 pounds),37.8 Nm (3.9 kgf-m or 27.9 ft.lbs) @ 6500 RPM,0.1558 HP/kg,,267.0 kg (588.6 pounds),,,,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,
Highland 950cc Desert X,2011,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,950.0 ccm (57.97 cubic inches),"V2, four-stroke",,"Injection. EFI, fullu adjustable",Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),6-speed constant mesh,HyTens stainless,Telescopic fork,PDS,110/80-19 ,150/70-17 ,Single disc. Four-piston calipers,320 mm (12.6 inches),Single disc. Single piston calipers,,"720 mm (28.3 inches) If adjustable, lowest setting.",,,,345 mm (13.6 inches),1506 mm (59.3 inches),15.14 litres (4.00 US gallons),Yellow/black,Electric,,,,,"Wet, multiplate",,,,,60 degree V-engine,,,4,"Digital, coil on plug",Wet sump,,300 mm (11.8 inches),269 mm (10.6 inches),129.0 kg (284.4 pounds),,,,,,,,,,,USHighland also used as brand name.,,,,,,,,,,,,,,,,,,,
Hyosung GV 650 SE,2011,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",79.0 HP (57.7  kW)) @ 9000 RPM,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Belt   (final drive),,," Upside down Telescopic (Compression, Rebound damping adjustable)",Swing arm with Hydraulic Double shock absorber (Preload adjustable),120/70-ZR18 ,180/55-ZR17 ,"Double disc. Semi floating double discs, 2 pistons calipers",270 mm (10.6 inches),Single disc. 2 pistons caliper,"Three spoke wheels, dark red rims","706 mm (27.8 inches) If adjustable, lowest setting.",,2431 mm (95.7 inches),,160 mm (6.3 inches),1699 mm (66.9 inches),15.90 litres (4.20 US gallons),Black/dark red,Electric,,,Special edition,,"  Wet, Multiplate",,,,2 years,,11.6:1,81.5 x 62.0 mm (3.2 x 2.4 inches),4,,  Wet sump,,,,229.0 kg (504.9 pounds),67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 7250 RPM,0.3450 HP/kg,,,,,,,2-person seat,,,,,,,,,,,,,,,,,,,,,
KTM 990 Supermoto,2011,Super motard," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"V2, four-stroke",114.0 HP (83.2  kW)) @ 9000 RPM,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),17:41. Primary drive: 35:67.,"Chromium-Molybdenum trellis frame, powder-coated. Subframe: Aluminium.",WP USD  48 mm (1.89 in),WP mono shock,120/70-17 ,180/55-ZR17 ,Double disc,240 mm (9.4 inches),Single disc,"Cast aluminium wheels 3.5 x 17in., 5.5 x 17in.","875 mm (34.4 inches) If adjustable, lowest setting.",,,,195 mm (7.7 inches),1510 mm (59.4 inches),19.00 litres (5.02 US gallons),Black/orange,Electric,,,,,"Wet mDouble disk clutch, operated hydraulically",,,,,,11.5:1,101.0 x 62.4 mm (4.0 x 2.5 inches),4,Keihin EMS,Pressure lubrication with 2 pumps,Twin stainless-steel silencer with regulated catalytic converters,210 mm (8.3 inches),210 mm (8.3 inches),191.0 kg (421.1 pounds),97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 7000 RPM,0.5968 HP/kg,,,24.9°,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,
Honda TRX420FM,2011,ATV," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",420.0 ccm (25.63 cubic inches),"Single cylinder, four-stroke",,Injection. Keihin 34mm throttle-body fuel-injection system ,Overhead Valves (OHV),Liquid,Automatic,Shaft drive (cardan)   (final drive),Direct front and rear driveshafts ,,Independent double-wishbone,Swingarm with single shock,24/8-12 ,24/10-11 ,Double disc. Hydraulic,,Expanding brake (drum brake),,"823 mm (32.4 inches) If adjustable, lowest setting.",1146 mm (45.1 inches),2055 mm (80.9 inches),1171 mm (46.1 inches),231 mm (9.1 inches),1255 mm (49.4 inches),13.24 litres (3.50 US gallons),"White, Red, Olive, Camo",Electric,,,With reverse. Snorkel-type air-intake system is specially designed to resist water. Model named Honda FourTrax Rancher 4X4 in some markets. Model Id: TRX420FM.,,Automatic,,,,"1 year, transferable limited warranty.",,,86.5 x 71.5 mm (3.4 x 2.8 inches),4,Full-transistorized type with electronic advance,Semi-dry-sump,,160 mm (6.3 inches),160 mm (6.3 inches),,,,,264.9 kg (584.0 pounds),,,,3.78 litres (1.00 US gallons),,Meets California Air Resources Board (CARB) and EPA off-road emissions standards.,,,,,,,,,,,,,,,,,,,,
Yamaha XJ6 Diversion F,2011,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",76.4 HP (55.8  kW)) @ 10000 RPM,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),"Constant Mesh, 6-speed","Steel, diamond shaped",Telescopic fork,Swingarm (monocross),120/70-ZR17 ,160/60-ZR17 ,Double disc,,Single disc,lightweight cast 5-spoke wheels,"785 mm (30.9 inches) If adjustable, lowest setting.",,2120 mm (83.5 inches),,140 mm (5.5 inches),1440 mm (56.7 inches),17.00 litres (4.49 US gallons),"White/red, black",Electric,,,,,"Wet, multiple-disc",,,,,,12.2:1,65.5 x 44.5 mm (2.6 x 1.8 inches),4,,Wet sump,four-into-one exhaust with middle muffler,130 mm (5.1 inches),130 mm (5.1 inches),,59.7 Nm (6.1 kgf-m or 44.0 ft.lbs) @ 8500 RPM,,,217.0 kg (478.4 pounds),26.0°,104 mm (4.1 inches),,,,,,,,,,,,,,,,,,,,,,,,
Arctic Cat TRV 550 Cruiser,2011,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,545.0 ccm (33.26 cubic inches),"Single cylinder, four-stroke",,Injection. EFI,Single Overhead Cams (SOHC),Liquid,Automatic,Belt   (final drive),"Automatic CVT with EBS, Hi/Lo Range and Reverse. 2 WD/4 WD + Diff Lock",Steel,Double A-Arm,Double A-Arm,25/8-12 ,25/10-12 ,Single disc. Hydraulic,,Single disc. Hydraulic,12´ Machined Aluminum Wheels,,1397 mm (55.0 inches),2565 mm (101.0 inches),1206 mm (47.5 inches),279 mm (11.0 inches),1473 mm (58.0 inches),20.10 litres (5.31 US gallons),Viper blue metallic,Electric,Alternator Capacity :25.0 amps,"Front Rack Capacity 100 lbs / 45.4 kg. Rear Rack Capacity 35 lbs / 15.9 kg. Towing Capacity 1,050 lbs / 476.3 kg",Power Steering. Electric 2WD/4WD and Front Differential Lock.,,,,,,,,,92.0 x 82.0 mm (3.6 x 3.2 inches),4,,,,254 mm (10.0 inches),254 mm (10.0 inches),346.0 kg (762.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland 507cc MX,2011,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,507.0 ccm (30.94 cubic inches),"Single cylinder, four-stroke",,"Injection. EFI, fullu adjustable",,Liquid,6-speed,Chain   (final drive),6-speed constant mesh,HyTens stainless steel,Telescopic fork,PDS,80/100-21 ,110/0-19 ,Single disc. 2-piston,221 mm (8.7 inches),Single disc. Single pistin,,"1,011 mm (39.8 inches) If adjustable, lowest setting.",,,,315 mm (12.4 inches),1486 mm (58.5 inches),6.06 litres (1.60 US gallons),Yellow/black,Electric,,,,,"Wet, multiplate",,,,,,,,4,"Digital, coil on plug",Wet sump,,300 mm (11.8 inches),,,,,,,,,,,,,Both Highland and USHighland used as brand name.,,,,,,,,,,,,,,,,,,,
Honda Silver Wing,2011,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",582.0 ccm (35.51 cubic inches),"Twin, four-stroke",,"Injection. PGM-FI with automatic enricher circuit, four-hole injectors",Double Overhead Cams/Twin Cam (DOHC),Liquid,Automatic,Belt   (final drive),,,41mm hydraulic fork,Swingarm with dual hydraulic shocks with five-position spring-preload adjustability,120/80-14 ,150/70-13 ,Single disc,240 mm (9.4 inches),Single disc,,"754 mm (29.7 inches) If adjustable, lowest setting.",,,,,1595 mm (62.8 inches),15.90 litres (4.20 US gallons),Candy Dark Red,Electric,,,Model ID: FSC600,,,5.11 litres/100 km (19.6 km/l or 46.03 mpg),118.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,One Year. Unlimited-mileage limited warranty,,,72.0 x 71.5 mm (2.8 x 2.8 inches),4,Computer-controlled fully transistorized with electronic advance,,,119 mm (4.7 inches),114 mm (4.5 inches),,,,,240.9 kg (531.0 pounds),,,,,,Meets current California Air Resources Board (CARB) and EPA standards,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 1700 Voyager ABS,2011,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1700.0 ccm (103.73 cubic inches),"V2, four-stroke",,"Injection. Digital fuel injection, dual 42mm throttle bodies",Single Overhead Cams (SOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),Tetra-Lever shaft drive,"Steel, double-cradle with box-section single-tube backbone",45mm hydraulic fork / 5.5 in.,"Swingarm with twin air-assisted shocks, with 4-way rebound damping / 3.1 in.",130/90-16 ,170/70-16 ,Double disc,,Single disc,,"729 mm (28.7 inches) If adjustable, lowest setting.",,,,,1666 mm (65.6 inches),20.06 litres (5.30 US gallons),"Ebony/Pearl Meteor Gray,  Candy Imperial Blue/Atomic Silver",Electric,,,,,,,,,36 months,,9.5:1,102.0 x 104.0 mm (4.0 x 4.1 inches),2,TCBI with Digital Advance,,,,,,146.5 Nm (14.9 kgf-m or 108.0 ft.lbs) @ 2750 RPM,,,406.1 kg (895.2 pounds),30.0°,178 mm (7.0 inches),,,,,,,,,,,,,,,,,,,,,,,,
Honda Ape 50,2011,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",3.6 HP (2.6  kW)) @ 8000 RPM,Injection,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),,Diamond,,,120/80-12 ,120/80-12 ,Expanding brake (drum brake),,Expanding brake (drum brake),,"715 mm (28.1 inches) If adjustable, lowest setting.",1155 mm (45.5 inches),1719 mm (67.7 inches),780 mm (30.7 inches),155 mm (6.1 inches),1185 mm (46.7 inches),5.50 litres (1.45 US gallons),"Silver, blue, red",Kick,,,Sold in the Asian market,,"Wet, multiplate",,,,,,9.2:1,40.0 x 39.2 mm (1.6 x 1.5 inches),,Full transistor type battery ignition,,,,,,3.6 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 6000 RPM,,,84.0 kg (185.2 pounds),28.0°,89 mm (3.5 inches),,,,,,,,,,,,,,,,,,,,,,,,
Puma Falcon 450 Cross,2011,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,450.0 ccm (27.46 cubic inches),"Single cylinder, four-stroke",44.3 HP (32.3  kW)),Carburettor,,Liquid,5-speed,Chain   (final drive),,,,,80/100-21 ,110/100-18 ,Single disc,,Single disc,,"960 mm (37.8 inches) If adjustable, lowest setting.",1240 mm (48.8 inches),2170 mm (85.4 inches),810 mm (31.9 inches),,,8.50 litres (2.25 US gallons),"Blue, black, white, black/white",Electric & kick,,,Italian brand.,175.0 km/h (108.7 mph),,,,,,,,,,,,,,,118.0 kg (260.1 pounds),,0.3750 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki QuadSport Z400,2011,ATV," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",450.0 ccm (27.46 cubic inches),"Single cylinder, four-stroke",,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),"RK 520SMOZ10S, 96 links",,"Independent, double wishbone, coil spring, oil damped","Swingarm type, coil spring, oil damped",22/7-10 ,20/10-9 ,Double disc,,Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",,1830 mm (72.0 inches),1190 mm (46.9 inches),265 mm (10.4 inches),1245 mm (49.0 inches),9.50 litres (2.51 US gallons),"Yellow, White",Electric,,,A red/black limited edition version is available.,,,,,,12 month limited warranty.,,11.3:1,90.0 x 62.6 mm (3.5 x 2.5 inches),,Electronic ignition,Dry sump,,,,,,,,193.0 kg (425.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph America,2011,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",865.0 ccm (52.78 cubic inches),"Twin, four-stroke",60.0 HP (43.8  kW)) @ 6800 RPM,Injection. Multipoint sequential electronic fuel injection with SAI,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),X ring chain. Primary drive: Gear.,Tubular steel cradle. Swing arm: Engine.,Kayaba 41mm forks with polished stainless steel shrouds and polished lowers. 120mm travel,Kayaba chromed spring twin shocks with adjustable preload. 96mm rear wheel travel,130/90-R16 ,170/80-B15 ,Single disc,285 mm (11.2 inches),Single disc,,"688 mm (27.1 inches) If adjustable, lowest setting.",1173 mm (46.2 inches),2418 mm (95.2 inches),820 mm (32.3 inches),,1608 mm (63.3 inches),19.30 litres (5.10 US gallons),Phantom Black. Eclipse Blue and Crystal White,Electric,,,Also called New America.,,Wet. multi-plate,,,,,270 degree firing interval,9.2:1,90.0 x 68.0 mm (3.5 x 2.7 inches),,Digital-inductive type via engine management system,,,,,,71.9 Nm (7.3 kgf-m or 53.0 ft.lbs) @ 3300 RPM,,,249.5 kg (550.0 pounds),33.4°,,,,,,,,,,,,,,,,,,,,,,,,,
TGB X Large 250 EFI,2011,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.4 ccm (15.22 cubic inches),"Single cylinder, four-stroke",23.4 HP (17.1  kW)) @ 8000 RPM,Injection. EFI,,Liquid,Automatic,Belt   (final drive),CVT,,,,120/70-14 ,140/60-13 ,Single disc,,Single disc,,,,2130 mm (83.9 inches),745 mm (29.3 inches),,,11.00 litres (2.91 US gallons),"Black, red, silver, white, gray ",Electric & kick,12 Volt 10 Ah battery,,,,,,,Digital,,,10.8:1,71.0 x 63.3 mm (2.8 x 2.5 inches),,ECU,Compress and splash combined,,,,194.0 kg (427.7 pounds),,0.1206 HP/kg,,204.0 kg (449.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Honda FourTrax Foreman Rubicon GPScape,2011,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,Carburettor. 36mm constant velocity carburator,Overhead Valves (OHV),Liquid,Automatic,Shaft drive (cardan)   (final drive),4WD,,Independent double-wishbone,Swingarm with dual shock absorbers,25/8-12 ,25/10-12 ,Single disc,180 mm (7.1 inches),Expanding brake (drum brake),,"861 mm (33.9 inches) If adjustable, lowest setting.",,2108 mm (83.0 inches),1189 mm (46.8 inches),191 mm (7.5 inches),1285 mm (50.6 inches),15.14 litres (4.00 US gallons),"Red, Olive, Camo",Electric,,,Model ID: TRX500FPA,,Automatic,,,,"1 year. Transferable, unlimited mileage limited warranty",,,92.0 x 75.0 mm (3.6 x 3.0 inches),,CD with electronic advance,,,170 mm (6.7 inches),170 mm (6.7 inches),,,,,285.8 kg (630.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 900 Light Tourer,2011,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,903.0 ccm (55.10 cubic inches),"V2, four-stroke",49.6 HP (36.2  kW)) @ 5700 RPM,Injection,Single Overhead Cams (SOHC),Liquid,5-speed,Chain   (final drive),,"Double-cradle, steel ",41 mm telescopic fork with 7-way preload,Uni-Trak,130/90-16 ,180/70-15 ,Single disc,270 mm (10.6 inches),Single disc,,,,,,,1650 mm (65.0 inches),20.00 litres (5.28 US gallons),,Electric,,,,,,,,,,,9.5:1,88.0 x 74.2 mm (3.5 x 2.9 inches),4,Digital,,,150 mm (5.9 inches),100 mm (3.9 inches),,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 3700 RPM,,,282.0 kg (621.7 pounds),32.0°,160 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS TXT Cadet,2011,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,72.5 ccm (4.42 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Liquid,6-speed,Chain   (final drive),,CrMo tubular,32 mm adjustable telehydraulic fork,Variable progressivity system,2.50-19 ,3.50-17 ,Single disc. 2 pistons calipers.,150 mm (5.9 inches),Single disc. 2 pistons calipers.,Rims. With 32 spokes. ,"665 mm (26.2 inches) If adjustable, lowest setting.",,,,,1300 mm (51.2 inches),3.00 litres (0.79 US gallons),Red,Kick,,,Rookie is simialr model only with larger wheels.,,,,,,,Reed intake into crankcase,,47.0 x 41.8 mm (1.9 x 1.6 inches),,Variable electronic,2.5% mixture,,,,57.0 kg (125.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
