Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Color options,Starter,Clutch,Dry weight,Comments,Fuel consumption,Greenhouse gases,Power/weight ratio,Lubrication system,Exhaust system,Top speed,Valves per cylinder,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,0-100 km/h (0-62 mph),Alternate seat height,Oil capacity,Engine details,Driveline,Wheels,Seat,Modifications compared to previous model,Max RPM,Front percentage of weight,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Rear percentage of weight,Emission details,Factory warranty,Tire pressure front,Tire pressure rear,Fork tube size
Honda PCX,2010,Scooter," 3.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",10.1 HP (7.3  kW)),11.0 Nm (1.1 kgf-m or 8.1 ft.lbs),,,Injection. PGM-FI,,,Liquid,,Belt   (final drive),Tubular steel underbone,Telescopic front fork,Unit swing arm,,,Single disc,220 mm (8.7 inches),Expanding brake (drum brake),,,,,,,1305 mm (51.4 inches),6.20 litres (1.64 US gallons),,,Electric,,,,2.10 litres/100 km (47.6 km/l or 112.01 mpg),48.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Hacker 50,2010,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,3.9 Nm (0.4 kgf-m or 2.9 ft.lbs) @ 7000 RPM,,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor,,CDI,Air,Automatic,Belt   (final drive),,,,120/70-12 ,130/70-12 ,Single disc,,Expanding brake (drum brake),123.0 kg (271.2 pounds),,1290 mm (50.8 inches),1788 mm (70.4 inches),910 mm (35.8 inches),176 mm (6.9 inches),1270 mm (50.0 inches),8.00 litres (2.11 US gallons),,"Blue, black, gray, silver/blue, black/silver",Electric & kick,Dry centrifugal,115.0 kg (253.5 pounds),,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,45.0 km/h (28.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genuine Scooter Stella,2010,Scooter," 2.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,,Air,4-speed,Shaft drive (cardan)   (final drive),Steel,Gabriel® performance shocks,Gabriel® performance shocks,3.50-10 ,3.50-10 ,Single disc. Grimeca hydraulic,152 mm (6.0 inches),Expanding brake (drum brake),,,,,,,,,,"Olive, yellow, red, blue, white",Electric,Automatic,,,1.68 litres/100 km (59.5 km/l or 140.01 mpg),39.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,96.6 km/h (60.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuki 250 Darker,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.6 ccm (15.23 cubic inches),"V2, four-stroke",,,,,Carburettor,Overhead Cams (OHC),CDI,Air,,Chain   (final drive),Steel,,,90/90-18 ,130/90-15 ,Single disc,,Expanding brake (drum brake),,,,,,,,,,"Black, red",Electric,,,Yuki bikes are sold in The Czech Republic and The Slovak Republic. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM TL125,2010,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.1 HP (7.3  kW)) @ 8500 RPM,,9.0:1,56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor,,CDI,Air,,Chain   (final drive),Steel tubular,Conventional fork,Single shock with adjustable preload,,,,,,137.0 kg (302.0 pounds),"880 mm (34.6 inches) If adjustable, lowest setting.",,,,220 mm (8.7 inches),1390 mm (54.7 inches),8.80 litres (2.32 US gallons),,"Silver/black, Red/black",Electric,,126.0 kg (277.8 pounds),Wheels: 21´ front / 18´ rear. CCM is a British brand.,,,0.0798 HP/kg,Wet Sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinli DL 901,2010,ATV," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",448.0 ccm (27.34 cubic inches),"Single cylinder, four-stroke",45.1 HP (32.9  kW)) @ 8250 RPM,41.2 Nm (4.2 kgf-m or 30.4 ft.lbs) @ 7500 RPM,10.8:1,,Carburettor. BSR42,Double Overhead Cams/Twin Cam (DOHC),Battery,Liquid,5-speed,Belt   (final drive),,Dual A-Arm,Swin arm,22/7-10 ,22/11-9 ,Double disc,,Single disc,,,1055 mm (41.5 inches),1830 mm (72.0 inches),1150 mm (45.3 inches),,1160 mm (45.7 inches),12.80 litres (3.38 US gallons),,"Red, Orange, Black, Silver, Dark gray",Electric & kick,,205.0 kg (451.9 pounds),,,,0.2198 HP/kg,Oil Pump Type,,105.0 km/h (65.2 mph),,,,,,,,1.80 litres (1.9 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Pulsar 150 DTS-i,2010,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",14.1 HP (10.3  kW)) @ 8500 RPM,12.8 Nm (1.3 kgf-m or 9.4 ft.lbs) @ 6500 RPM,,,,,CDI,Air,,,,Telescopic ,"Triple rated spring, 5 way adjustable Nitrox shock absorber",90/90-17 ,120/80-17 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),143.0 kg (315.3 pounds),,,,,,1320 mm (52.0 inches),15.00 litres (3.96 US gallons),,"Silver, blue, red, black",Electric,,,,,,,,,,,130 mm (5.1 inches),101 mm (4.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boss Hoss BHC-3 ZZ4 SS,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,5700.0 ccm (347.81 cubic inches),"V8, four-stroke",355.0 HP (259.1  kW)) @ 5250 RPM,549.2 Nm (56.0 kgf-m or 405.1 ft.lbs) @ 3500 RPM,10.0:1,,Injection. Holly 680 cfm Throttle Body,Double Overhead Cams/Twin Cam (DOHC),,Liquid,,Belt   (final drive),,"Inverted forks, 63 mm",Dual 13.0 inch coilover shocks,130/90-16 ,230/60-15 ,Double disc. 4-piston,320 mm (12.6 inches),Single disc. 4-piston,,"635 mm (25.0 inches) If adjustable, lowest setting.",,2616 mm (103.0 inches),,,1956 mm (77.0 inches),32.17 litres (8.50 US gallons),,"Black, red",,,"503.0 kg (1,108.9 pounds)","Electronic Speedo, odometer, tripmeter, volts, water temp., oil pressure, fuel gauge.",,,0.7058 HP/kg,,2.5 inch with dual mufflers,,,,,33.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saxon Villain,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1573.0 ccm (95.98 cubic inches),"V2, four-stroke",,,,94.0 x 119.4 mm (3.7 x 4.7 inches),Carburettor. S and S Super E,,,Air,6-speed,Belt   (final drive),"Stretch 0 In Downtube, 4 In Backbone","Telescopic, 41 mm",Hidden Progressive Shocks,90/90-21 ,260/55-18 ,Single disc. Bremo 4-piston calipers,,Single disc. Bremo 2-piston calipers,,"648 mm (25.5 inches) If adjustable, lowest setting.",,2667 mm (105.0 inches),,,2070 mm (81.5 inches),15.14 litres (4.00 US gallons),,Custom paint.,Electric,,295.7 kg (652.0 pounds),Customizable.,,,,,Dynotuned 2 into 1 pipes,,,,,45.0°,,,,3.30 litres (3.49 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Giantco G-10 50,2010,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",2.5 HP (1.8  kW)) @ 7000 RPM,4.3 Nm (0.4 kgf-m or 3.2 ft.lbs) @ 7000 RPM,6.9:1,40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor,,CDI,Air,Automatic,Belt   (final drive),,Oil damped telescopic fork,Oil damped coil spring,120/70-or12 ,130/70-or12 ,Single disc,,Single disc,,,1170 mm (46.1 inches),1965 mm (77.4 inches),660 mm (26.0 inches),,1298 mm (51.1 inches),4.20 litres (1.11 US gallons),,,Electric & kick,,90.0 kg (198.4 pounds),Chinese made scooter.,,,0.0274 HP/kg,,,,,,,,,,,0.80 litres (0.85 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Goes 520,2010,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,493.0 ccm (30.08 cubic inches),"Single cylinder, four-stroke",32.2 HP (23.5  kW)) @ 7000 RPM,36.0 Nm (3.7 kgf-m or 26.6 ft.lbs) @ 5500 RPM,10.2:1,87.5 x 82.0 mm (3.4 x 3.2 inches),Carburettor. Mikuni BSR 36,,,Liquid,Automatic,,,"Independent double A-arm, prel","Independent double A-arm, prel",25/8-12 ,25/10-12 ,,,,,,1230 mm (48.4 inches),2120 mm (83.5 inches),1170 mm (46.1 inches),290 mm (11.4 inches),1290 mm (50.8 inches),19.00 litres (5.02 US gallons),,Silver/black,Electric,,312.0 kg (687.8 pounds),2WD - 4WD with locking front differential.,,,0.1031 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 R,2010,Naked bike," 4.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, two-stroke",107.3 HP (78.3  kW)) @ 7500 RPM,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 6000 RPM,12.0:1,101.0 x 73.0 mm (4.0 x 2.9 inches),"Injection. Electronic intake pipe injection/BMS-K digital engine management with overrun fuel cut-off, twin-spark ignition",Single Overhead Cams (SOHC),,Oil & air,6-speed,Shaft drive (cardan)   (final drive),Two-section frame consisting of front and rear sections with load-bearing engine-gearbox unit,BMW Motorrad Telelever,Cast aluminium single-sided swing arm with BMW Motorrad Paralever,120/70-ZR17 ,180/55-ZR17 ,Double disc,265 mm (10.4 inches),Single disc,223.0 kg (491.6 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",1285 mm (50.6 inches),2145 mm (84.4 inches),872 mm (34.3 inches),,1495 mm (58.9 inches),18.00 litres (4.76 US gallons),3.00 litres (0.79 US gallons),"White, gray, blue, black",Electric,"Single dry plate clutch, hydraulically operated",198.0 kg (436.5 pounds),,4.10 litres/100 km (24.4 km/l or 57.37 mpg),95.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,0.5418 HP/kg,,"Closed-loop 3-way catalytic converter, emission standard EU-3",,4,120 mm (4.7 inches),140 mm (5.5 inches),27.1°,119 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Xingyue XY 400Y-2 Dirt Bike,2010,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",386.0 ccm (23.55 cubic inches),"Single cylinder, four-stroke",,,,91.0 x 59.5 mm (3.6 x 2.3 inches),,,C.D.I.,Liquid,,Chain   (final drive),,,,3.00-21 ,4.60-18 ,Single disc,,Single disc,,"880 mm (34.6 inches) If adjustable, lowest setting.",1125 mm (44.3 inches),2155 mm (84.8 inches),880 mm (34.6 inches),300 mm (11.8 inches),1400 mm (55.1 inches),9.00 litres (2.38 US gallons),,Light green,Electric,,145.0 kg (319.7 pounds),,,,,,,120.0 km/h (74.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mavizen TTX02,2010,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,,,,,Chain   (final drive),Powder coated Chromium-Molybdenum trellis,"WP-USD, 43 mm",WP-Monoshock,120/70-17 ,190/55-17 ,Double disc,,Single disc,,"805 mm (31.7 inches) If adjustable, lowest setting.",,,,110 mm (4.3 inches),1430 mm (56.3 inches),,,Black,Electric,,110.0 kg (242.5 pounds),"Swappable drivetrain and batteries at trackside. Integrated IP connectivity. Linux based. USB based system bus allows a virtually unlimited number of peripherals to extend the capabilities of the machine with plug’n’play.
Remote factory support package available.",,,,,,,,,,23.3°,90 mm (3.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT-R125LE,2010,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,10.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Mikuni® VM20,Single Overhead Cams (SOHC),CDI,Air,5-speed,Chain   (final drive),,Telescopic fork,Single shock,70/100-M19 ,90/90-M16 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),89.8 kg (198.0 pounds),"805 mm (31.7 inches) If adjustable, lowest setting.",1085 mm (42.7 inches),1885 mm (74.2 inches),795 mm (31.3 inches),295 mm (11.6 inches),1270 mm (50.0 inches),6.05 litres (1.60 US gallons),,Blue/white,Electric,,,,,,,,,,2,180 mm (7.1 inches),168 mm (6.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xingyue XY 400,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,386.0 ccm (23.55 cubic inches),"Single cylinder, four-stroke",26.8 HP (19.6  kW)) @ 7500 RPM,,,91.0 x 59.5 mm (3.6 x 2.3 inches),Carburettor,,C.D.I,Liquid,,,,,,110/90-16 ,130/90-15 ,Single disc,,Expanding brake (drum brake),,"800 mm (31.5 inches) If adjustable, lowest setting.",,2230 mm (87.8 inches),,150 mm (5.9 inches),1500 mm (59.1 inches),14.00 litres (3.70 US gallons),,,Electric & kick,,138.0 kg (304.2 pounds),,,,0.1943 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Fury ABS,2010,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1312.0 ccm (80.06 cubic inches),"V2, four-stroke",,,9.2:1,89.5 x 104.3 mm (3.5 x 4.1 inches),"Injection. PGM-FI with automatic enricher circuit, one 38mm throttle body",Single Overhead Cams (SOHC),"Digital with three-dimensional mapping, two spark plugs per cylinder",Liquid,5-speed,Shaft drive (cardan)   (final drive),,45mm fork,Single shock with adjustable rebound-damping and five-position spring-preload adjustability,90/90-21 ,200/50-18 ,Double disc. Twin-piston caliper; ABS and CBS,296 mm (11.7 inches),Single disc. Single-piston caliper; ABS and CBS,308.9 kg (681.0 pounds),"678 mm (26.7 inches) If adjustable, lowest setting.",,,,,1809 mm (71.2 inches),12.86 litres (3.40 US gallons),,"Ultra Blue Metallic, Black, Metallic Silver, Dark Red Metallic, Matte Silver Metallic",Electric,,,Model ID: VT13CXAA,5.11 litres/100 km (19.6 km/l or 46.03 mpg),118.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,3,102 mm (4.0 inches),94 mm (3.7 inches),38.0°,89 mm (3.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuki 125 CRS,2010,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",11.4 HP (8.3  kW)) @ 10500 RPM,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 6500 RPM,,,Carburettor,Overhead Cams (OHC),CDI,Liquid,,Chain   (final drive),Steel,,,90/90-18 ,130/90-16 ,Double disc,,Single disc,,,,2135 mm (84.1 inches),,,1480 mm (58.3 inches),18.50 litres (4.89 US gallons),,,Electric,,165.0 kg (363.8 pounds),Yuki bikes are sold in the Czech Republic and the Slovak Republic. ,2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,0.0691 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qlink Rave 50,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",2.6 HP (1.9  kW)),2.8 Nm (0.3 kgf-m or 2.1 ft.lbs) @ 5500 RPM,9.8:1,38.0 x 41.5 mm (1.5 x 1.6 inches),Carburettor. Deni,,,Air,Automatic,,,Hydraulic fork,Spring shock absorber,130/60-13 ,130/60-13 ,Single disc,,Single disc,,,1400 mm (55.1 inches),,,130 mm (5.1 inches),,6.06 litres (1.60 US gallons),,"Burgundy, blue, gold, white",Electric & kick,,77.1 kg (170.0 pounds),,,,0.0337 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Grizzly 350 Automatic,2010,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,,9.2:1,83.0 x 64.5 mm (3.3 x 2.5 inches),Carburettor. Mikuni 33mm BSR,Single Overhead Cams (SOHC),DC-CDI,Oil & air,5-speed,Shaft drive (cardan)   (final drive),,Independent double wishbone,Swingarm,25/8-AT12 ,25/10-AT12 ,Double disc,,Expanding brake (drum brake),244.9 kg (540.0 pounds),"828 mm (32.6 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),1984 mm (78.1 inches),1085 mm (42.7 inches),246 mm (9.7 inches),1232 mm (48.5 inches),14.38 litres (3.80 US gallons),,Hunter Green,,,,"2WD
",,,,,,,,180 mm (7.1 inches),127 mm (5.0 inches),,160 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 796,2010,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",803.0 ccm (49.00 cubic inches),"V2, four-stroke",85.8 HP (62.6  kW)) @ 8250 RPM,58.0 Nm (5.9 kgf-m or 42.8 ft.lbs) @ 6250 RPM,11.0:1,88.0 x 66.0 mm (3.5 x 2.6 inches),"Injection. Siemens electronic fuel injection, 45mm throttle body",Desmodromic valve control,,Air,6-speed,Chain   (final drive),Tubular steel Trellis frame,Showa 43mm upside-down forks,Progressive linkage with preload and rebound Sachs adjustable monoshock,120/70-ZR17 ,180/55-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,1450 mm (57.1 inches),15.00 litres (3.96 US gallons),,"Red, white, black",Electric,APTC wet multiplate with hydraulic control,167.0 kg (368.2 pounds),Optional ABS.,,,0.5140 HP/kg,,Lightweight 2-1-2 system with catalytic converter with twin lambda probes,,,120 mm (4.7 inches),148 mm (5.8 inches),24.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard C50 Special Edition,2010,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",,,9.4:1,83.0 x 74.4 mm (3.3 x 2.9 inches),Injection,Overhead Cams (OHC),Electronic ignition,Liquid,5-speed,,,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",130/90-M16 ,170/80-M15 ,Single disc,,Expanding brake (drum brake),277.0 kg (610.7 pounds),"700 mm (27.6 inches) If adjustable, lowest setting.",,2500 mm (98.4 inches),955 mm (37.6 inches),140 mm (5.5 inches),1655 mm (65.2 inches),15.50 litres (4.10 US gallons),,"Gray/Silver, Green/White",,,,,,,,Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sucker Punch Sallys 66 Bobber,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1337.3 ccm (81.60 cubic inches),"V2, four-stroke",,,8.5:1,88.9 x 108.0 mm (3.5 x 4.3 inches),Carburettor,,Dual Fire Electronic,,6-speed,Chain   (final drive),30 Degrees No-Stretch Rigid Frame,41 mm Telescopic with pro-one lowers,Rigid,3.00-. ,180/60-vb16 ,Single disc. 4-piston,,Single disc. 4-piston,,"610 mm (24.0 inches) If adjustable, lowest setting.",,,,102 mm (4.0 inches),1651 mm (65.0 inches),8.52 litres (2.25 US gallons),,Custom.,,,224.5 kg (495.0 pounds),Harley-Davidson Evolution Engine.,,,,,,,,,,,,,,2.80 litres (2.96 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
UM V2S-650R,2010,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",,,11.5:1,81.5 x 62.0 mm (3.2 x 2.4 inches),"Carburettor. Mikuni,",Double Overhead Cams/Twin Cam (DOHC),CDI,Liquid,6-speed,Chain   (final drive),,41mm Hydraulic Inverted Forks - Rebound  and  Compression Adjustable,Monoshock - Swingarm with single preload adjustable shock absorber,120/60-17 ,160/60-17 ,Double disc,,Single disc,,"779 mm (30.7 inches) If adjustable, lowest setting.",1125 mm (44.3 inches),2059 mm (81.1 inches),739 mm (29.1 inches),,1435 mm (56.5 inches),17.00 litres (4.49 US gallons),,"Black, Blue, Red Silver",,"Multi plate, wet manual clutch",208.0 kg (458.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Mio 50,2010,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,,Air,Automatic,Belt   (final drive),,,,90/90-10 ,90/90-10 ,Single disc,95 mm (3.7 inches),Expanding brake (drum brake),,,1020 mm (40.2 inches),1720 mm (67.7 inches),720 mm (28.3 inches),,1180 mm (46.5 inches),4.80 litres (1.27 US gallons),,"Red, orange/white, black, gray, pink/white, white/black",Electric & kick,,84.5 kg (186.3 pounds),Bike made in Taiwan.,,,,,Euro 3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecosse Titanium Race,2010,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,2100.0 ccm (128.14 cubic inches),"V2, four-stroke",160.0 HP (116.8  kW)),217.0 Nm (22.1 kgf-m or 160.0 ft.lbs),10.5:1,111.0 x 106.4 mm (4.4 x 4.2 inches),Injection. Normally aspirated. Variable fuel injection system with altitude compensation.,Double Overhead Cams/Twin Cam (DOHC),,Liquid,6-speed,,Titanium,"Öhlins, black finish, fully adjustable with titanium front axle","Öhlins Racing Shock for ECOSSE, fully adjustable for riding style  and  seat height",120/70-ZR17 ,190/55-ZR17 ,Double disc. ISR custom radial brake system,,Single disc. ISR custom radial brake system,,"699 mm (27.5 inches) If adjustable, lowest setting.",,,,165 mm (6.5 inches),1537 mm (60.5 inches),,,Brushed titanium chassis. Bodywork: clear-coated carbon fiber/custom pin stripe; owner’s choice,,,199.6 kg (440.0 pounds),,,,0.8017 HP/kg,,Handcrafted titanium race exhaust,,,,,27.0°,,,"775 mm (30.5 inches) If adjustable, highest setting.",3.70 litres (3.91 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Gilera Nexus 300,2010,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",292.0 ccm (17.82 cubic inches),"Single cylinder, four-stroke",,,,75.0 x 63.0 mm (3.0 x 2.5 inches),Injection,Single Overhead Cams (SOHC),Electronic inductive discharge,Liquid,Automatic,Belt   (final drive),Double cradle trellis made of high-strength steel tubes,Telescopic hydraulic fork with ö 35 mm shafts;,Double hydraulic shock absorber with four-position spring preload,120/70-14 ,140/60-14 ,"Single disc. Stainless steel disk,  two-piston floating caliper",240 mm (9.4 inches),"Single disc. Stainless steel disk, caliper with two opposite pistons",174.0 kg (383.6 pounds),,,2100 mm (82.7 inches),780 mm (30.7 inches),,1530 mm (60.2 inches),15.00 litres (3.96 US gallons),2.80 litres (0.74 US gallons),"Red, black, red/white/green",Electric,Dry centrifugal type,,,,,,,Closed loop system with lambda sensor and three-way catalytic converter in exhaust pipe,,4,94 mm (3.7 inches),76 mm (3.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
